row	codes
f88.1	t? o? g? i? l? x? ‡? q? λ? q? π? L? y? v? 9? 4? T? 9? 2? L? d? ‡? //?
f88.2	T? 2z? p? f? 6? 3? 9? 2? T?
f88.3	g? Δ? alpha? Y? #? 2 0 8 ‡? π?
f88.4	12 λ? ↄ? m? 7 c? 12 l? 6 F? oo? 4 o? oo? X-? e? y? 7~? φ? q? 10 3 q? 4 x x m? f? H? θ? π? c? l? x q? 30 //? Δ? ſ? iii?
f176.1	
f176.2	L? V? T? β? m? σ? Δ? T? xx? o?
f176.3	f? 14 1? f? y? x? ‡? q? 20 ///? o? ϛ?
f176.4	oo? c? t? h? ⊥? ‡? E? x? 7? ‡? T? δ? E? R? o? λ? g?
f176.5	L? o? L? p? R? e?
f176.6	g? h? oro? 8 π? 4 c? 10 X? u? x?
f176.7	iii? P? 2? 4? q? y? L? x x x π? oo? p? m? d? p? o? g? f? x? c? ↄ? f? n? T? oo? m? g? e?
f176.8	Δ? v? v? y? π? oo? L? φ? f? Δ? oto? q? 7? iii? y? ur? π?
f176.9	68? X? oto? 2?
f176.10	θ? ‡? T? 2? 4? v? δ? y?
f176.11	v? A? 10 c? oto? 29
f176.12	‡? 80? 4? to? iii? w? q? ‡? 3?
