row	codes
f88.1	to g ı L x ‡ q λ q π ⊥ y v E? 2 4 4 T n ∂ o- L ∂ ## ,,
f88.2	T ɔ? p L o f E y L T
f88.3	to o? g ∂? o y 4 20 8 ## π ⊥
f88.4	12 Δ C m 7 c 12 ı b F oo + 40 w L x o- e y 4 x ‡ q ı o E q 4 xx ur f ## ɤ π C L x q 3 0 11 Δ ſ ll
f176.1	∂ o y c t3? π ⊥
f176.2	ſ · V T v ∂ ß m o ⊥ Δ T X X o tt
f176.3	· ſ 14 1 ſ y x = 9 20 /// 0 3
f176.4	oo + ∂ h 4 # L x ‡ # T δ? E r o λ g
f176.5	4 0 L p r r' e
f176.6	g+ p r o n ı y h o t o 8 π 4 c t o ı o X ur p v f
f176.7	/// 4 # 9 ı y L xxx π + oo p m ∂ p o g ‡ f x c b ſ n T o o m ‡ q E
f176.8	‡ V v y pi oo + 4 # φ f # Δ oto q ʒ · + o 7 /// p // x ur p ı v m
f176.9	68 X o
f176.10	o-? ## T 4 4 v p y
f176.11	.:. ~ Δ 10 C o t o 29
f176.12	7 8 0 4 ʃ + to /// E r 9 # 3 0
