crop	pos	sign
f88_B01_1	1	[clear]
f88_B01_2	1	[clear]
f88_B01_2	2	t?
f88_B01_2	3	o?
f88_B01_2	4	g?
f88_B01_2	5	i?
f88_B01_2	6	l?
f88_B01_2	7	x?
f88_B01_2	8	‡?
f88_B01_2	9	q?
f88_B01_2	10	λ?
f88_B01_2	11	q?
f88_B01_2	12	π?
f88_B01_2	13	L?
f88_B01_2	14	y?
f88_B01_2	15	v?
f88_B01_2	16	9?
f88_B01_2	17	4?
f88_B01_2	18	T?
f88_B01_2	19	9?
f88_B01_2	20	2?
f88_B01_2	21	L?
f88_B01_2	22	d?
f88_B01_2	23	‡?
f88_B01_2	24	//?
f88_B02_1	1	T?
f88_B02_1	2	2z?
f88_B02_1	3	p?
f88_B02_1	4	f?
f88_B02_1	5	6?
f88_B02_1	6	3?
f88_B02_1	7	9?
f88_B02_1	8	2?
f88_B02_1	9	T?
f88_B02_1	10	[clear]
f88_B02_2	1	[clear]
f88_B03_1	1	[clear]
f88_B03_1	2	g?
f88_B03_1	3	Δ?
f88_B03_1	4	alpha?
f88_B03_1	5	Y?
f88_B03_1	6	#?
f88_B03_1	7	2
f88_B03_1	8	0
f88_B03_1	9	8
f88_B03_1	10	‡?
f88_B03_1	11	π?
f88_B03_1	12	[clear]
f88_B03_2	1	[clear]
f88_B04_1	1	12
f88_B04_1	2	λ?
f88_B04_1	3	ↄ?
f88_B04_1	4	m?
f88_B04_1	5	7
f88_B04_1	6	c?
f88_B04_1	7	12
f88_B04_1	8	l?
f88_B04_1	9	6
f88_B04_1	10	F?
f88_B04_1	11	oo?
f88_B04_1	12	4
f88_B04_1	13	o?
f88_B04_1	14	oo?
f88_B04_1	15	X-?
f88_B04_1	16	e?
f88_B04_1	17	y?
f88_B04_1	18	7~?
f88_B04_2	1	y?
f88_B04_2	2	7~?
f88_B04_2	3	φ?
f88_B04_2	4	q?
f88_B04_2	5	10
f88_B04_2	6	3
f88_B04_2	7	q?
f88_B04_2	8	4
f88_B04_2	9	x
f88_B04_2	10	x
f88_B04_2	11	m?
f88_B04_2	12	f?
f88_B04_2	13	H?
f88_B04_2	14	θ?
f88_B04_2	15	π?
f88_B04_2	16	c?
f88_B04_2	17	l?
f88_B04_2	18	x
f88_B04_2	19	q?
f88_B04_2	20	30
f88_B04_2	21	//?
f88_B04_2	22	Δ?
f88_B04_2	23	ſ?
f88_B04_2	24	iii?
f176_B01_1	1	[clear]
f176_B01_2	1	[clear]
f176_B02_1	1	[clear]
f176_B02_2	1	[clear]
f176_B03_1	1	[clear]
f176_B03_1	2	L?
f176_B03_1	3	V?
f176_B03_1	4	T?
f176_B03_1	5	β?
f176_B03_1	6	m?
f176_B03_1	7	σ?
f176_B03_1	8	Δ?
f176_B03_1	9	T?
f176_B03_1	10	xx?
f176_B03_1	11	[clear]
f176_B03_2	1	[clear]
f176_B03_2	2	Δ?
f176_B03_2	3	T?
f176_B03_2	4	xx?
f176_B03_2	5	o?
f176_B03_2	6	[clear]
f176_B04_1	1	f?
f176_B04_1	2	14
f176_B04_1	3	1?
f176_B04_1	4	f?
f176_B04_1	5	y?
f176_B04_1	6	x?
f176_B04_1	7	‡?
f176_B04_1	8	q?
f176_B04_1	9	20
f176_B04_1	10	///?
f176_B04_1	11	o?
f176_B04_1	12	ϛ?
f176_B04_1	13	[clear]
f176_B04_1	14	G?
f176_B04_1	15	oo?
f176_B04_2	1	G?
f176_B04_2	2	oo?
f176_B04_2	3	c?
f176_B04_2	4	t?
f176_B04_2	5	h?
f176_B04_2	6	⊥?
f176_B04_2	7	‡?
f176_B04_2	8	E?
f176_B04_2	9	x?
f176_B04_2	10	7?
f176_B04_2	11	‡?
f176_B04_2	12	T?
f176_B04_2	13	δ?
f176_B04_2	14	E?
f176_B04_2	15	R?
f176_B04_2	16	o?
f176_B04_2	17	λ?
f176_B04_2	18	g?
f176_B04_2	19	L?
f176_B04_2	20	o?
f176_B04_2	21	L?
f176_B04_2	22	p?
f176_B04_2	23	R?
f176_B04_2	24	e?
f176_B04_2	25	[clear]
f176_B05_1	1	g?
f176_B05_1	2	[clear]
f176_B05_1	3	h?
f176_B05_1	4	oro?
f176_B05_1	5	8
f176_B05_1	6	π?
f176_B05_1	7	4
f176_B05_1	8	c?
f176_B05_1	9	10
f176_B05_1	10	X?
f176_B05_1	11	u?
f176_B05_1	12	x?
f176_B05_1	13	[clear]
f176_B05_2	1	[clear]
f176_B05_2	2	G?
f176_B05_2	3	[clear]
f176_B06_1	1	G?
f176_B06_1	2	iii?
f176_B06_1	3	P?
f176_B06_1	4	2?
f176_B06_1	5	4?
f176_B06_1	6	q?
f176_B06_1	7	y?
f176_B06_1	8	L?
f176_B06_1	9	x
f176_B06_1	10	x
f176_B06_1	11	x
f176_B06_1	12	π?
f176_B06_1	13	oo?
f176_B06_1	14	p?
f176_B06_1	15	m?
f176_B06_1	16	d?
f176_B06_1	17	p?
f176_B06_1	18	o?
f176_B06_1	19	g?
f176_B06_1	20	f?
f176_B06_2	1	x?
f176_B06_2	2	c?
f176_B06_2	3	ↄ?
f176_B06_2	4	f?
f176_B06_2	5	n?
f176_B06_2	6	T?
f176_B06_2	7	oo?
f176_B06_2	8	m?
f176_B06_2	9	g?
f176_B06_2	10	e?
f176_B06_2	11	[clear]
f176_B07_1	1	[clear]
f176_B07_1	2	Δ?
f176_B07_1	3	v?
f176_B07_1	4	v?
f176_B07_1	5	y?
f176_B07_1	6	π?
f176_B07_2	1	π?
f176_B07_2	2	oo?
f176_B07_2	3	L?
f176_B07_2	4	φ?
f176_B07_2	5	f?
f176_B07_2	6	Δ?
f176_B07_2	7	oto?
f176_B07_2	8	q?
f176_B07_2	9	7?
f176_B07_2	10	iii?
f176_B07_2	11	y?
f176_B07_2	12	ur?
f176_B07_2	13	π?
f176_B07_2	14	[clear]
f176_B08_1	1	68?
f176_B08_1	2	X?
f176_B08_1	3	oto?
f176_B08_1	4	2?
f176_B08_1	5	[clear]
f176_B08_2	1	[clear]
f176_B09_1	1	G?
f176_B09_1	2	θ?
f176_B09_1	3	‡?
f176_B09_1	4	T?
f176_B09_1	5	2?
f176_B09_1	6	4?
f176_B09_1	7	v?
f176_B09_1	8	δ?
f176_B09_1	9	y?
f176_B09_1	10	[clear]
f176_B09_2	1	[clear]
f176_B10_1	1	[clear]
f176_B10_1	2	v?
f176_B10_1	3	A?
f176_B10_1	4	10
f176_B10_1	5	c?
f176_B10_1	6	oto?
f176_B10_1	7	29
f176_B10_2	1	oto?
f176_B10_2	2	29
f176_B10_2	3	[clear]
f176_B11_1	1	[clear]
f176_B11_1	2	‡?
f176_B11_1	3	80?
f176_B11_1	4	4?
f176_B11_1	5	to?
f176_B11_1	6	iii?
f176_B11_1	7	w?
f176_B11_1	8	q?
f176_B11_1	9	‡?
f176_B11_1	10	3?
f176_B11_2	1	3?
f176_B11_2	2	[clear]
