line	pos	sign	conf	alt	why
f88.1	1	to	M	B:o	differ
f88.1	2	g	H		agree-flagged
f88.1	3	ı	M	B:i	differ
f88.1	4	L	M	B:l	differ
f88.1	5	x	H		agree-flagged
f88.1	6	‡	H		agree-flagged
f88.1	7	q	H		agree-flagged
f88.1	8	λ	H		agree-flagged
f88.1	9	q	H		agree-flagged
f88.1	10	π	H		agree-flagged
f88.1	11	⊥	M	B:L	differ
f88.1	12	y	H		agree-flagged
f88.1	13	v	H		agree-flagged
f88.1	14	E	M	B:-	gap
f88.1	15	2	M	B:-	gap
f88.1	16	4	M	B:9	differ
f88.1	17	4	H		agree-flagged
f88.1	18	T	H		agree-flagged
f88.1	19	n	M	B:-	gap
f88.1	20	∂	M	B:9	differ
f88.1	21	o-	M	B:2	differ
f88.1	22	L	H		agree-flagged
f88.1	23	∂	M	B:d	differ
f88.1	24	##	M	B:‡	differ
f88.1	25	,,	M	B://	differ
f88.2	1	T	H		agree-flagged
f88.2	2	ɔ	M	B:2z	differ
f88.2	3	p	H		agree-flagged
f88.2	4	L	M	B:-	gap
f88.2	5	o	M	B:-	gap
f88.2	6	f	H		agree-flagged
f88.2	7	E	M	B:3	differ
f88.2	8	y	M	B:9	differ
f88.2	9	L	M	B:2	differ
f88.2	10	T	H		agree-flagged
f88.3	1	to	M	B:-	gap
f88.3	2	o	M	B:-	gap
f88.3	3	g	H		agree-flagged
f88.3	4	∂	M	B:alpha	differ
f88.3	5	o	M	B:Y	differ
f88.3	6	y	M	B:#	differ
f88.3	7	4	M	B:2	differ
f88.3	8	20	M	B:0	differ
f88.3	9	8	H		agree
f88.3	10	##	M	B:‡	differ
f88.3	11	π	H		agree-flagged
f88.3	12	⊥	M	B:-	gap
f88.4	1	12	H		agree
f88.4	2	Δ	M	B:λ	differ
f88.4	3	C	M	B:ↄ	differ
f88.4	4	m	H		agree-flagged
f88.4	5	7	H		agree
f88.4	6	c	H		agree-flagged
f88.4	7	12	H		agree
f88.4	8	ı	M	B:l	differ
f88.4	9	b	M	B:6	differ
f88.4	10	F	H		agree-flagged
f88.4	11	oo	H		agree-flagged
f88.4	12	+	M	B:-	gap
f88.4	13	40	M	B:-	gap
f88.4	14	w	M	B:4	differ
f88.4	15	L	M	B:o	differ
f88.4	16	x	M	B:oo	differ
f88.4	17	o-	M	B:X-	differ
f88.4	18	e	H		agree-flagged
f88.4	19	y	H		agree-flagged
f88.4	20	4	M	B:-	gap
f88.4	21	x	M	B:7~	differ
f88.4	22	‡	M	B:φ	differ
f88.4	23	q	H		agree-flagged
f88.4	24	ı	M	B:-	gap
f88.4	25	o	M	B:10	differ
f88.4	26	E	M	B:3	differ
f88.4	27	q	H		agree-flagged
f88.4	28	4	H		agree
f88.4	29	xx	M	B:x	differ
f88.4	30	ur	M	B:m	differ
f88.4	31	f	H		agree-flagged
f88.4	32	##	M	B:H	differ
f88.4	33	ɤ	M	B:θ	differ
f88.4	34	π	H		agree-flagged
f88.4	35	C	M	B:c	differ
f88.4	36	L	M	B:l	differ
f88.4	37	x	H		agree
f88.4	38	q	H		agree-flagged
f88.4	39	3	M	B:-	gap
f88.4	40	0	M	B:30	differ
f88.4	41	11	M	B://	differ
f88.4	42	Δ	H		agree-flagged
f88.4	43	ſ	H		agree-flagged
f88.4	44	ll	M	B:iii	differ
f176.1	1	∂	M	B:-	gap
f176.1	2	o	M	B:-	gap
f176.1	3	y	M	B:-	gap
f176.1	4	c	M	B:-	gap
f176.1	5	t3	M	B:-	gap
f176.1	6	π	M	B:-	gap
f176.1	7	⊥	M	B:-	gap
f176.2	1	ſ	M	B:-	gap
f176.2	2	·	M	B:L	differ
f176.2	3	V	H		agree-flagged
f176.2	4	T	H		agree-flagged
f176.2	5	v	M	B:-	gap
f176.2	6	∂	M	B:-	gap
f176.2	7	ß	M	B:β	differ
f176.2	8	m	H		agree-flagged
f176.2	9	o	M	B:-	gap
f176.2	10	⊥	M	B:σ	differ
f176.2	11	Δ	H		agree-flagged
f176.2	12	T	H		agree-flagged
f176.2	13	X	M	B:-	gap
f176.2	14	X	M	B:xx	differ
f176.2	15	o	H		agree-flagged
f176.2	16	tt	M	B:-	gap
f176.3	1	·	M	B:-	gap
f176.3	2	ſ	M	B:f	differ
f176.3	3	14	H		agree
f176.3	4	1	H		agree-flagged
f176.3	5	ſ	M	B:f	differ
f176.3	6	y	H		agree-flagged
