plain_line	plain_raw	cipher_line	cipher_raw
5705	"we  anchor    e     d     before  Cadiz  and  review  e      d     the    p     o      1""    t    u       r         e    Vol  xxxviii,"	5707	APRI  L  L  20th,  452    115    iS  ir    133  501  105  44.6  42  39  407  i  19  23  6  26   12    42  p.  -eg.
5708	of      their   (hips  which    are     a    b     o       u      t  faile   they     \y         in       the     C     a       r       r      a	5710	34.3  411  494-  458  114  7  4  19  45  5°  (28)  400  410  28i  251  407  9  31  12  54  55
5712	c    c      a      e      s      noe      top  mail      u     p      nor      rigged     there      1       y      e    th	5714	28  65   31  18  S9  3Z3  5°  3°  i  3*5   26  47  335  54  49  2°  4^  42  39  4*3  281  l8  5°  2  (3)
5716	fhips     in       the     m     o     u     t     h     of      the    harbor    for       to       f     i       n     k      and    other  great  pre	5718	494  251   407  16  19  45  6    2  343  407    247     196  404  25  49    27  25    105  350    222   I    54  $6
5720	pa      r      atio      n      s      of      guns   and     chain      s     and     new     p    1     a      t       £     o      r	5722	47  31  103  7  6  8  30  27  25  343  216  105  9  2  7  8  27  90  105  328  47  5  31  50  29  19  54
5724	msafhoa         re         to  oppofe  a      nat       tempt	5726	48  23  31  59  37  l9  55   I03  42  4°4  363  3l  27  55   6  5°  42  16  1  6.
5728	Wee  have      a     1      f      o      e     examined    the  march  ants      and  other    s       and     they  a    1      1	5730	452  234  31  33  ^9  30  56  I93*11  407  3°6  3l   27  6  9°   105  350  23  105  410  7  5  33
5732	make  the  work  very  hard  and  be  fid  e  s  this  the  paff  a  g  e  in  to  the  C	5733	3GO  437  456  439  244  105  442  25  49  p  56  90  412  407  368  7  20  18  251  404  407  9
5734	arraccaes        isawindingchan.nell      very	5736	7  12  54  31  28  66  83  93  90  259  7218  27  80  49  52  75  28  2  s5   76  95  *8.5  33  439
5738	much  and   wee    have    not      one     man     that     can   faile      u     p       the    fhips      if     none    did  oppofe	5739	310  105  452  234  32O    346  16  7  27  406  151  40O  45  47  407  494   254    326  165  362.
5740	Wee     did    long    view     the  place  and     ihips     to       finde  ano       ppor       t       uni       ti	5742	452  165  28.2  446  407  374  105  494  404  208  7  y6  30  47  78  88  54  50  26  52  49  6  8
5744	e    for       f      e      r     v     i       c      e   before  wee   would  c     o     m      e       to         a    queilion  and       at        1      e	5745	18  196  23  56  12  45  77  28  42  133  452  453  9  19  16  18  404  105    384    105    107   5   18
