query	variant	status	total_items	volume_id	title	author	year	snippet	phrase_in_snippet	logged_url
"irreconcilable with them as long as I live"	base	200	0							https://www.googleapis.com/books/v1/volumes?q=%22irreconcilable+with+them+as+long+as+I+live%22&maxResults=20&key=REDACTED&country=US
"a plot hath been a hatching"	base	200	0							https://www.googleapis.com/books/v1/volumes?q=%22a+plot+hath+been+a+hatching%22&maxResults=20&key=REDACTED&country=US
"the whole party of" Stamford Calais 1655	base	200	0							https://www.googleapis.com/books/v1/volumes?q=%22the+whole+party+of%22+Stamford+Calais+1655&maxResults=20&key=REDACTED&country=US
"general rising" "Stamford" 1655 Calais	base	200	0							https://www.googleapis.com/books/v1/volumes?q=%22general+rising%22+%22Stamford%22+1655+Calais&maxResults=20&key=REDACTED&country=US
"without the least injunction of secrecy"	base	200	7	MVWTTZHgGGoC	English Historical Documents, 1783-1832	David Charles Douglas, Arthur Aspinall, E. Anthony Smith	1996	... without the least injunction of secrecy, but on the contrary with an expression of a wish that his opinion should be known; and that it should be known, that that opinion neither had changed nor could change upon this subject. This&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22without+the+least+injunction+of+secrecy%22&maxResults=20&key=REDACTED&country=US
"without the least injunction of secrecy"	base	200	7	4YguEQAAQBAJ	English Historical Documents	A. Aspinall, Anthony Smith	2024-11-01	... without the least injunction of secrecy, but on the contrary with an expression of a wish that his opinion should be known; and that it should be known, that that opinion neither had changed nor could change upon this subject. This&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22without+the+least+injunction+of+secrecy%22&maxResults=20&key=REDACTED&country=US
"without the least injunction of secrecy"	base	200	7	uYwFAAAAQAAJ	House Documents, Otherwise Publ. as Executive Documents	United States. Congress. House		... without the least injunction of secrecy ; and I was by him authorized to inform the stockholders thereof ; and I used the privilege , as far as I could , without any mystery . You will be pleased to permit me to avail myself of this&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22without+the+least+injunction+of+secrecy%22&maxResults=20&key=REDACTED&country=US
"without the least injunction of secrecy"	base	200	7	jbMNAQAAMAAJ	English Historical Documents: 1783-1832, edited by A. Aspinall and E. A. Smith	David Charles Douglas	1959	... without the least injunction of secrecy , but on the contrary with an expression of a wish that his opinion should be known ; and that it should be known , that that opinion neither had changed nor could change upon this subject . This&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22without+the+least+injunction+of+secrecy%22&maxResults=20&key=REDACTED&country=US
"without the least injunction of secrecy"	base	200	7	qExnAAAAMAAJ	English Historical Documents: 1783-1832, ed. by A. Aspinall and E. A. Smith	David Charles Douglas	1959	... without the least injunction of secrecy , but on the contrary with an expression of a wish that his opinion should be known ; and that it should be known , that that opinion neither had changed nor could change upon this subject . This&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22without+the+least+injunction+of+secrecy%22&maxResults=20&key=REDACTED&country=US
"without the least injunction of secrecy"	base	200	7	Grt-CsshD60C	English Historical Documents: 1783-1832, ed. by A. Aspinall and E. Anthony Smith	David Charles Douglas	1959	... without the least injunction of secrecy , but on the contrary with an expression of a wish that his opinion should be known ; and that it should be known , that that opinion neither had changed nor could change upon this subject . This&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22without+the+least+injunction+of+secrecy%22&maxResults=20&key=REDACTED&country=US
"without the least injunction of secrecy"	base	200	7	9B0qAQAAMAAJ	English Historical Documents	David Charles Douglas	1953	... without the least injunction of secrecy , but on the contrary with an expression of a wish that his opinion should be known ; and that it should be known , that that opinion neither had changed nor could change upon this subject . This&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22without+the+least+injunction+of+secrecy%22&maxResults=20&key=REDACTED&country=US
"without the least injunction of secrecy"	full	200	1	uYwFAAAAQAAJ	House Documents, Otherwise Publ. as Executive Documents	United States. Congress. House		... without the least injunction of secrecy ; and I was by him authorized to inform the stockholders thereof ; and I used the privilege , as far as I could , without any mystery . You will be pleased to permit me to avail myself of this&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22without+the+least+injunction+of+secrecy%22&maxResults=20&key=REDACTED&country=US&filter=full
"by meere chance" "Whitehall" 1655 Stamford	base	200	0							https://www.googleapis.com/books/v1/volumes?q=%22by+meere+chance%22+%22Whitehall%22+1655+Stamford&maxResults=20&key=REDACTED&country=US
"Stamford" "Kelsey" Calais 1655	base	200	1	Yk3iAAAAMAAJ	Student Directory	University of Michigan	2000		False	https://www.googleapis.com/books/v1/volumes?q=%22Stamford%22+%22Kelsey%22+Calais+1655&maxResults=20&key=REDACTED&country=US
"Stamford" "Kelsey" Calais 1655	full	200	0							https://www.googleapis.com/books/v1/volumes?q=%22Stamford%22+%22Kelsey%22+Calais+1655&maxResults=20&key=REDACTED&country=US&filter=full
"the qualitie I am of" cavaliers	base	200	0							https://www.googleapis.com/books/v1/volumes?q=%22the+qualitie+I+am+of%22+cavaliers&maxResults=20&key=REDACTED&country=US
