plain_line	plain_raw	cipher_line	cipher_raw
41204	In  the  pofTef-       Affairs  have  at  prefent  an  outward  appearance  of  quiet,	41207	5  12  10  3  19  37  34  16  3  40  11  5  39  33  35   "  3^  13  17  4i  527  28  3841
41212	righthon-the  T~    but"  "are"	41214	bum     45  3  35  *  5  33   31  JI  3  37   5  27  9  n  26  12  32  38  21  11  41,  2  38  41  5  37
41216	effeitivly  further	41218	11  13  12  10  13  7  39  21  40  25  49  (if  I  know  any  thing)  12  38  35   41  14  13  21
41220	from  then  ever.	41222	10  35   28  22  39  16   11  24  11  40  13  35.
41224	has  loft  one  or  the  tairelt  oppertunities,	41226	Z.  14  5  34  228  28  34  41  28  28  11  26  12  39  14  13  10  5  19  37  11  36  29
41228	that  was  ever  put	41230	26333128  35   39  40  27  21  41  19  11  36  39  14  5  4143  5  34  13  38  11  35  3l  38
41232	into  a  young  prince's  hands  to  ietde	41234	41.19  274I  26  54926  38  29  15  31  37  21  27  7  II  36    14  5  27  9  34  39  28  34
41236	the  nation  and  nimieir.  ,	41238	1141  39  23  13  39  16  11  29  5  39  19  28  27  5  27  8  16  19  24  34  11  23  12.
41240	wiihes  it  oe  the  lalt  ching  they  give,	41242	B.  45  19  34  16  11  34  21  39  4  11  41  14  13  23  5  34  41  39   14  19.  25  15  41
41244	and  he  loft  ;  but  I  feare	41246	14  13  47  17  18  40  11  5  27  8  14  13  23  28  34  11  ;  29  38  41  21  10  11  5  3J   13
41248	both.	41249	2    2  8    39    16.
41251	Desb.  Berry,  Couper,  and  inferiour	41253	V.  2  ir  37  35  47  7  28  38  33  11  25  5    27  8  19  27  12  13  35   19  28  38  37
41255	officers,  wors  then  thcmfelves,  if  poffible,	41257	26    lO    12    21    9    II    35    36   45    26    35    34   41    14    II    29     41     16     13     22    34    II    23   38
41259	have  dayly	41261	11  36  19  10  31  26  36  34  19  4  23  13,  14  5  38  13  6  5  47  25  49  22  13   n  29  21
41263	meetings.	41265	29  15  34-  19
41270	I  with  wehad  Jo  too;  but  that  j\   t>  ,£cq	41272	19  43  19  36  14  45  13  11  14  5  6  36  26  41  26  28;  2  38  41  39  6  5  41  21  34,J"y%S
41274	is  our  weakness  you  have  the  bottom	41276	26  40  35  45  11  3  20  27  13  34;  and  now,  my  lord,  47  28  38  14  5  38  n  41  16
41278	which,  when  read,  pray	41280	11  4  26  41  39  28  22  ii,  43  16  19  7  14,  45  14  11  29  37  11  5  8  33  35   3  4?
41282	Jet  it  be  burnt.	41284	25  11  41  2   18  4  38  37  29  S9-
41286	H.  H.  tells  mee  dayly  mail  come  over,	41288	Z.  41  11  23  36  2  13  11  6  3  47  25  49  A.  34  16  3  25  9  26  24  11  28  38  13
41290	though  for  myowne  part  I  love  him  too  well	41291	35,    ^    14    28   38     17    l6   12    2637    22   4    2645  27     13    31     5    35    41      19    23     28   40    II
41293	to  advile  it,  unles  hee  bring  lbmtthing	41295	14  21  24  41  28  26  45  ri  25  39  28  5  8  38  19  36  11  21  39  38  27  25  11  36
41297	at  his  heeJs.	41298	l6    II    13   4    36    19    29    17    34    26    24    II    II     39    16    IO   29    17    5    39     16    19    36    14
41300	So  long  as  hee  ftaies  where	41302	13   11  25  34.  34  28  25  26  29  17  3  36  14  13  11  36  39   5  19  13  34  45  i4  13
41304	he  is,  the  after-game  is  pretty	41306	25  11  16  11  13  21  34  41  14  13  5  10  39  13  37   17  3  24  11  19  36  31  37  is
41308	fafe.	41310	4i  39  49  34  5  12  "•
41312	is  relblv'd  for  T.  or  north,  when	41314	B.  21  34  37  11  34  28  25  38  6  10  28  35   41  28  35   27  28  35  41  14  43  16
41316	funerals  over,  and  with  his  dear  treind	41318	13  27  12  38  29  11  37   5  25  36  26  40  11  37  5  27    8  43  21  3^    16   14  21  34
41320	lord  Howard,  to  expert	41322	6  13  5  35   10  37  ll   21  27  8  25  26  35  6  14  28  45  3  37  6  39  28  11  4431  i3
41324	commands,  the  one  having  good  intereft  in	41326	9  39  B's  7  26  14  22  5  29  6  36  39  16   11  28  27  13  14  5  38  21  27  17  15  28
41328	Yorkfhirej  the  other  from  tnence	41330	26  8  21  27  39  13  35  u  36  39  19  29  49  26  37  18  34  16  21  35  13  41  14  13
41332	as  far  as  Monke,  who  wiflies	41334	26   41  14  11  37  10  35  28  24  39  16  11  29  7  ii  $   34  I2  3  37  3  3-6  22  26  29
41336	would  correfpond  with.	41338	20  11  43   16  28  43  21  34  16  11  36.    A.  45  26  40  23  8  7  28  37  35   11   34  33
41346	feared  and  hated  by  the	41348	22  13  28  38  13  37,  being  fo  very  much  12  11  5  37    ij  8  5  29  6  14  3  41   11  6
41350	oppofite  party.	41351	4  47  41    14    13    26  33   31   28  34    19    39     31    5    35    39    49.
41357	would  quit  his   regim?nr.  did   he  not  hope  to	41359	B.  45  2.6  40  25  6  32  38  19  12  41  14  21  34  35  13  is  21  29  11  29  41  8  19  6  16  13
41361	ferve  with  it,	41363	11  27  26  41  14  28  33  11  39  28  36  11  37  38  13  A.  45  19  41  14  19  41  upon
