value	meaning	kind	source
24	e	letter	Tomokiyo thurloe.htm "Agent in The Hague (1)" -- E=24/54/[82]; same cipher as Blake's own, per that page
54	e	letter	as above (homophone)
82	e	letter	as above (homophone, page's own bracket marks it less certain than 24/54)
26	g	letter	Tomokiyo's worked example: "26 33 39 24 36 31 24 32 38" deciphers to "gouerment"
33	o	letter	as above
39	u	letter	as above
36	r	letter	as above
31	m	letter	as above
32	n	letter	as above
38	t	letter	as above
104	[the States General]	code	Tomokiyo thurloe.htm "Agent in The Hague (1)" section
105	[the States of Holland / Hollanders / Holland]	code	as above
130	[the Protector / Cromwell / England]	code	as above
145	[the Orange party]	code	as above
198	[Brussels]	code	as above
124	[ambassador]	code	as above
135	[money]	code	as above
171	[peace]	code	as above
179	[commerce, trade]	code	as above
