plain_line	plain_raw	cipher_line	cipher_raw
35687	fendhome  the    great  fhips.    Wee  have  refolved       it       in       the      neg     a-	35689	11  23  42  76  39  37  30  48  93  10  61  407  222  494  452  234  394  71  258  251  407  332  31
35691	tive:Our        rea       fons     are.	35693	6  49  45-42  19  26  12  54  18  7  25  74  27  90  1 147
35695	Wee  have    noe      order    from  Engl,  for      it.      We    have  this  harbour  to       f     f     e'       in	35697	452  234  323  88  12  11  18  12  197  529  196  258  452  234  412  247  404  29  54  42  49  j6
35699	d     for      fhe      1      ter        and    pro       vi      fions.     Wee  now  heare,  that  Spayn  hath	35701	71  19690  2  93  33  6  18  103  105  i  73  19  94-77  59  8  3°27  23  452  321  236406500233
35703	or      d     e       red      to      fitt  galloons    and  other  fhipps,  which  wee  judge    will     bee	35705	74  12   II    18  54  3  39  404  205  (18  499)    105    (12  350    494)   458    452    260  460  36  18  42
35707	0  u    t  neare    the       la     t     t       e    r      end    of      Janu      a      ry  and      if    ever     there.  .	35708	19  266  329  407  275  650  11  12  180  343  8  7  2745  31  5443  10  99   105  254  185  413
35709	bee             hopes        to    fight  Spayne,  that  is      like     to        bee       the    tyme.	35711	36  56  93   IO  2    19  8  18  25  404  200  5OO  406  259  287  4O4  87  18  93  407  408.
35713	In  execution  here  of    wee     pre      pare     what    wee     are     able       in      this  place,    and      if	35714	251   T92  236  342  452  47  12   18  78  7  73  93    454  452   114    112    251   412  374    105   254
35715	wee    have  noe     ....   k.  from  Engl,   this    w      e     e      k    e,     the    next   wee     meane  to        fend	35716	452  234  323  328  25  197  529  412  21  93   56  44  42  407  325  452    316   404    23    18    27   39
35717	theHampfhire  with        anexpreffeto      this	35719	407  37  31   1647  59  2  8  12  18    10  IO4  64  49  6  2  IO  7  27  42  34  I    12  §6  33  25   18  404  412
35720	pur      p     o      s.	35722	1  26   12  47  18  23.
35730	of      let     t     e     r    s  for     the     fleet,  and      in        m     o     f    t        if      not      in      a     1      1      of	35732	343  278  6  18  12  25  10  99  196  407  495  105  251  16  30  90  97  254  320  251  83  33  69  343
35734	them    a    paper,  one     of    which  is     here      enclo      fed.     They  were      put     in        to       the	35735	409  31  364  346  343  458  259  236  42    27  9  5  19  23  93  39  (410    450    366   251  404  407
35736	let     t     e     r         s    after    they  were      f    e      a       1       e       d,    and       clo        f      e       d        up       with	35738	278  6 91   103  90  108  4io  4-59  59  93  3i  33   42  1 1  105  9  5  19  59  56   80  z6if 53  S  6  2
35740	wax.	35742	21   7   13.)
35744	The    let       ters  being  moft    delivered  before  wee  had  knowledge  thereof	35746	407278  50  18  12  90  10493  8  27  20  10  16302550  172  39  133452  240273413  343
35748	wee  thought  belt    to      let     them  pafle    in       f    i    1     e     n     c     e,  only    made  them	35750	10  32  452  428  142  404  278  409  368  251  23  8  5  18  27  9  93  347  16  31  n  18  32  IO  409
35752	bee  taken       out  of    thofe    let     t    e     r       s     that    were    not     deliver'd.	35754	4  18  93  10  32  405  27  19  26  6  10  104  343  419  278  6  18  12  92  406  450  320  172  II.
