row	cipher_lines	neighbour_len_pm3	neighbour_len_exact
P2	2	1	0
P3	3	0	0
P4	10	3	0
P5	17	2	1
P6	7	0	0
P7	26	3	0
P8	15	12	1
P9	2	2	1
P10	3	0	0
P11	4	0	0
P12	4	0	0
P13	7	1	0
P14	4	0	0
P15	4	0	0
P16	2	2	2
P17	46	36	13
P18	5	3	2
P19	2	2	2
P20	3	2	1
P21	29	14	2
P22	17	13	4
P23	24	12	3
P24	15	12	6

group	letters set over it in the print (exact-length lines of P19 P21 P22 P23)
3	a:4 e:2 i:1 c:1 n:1
4	t:1
5	a:7 s:1 e:1 n:1 t:1 v:1 k:1
6	d:4
7	c:2 e:1
8	d:2 t:1
9	c:3 o:1 n:1
10	f:2 r:1
11	e:16 m:1 s:1 p:1 n:1 i:1 l:1
12	s:1 g:1
13	e:4 a:2 t:2 n:2 h:1 r:1 y:1 w:1 s:1
14	h:3 g:1 t:1 f:1 n:1
15	g:2
16	h:5 i:1 o:1
17	g:1 t:1 e:1
18	c:1
19	i:3 p:1 r:1 t:1
20	e:2 k:1
21	i:4 o:2 h:1 j:1 u:1
22	m:1 a:1
23	l:6
24	s:1 o:1
25	i:1 e:1 h:1
26	o:6 a:1 i:1 g:1 m:1
27	n:5
28	o:3 h:1 n:1 t:1
29	n:4 f:2 b:1
31	t:1 r:1
33	p:1
34	t:3 e:2 s:1 i:1 h:1 l:1 f:1 u:1
35	r:4 t:1
36	s:3 e:2 r:1 a:1
37	m:1 t:1 r:1
38	v:2 u:2 a:1 n:1
39	t:7 e:2 i:1 g:1 r:1 o:1
40	e:1 u:1 c:1
41	t:5 a:1 h:1 i:1 o:1 u:1
43	w:1 o:1
45	w:2 t:1
47	y:2 d:1
49	y:1
