plain_line	plain_raw	cipher_line	cipher_raw
101L48	the pofture of the enemy	101L47	373 26 12 18 343 407 42 27 18 16 24
101L50	to you not rationalle, to attempt the burneinge of the Spanifh fleet in	101L49	404 478 320 54 31 6 8 19 52 7 33 404 55 6 50 42 48 101 68 407 36 45 54 76 49 52 20 18 343 407 495 343
101L52	Cadiz fome of your fhips may be fpared into the chanel	101L51	500 251 501                    401 343 480 494 309 36 18 23 25 7 12 93 11 251 404 407 28 2 31 27 42 33
101L54	trade, and the blockeinge up of Dunkirk and Oftend, where the	101L53	343 50 54 31 11 42 105 407 87 33 19 91 25 8 27 20 18 16 47 343 170 45 27 25 96 54 25 18 105 30
101L56	pirates and fhips of warre grow fo numerous, that lately eighteen or nineteen of them in	101L55	23 50 180 53 37 42 103 18 the 47 24 54 5 6 18 23 and 494 343 449 20 12 19 21 90 30 42 27 26 16 18 54 30 26
101L58	a body	101L57	59 406 279 6 42 281 110 or 19 343 409 251 a 495
101L60	therefore we have refolved to call into thefe feas part of the fleet	101L59	413 196 18 452 234 394 11 404 9 7 5 33 251 404 420 23 18 7 25 47 31 54 50 343 407 495
101L62	now with you to give orders to ten	101L61	27 19 53 21 8 6 37 478                    102 404 219 344 39 183 23 404 97 56 76 494
101L64	fhipps under a good officer to faile with the firft opportunity of wynd and weather into	101L63	438 7 220 349 404 400 21 49 50 37 407 198 19 1 47 88 12 50 26 52 86 24 74 14 53 43 52 71 105 465 251 404
102L2	them to give notice unto us of their arrivall	102L1	407 39 30 21 52 18 90          409 404 219          76 74 50 77 91 93 436 437 343 411 31 54 73 8 26 55 69
102L4	which of the fhipps you will fend beft able to	102L3	72 458 343 407 494 478 460 59 18 27 71                                        131 142 112
102L6	which of them will be fitteft for this be beft fpared by you	102L5	404 260 458 343 409 460 36 18 205 18 25 6 196 412                    4 18 142 25 78 7 18 11 136 478
102L8	the leffer fort of fhips frigotts will beft	102L7	82 33 18 23 25 42 103 90 30 54 50 343 494          211 23 169 46 142
102L10	here refolved, not knowing of your	102L9	236 51 99                    394 39 10 320 264 253               343 480
102L12	more then your letter reprefents But in cafe you are	102L11	298 414 104 480              268 61 8 54                36 45 50 32 251 28 31 90 18 478      114
102L14	hath emerged our letter and inftruction	102L13	164 344 254                233 42 16 93 73 20 42 11 74 45 73 278 50 18 54 105 251 59 50 12 269 50 96 345 23
102L16	Lloyd which thefe orders will not well	102L15	136 66 31 47 50 55 8 52 18 69 69 30 58 11                    458 420 344 80 93 103 90 460 320 459
102L18	wee leave it to you wee have herein writt, wheither you will	102L17	452 33 18 31 94 18 96 50 404 478                    452 234 356 251 86 73 49 50   462   478 460
102L20	not difappoint which may	102L19	90 56 27 39 420 494 344 320                99 320 72       11 8 23 7 1 47 19 8 27 6      415 458 309
102L22	in your eye	102L21	251 480 186 344 164 404 4 93 168 413 135 407 495 102 82 104
