value	meaning	n	agree	others
41	b	2	2	
43	l	1	1	
54	a	1	1	
60	m	1	1	
66	i	1	1	
72	o	1	1	
85	h	1	1	
100	have	1	1	
111	be	1	1	
124	ad	1	1	
136	ne	1	1	
146	pe	1	1	
148	fir	2	2	
160	ef	2	1	the:1
164	were	1	1	
176	t	1	1	
177	to	1	1	
191	tie	1	1	
217	ro	1	1	
219	c	1	1	
225	fr	1	1	
238	ed	1	1	
245	pe	1	1	
251	c	1	1	
278	am	1	1	
292	an	1	1	
293	was	1	1	
304	wh	1	1	
313	off	1	1	
324	i	2	1	si:1
334	pe	1	1	
337	ga	2	2	
343	on	2	1	wee:1
346	will	1	1	
350	on	1	1	
353	e	1	1	
367	i	1	1	
372	r	1	1	
383	ol	1	1	
387	vi	1	1	
391	cl	1	1	
404	are	1	1	
406	eh	1	1	
411	on	3	1	rf:1,that:1
424	n	2	2	
434	ent	1	1	
442	there	1	1	
466	na	2	2	
481	o	1	1	
493	lo	1	1	
498	s	1	1	
500	y	1	1	
517	ca	1	1	
522	ad	2	1	di:1
531	d	1	1	
562	ing	1	1	
570	you	1	1	
573	de	1	1	
580	ner	1	1	
597	w	1	1	
598	your	1	1	
