plain_line	plain_raw	cipher_line	cipher_raw
47929	wind  contrary	47931	THE  13  409  413  40  913  Was  fo  long  403  401   19  26  417  31  44  60  405,   that  Vol.  xxlv.
47932	arrived  Rotterdam  P-  2°8.	47934	I  400  44  417  16  420  405  40  att  417  2  26  419  405  44  406  400  ^   350
47936	eighteenth  September	47938	only  trpon  the  405  60  10  408  26  5  405  19  418  405  24  419  405  412  401  405
47944	the  twentyeth-one  of  the	47946	419   50  405    708    2   6    13   405   413   419    60  405    914  414    19    405    548    2   404  910
47947	month.  fay  nothing	47949	26  50  5  500  fame  208  710  540.  lean  48  400  16  504  19  419  26  50  419  19
47951	J.  ofB.  •  come  Ch.  St.'s  court,	47953	10  541  as  yet  j  but  that  164  548  913  is  now  403  2  39  405  548  to  156  418  403
47955	retinue  fplendid  equipage.	47957	414  18  44  26  500,  with  good  44  405  419  60  19  420  405  and  48  24  410  405
47959	Strong  endeavourings	47961	413  40  60  406  914  5  14  18  60  24  31  10  405.  418  419  414  19  10  350  405
47968	Spayne  Ch.  St.         moove  the	47970	A.D.1654. 19  406  5  400  420  414  18  407  418  are  ufed  by  62  542  and  156,  to  39  2  419  18
47972	>     **.—      )    United  Provinces  join  keep  loof	47974	405  546  73    to    500    60   2    409    19    708  with  them :    but  they  36  405  3  24  547
47976	Sweaden  bad  condition.	47978	460  49  414  2  7  as  yet.  y6   is  in  401  400  40  542  403  2  19  40  60  419  60  414
47984	twerpe  and  Bruflels ;  whence  you	47986	132  400  513  406  910  122;  from  13  50  405  413  403  405  530  16  2  421  fhall
47992	councils.	47994	in  all  your  403  2   18  413  403   405  49  411   542  910.     I  remaine
