value	meaning	grade	n_in_letter	n_agree	other_alignments	source
1	p	C	30	19	a:2,d:2,w:2,e:1,i:1,n:1,r:1,y:1	printed interlinear, 19 agreeing places
2	h	C	17	16	n:1	printed interlinear, 16 agreeing places
3	e	C	2	2		printed interlinear, 2 agreeing places
4	b	C	11	9	e:2	printed interlinear, 9 agreeing places
5	l	C	14	14		printed interlinear, 14 agreeing places
6	t	C	28	28		printed interlinear, 28 agreeing places
7	a	C	43	42	i:1	printed interlinear, 42 agreeing places
8	i	C	27	27		printed interlinear, 27 agreeing places
9	c	C	17	16	r:1	printed interlinear, 16 agreeing places
10	o	M	1	1		printed interlinear, one place
11	d	C	24	24		printed interlinear, 24 agreeing places
12	r	C	42	42		printed interlinear, 42 agreeing places
13	r	M	2	1	x:1	printed interlinear, one place
14	f	M	1	1		printed interlinear, one place
16	m	C	12	10	b:1,v:1	printed interlinear, 10 agreeing places
17	q	C	3	2	m:1	printed interlinear, 2 agreeing places
18	e	H	49	49		Tomokiyo thurloe.htm; print agrees
19	o	C	46	45	e:1	printed interlinear, 45 agreeing places
20	g	C	12	12		printed interlinear, 12 agreeing places
21	w	C	12	11	f:1	printed interlinear, 11 agreeing places
23	f	C	30	29	l:1	printed interlinear, 29 agreeing places
24	y	C	7	7		printed interlinear, 7 agreeing places
25	f	C	29	24	k:3,a:1,i:1	printed interlinear, 24 agreeing places
26	u	C	23	22	t:1	printed interlinear, 22 agreeing places
27	n	C	37	36	r:1	printed interlinear, 36 agreeing places
28	c	C	19	18	e:1	printed interlinear, 18 agreeing places
29	t	M	1	1		printed interlinear, one place
30	o	C	22	22		printed interlinear, 22 agreeing places
31	a	C	29	29		printed interlinear, 29 agreeing places
32	w	M	1	1		printed interlinear, one place
33	l	C	13	13		printed interlinear, 13 agreeing places
34	y	M	1	1		printed interlinear, one place
36	b	C	15	15		printed interlinear, 15 agreeing places
37	h	C	11	10	n:1	printed interlinear, 10 agreeing places
39	d	C	9	8	y:1	printed interlinear, 8 agreeing places
41	i	M	1	1		printed interlinear, one place
42	e	H	27	27		Tomokiyo thurloe.htm; print agrees
43	y	C	4	4		printed interlinear, 4 agreeing places
44	k	C	4	3	u:1	printed interlinear, 3 agreeing places
45	u	C	16	16		printed interlinear, 16 agreeing places
46	g	C	4	4		printed interlinear, 4 agreeing places
47	p	C	12	12		printed interlinear, 12 agreeing places
48	m	C	15	15		printed interlinear, 15 agreeing places
49	i	C	20	20		printed interlinear, 20 agreeing places
50	t	C	32	32		printed interlinear, 32 agreeing places
52	n	C	21	21		printed interlinear, 21 agreeing places
53	u	C	2	2		printed interlinear, 2 agreeing places
54	r	C	24	23	l:1	printed interlinear, 23 agreeing places
55	a	C	11	11		printed interlinear, 11 agreeing places
56	e	H	13	12	a:1	Tomokiyo thurloe.htm; print agrees
58	y	C	2	2		printed interlinear, 2 agreeing places
59	f	C	13	11	e:1,i:1	printed interlinear, 11 agreeing places
61	e	M	2	1	h:1	printed interlinear, one place
62	b	C	3	2	h:1	printed interlinear, 2 agreeing places
65	m	C	3	2	c:1	printed interlinear, 2 agreeing places
66	c	C	4	4		printed interlinear, 4 agreeing places
68	t	C	7	7		printed interlinear, 7 agreeing places
69	l	C	2	2		printed interlinear, 2 agreeing places
71	d	C	3	3		printed interlinear, 3 agreeing places
73	r	C	5	5		printed interlinear, 5 agreeing places
74	o	C	3	3		printed interlinear, 3 agreeing places
75	g	C	2	2		printed interlinear, 2 agreeing places
76	n	C	4	4		printed interlinear, 4 agreeing places
77	i	C	4	4		printed interlinear, 4 agreeing places
78	p	M	1	1		printed interlinear, one place
79	u	C	7	7		printed interlinear, 7 agreeing places
80	d	C	2	2		printed interlinear, 2 agreeing places
81	l	M	1	1		printed interlinear, one place
83	a	C	4	4		printed interlinear, 4 agreeing places
85	r	M	1	1		printed interlinear, one place
88	o	M	1	1		printed interlinear, one place
90	s	C	24	23	e:1	printed interlinear, 23 agreeing places
92	e	M	2	1	m:1	printed interlinear, one place
93	e	H	34	34		Tomokiyo thurloe.htm; print agrees
