value	meaning	kind	source
39	e	letter	Tomokiyo thurloe.htm "George Downing (1658-1660)" -- Thurloe-cipher E=39/40/41/42/43/44/45 (NOT the separate Clarendon-cipher table on the same page, which is a different code)
40	e	letter	as above (homophone)
41	e	letter	as above (homophone)
42	e	letter	as above (homophone)
43	e	letter	as above (homophone)
44	e	letter	as above (homophone)
45	e	letter	as above (homophone)
468	the	word	as above, THE=468
178	ab	syllable	as above
227	ba	syllable	as above
231	be	syllable	as above
232	been	word	as above
237	bi	syllable	as above
239	by	word	as above
241	bo	syllable	as above
242	bu	syllable	as above
244	but	word	as above
524	us	word	as above
527	[Lord Nieuport]	code	as above (name)
534	[Lord Protector]	code	as above
535	[States General]	code	as above
536	[King of Sweden]	code	as above
572	[Charles Stuart]	code	as above
585	[Brussels]	code	as above
