cipher_line	idx	raw	kind	value	repair	plain_chunk	status
5707	0	APRI	clear				clear
5707	1	L	num	1		w	conflict:p
5707	2	L	num	1		e	conflict:p
5707	3	20th,	doubtful			anchor	doubtful
5707	4	452	num	452		e	conflict:wee
5707	5	115	num	115		d	single-segment
5707	6	iS	clear				clear
5707	7	ir	clear				clear
5707	8	133	num	133		before	agrees
5707	9	501	num	501		cadiz	agrees
5707	10	105	num	105		and	agrees
5707	11	44.6	doubtful			review	doubtful
5707	12	42	num	42		e	agrees
5707	13	39	num	39		d	agrees
5707	14	407	num	407		the	agrees
5707	15	i	num	1		p	agrees
5707	16	19	num	19		o	agrees
5707	17	23	num	23		l	conflict:f
5707	18	6	num	6		t	agrees
5707	19	26	num	26		u	agrees
5707	20	12	num	12		r	agrees
5707	21	42	num	42		e	agrees
5707	22	p.	clear				clear
5707	23	-eg.	clear				clear
5710	0	34.3	doubtful		343	of	repaired
5710	1	411	num	411		their	agrees
5710	2	494-	doubtful			hips	doubtful
5710	3	458	num	458		which	agrees
5710	4	114	num	114		are	agrees
5710	5	7	num	7		a	agrees
5710	6	4	num	4		b	agrees
5710	7	19	num	19		o	agrees
5710	8	45	num	45		u	agrees
5710	9	5°	num	50		t	agrees
5710	10	(28)	clear				clear
5710	11	400	num	400		faile	agrees
5710	12	410	num	410		they	agrees
5710	13	28i	num	281		y	conflict:ly
5710	14	251	num	251		in	agrees
5710	15	407	num	407		the	agrees
5710	16	9	num	9		c	agrees
5710	17	31	num	31		a	agrees
5710	18	12	num	12		r	agrees
5710	19	54	num	54		r	agrees
5710	20	55	num	55		a	agrees
5714	0	28	num	28		c	agrees
5714	1	65	num	65		c	conflict:m
5714	2	31	num	31		a	agrees
5714	3	18	num	18		e	agrees
5714	4	S9	doubtful		59	s	repaired
5714	5	3Z3	doubtful		323	noe	repaired
5714	6	5°	num	50		t	agrees
5714	7	3°	num	30		o	agrees
5714	8	i	num	1		p	agrees
5714	9	3*5	doubtful			mail	doubtful
5714	10	26	num	26		u	agrees
5714	11	47	num	47		p	agrees
5714	12	335	num	335		nor	agrees
5714	13	54	num	54		r	agrees
5714	14	49	num	49		i	agrees
5714	15	2°	num	20		g	agrees
5714	16	4^	doubtful			g	doubtful
5714	17	42	num	42		e	agrees
5714	18	39	num	39		d	agrees
5714	19	4*3	doubtful		413	there	repaired
5714	20	281	num	281		ly	agrees
5714	21	l8	num	18		e	agrees
5714	22	5°	num	50		t	agrees
5714	23	2	num	2		h	agrees
5714	24	(3)	clear				clear
5718	0	494	num	494		fhips	agrees
5718	1	251	num	251		in	agrees
5718	2	407	num	407		the	agrees
5718	3	16	num	16		m	agrees
5718	4	19	num	19		o	agrees
5718	5	45	num	45		u	agrees
5718	6	6	num	6		t	agrees
5718	7	2	num	2		h	agrees
5718	8	343	num	343		of	agrees
5718	9	407	num	407		the	agrees
5718	10	247	num	247		harbor	single-segment
5718	11	196	num	196		for	agrees
5718	12	404	num	404		to	agrees
5718	13	25	num	25		f	agrees
5718	14	49	num	49		i	agrees
5718	15	27	num	27		n	agrees
5718	16	25	num	25		k	conflict:f
5718	17	105	num	105		and	agrees
5718	18	350	num	350		other	agrees
5718	19	222	num	222		great	agrees
5718	20	I	num	1		p	agrees
5718	21	54	num	54		r	agrees
5718	22	$6	doubtful		56	e	repaired
5722	0	47	num	47		p	agrees
5722	1	31	num	31		a	agrees
5722	2	103	num	103		r	agrees
5722	3	7	num	7		a	agrees
5722	4	6	num	6		t	agrees
5722	5	8	num	8		i	agrees
5722	6	30	num	30		o	agrees
5722	7	27	num	27		n	agrees
5722	8	25	num	25		s	agrees
5722	9	343	num	343		of	agrees
5722	10	216	num	216		guns	single-segment
5722	11	105	num	105		and	agrees
5722	12	9	num	9		c	agrees
5722	13	2	num	2		h	agrees
5722	14	7	num	7		a	agrees
5722	15	8	num	8		i	agrees
5722	16	27	num	27		n	agrees
5722	17	90	num	90		s	agrees
5722	18	105	num	105		and	agrees
5722	19	328	num	328		ne	single
5722	20	47	num	47		p	agrees
5722	21	5	num	5		l	agrees
5722	22	31	num	31		a	agrees
5722	23	50	num	50			null-or-unaligned
5722	24	29	num	29		t	single-segment
5722	25	19	num	19		o	agrees
5722	26	54	num	54		r	agrees
5726	0	48	num	48		m	agrees
5726	1	23	num	23		s	agrees
5726	2	31	num	31		a	agrees
5726	3	59	num	59		f	agrees
5726	4	37	num	37		h	agrees
5726	5	l9	num	19		o	agrees
5726	6	55	num	55		a	agrees
5726	7	I03	num	103		r	agrees
5726	8	42	num	42		e	agrees
5726	9	4°4	num	404		to	agrees
5726	10	363	num	363		oppofe	agrees
5726	11	3l	num	31		a	agrees
5726	12	27	num	27		n	agrees
5726	13	55	num	55		a	agrees
5726	14	6	num	6		t	agrees
5726	15	5°	num	50		t	agrees
5726	16	42	num	42		e	agrees
5726	17	16	num	16		m	agrees
5726	18	1	num	1		p	agrees
5726	19	6.	num	6		t	agrees
5730	0	452	num	452		wee	agrees
5730	1	234	num	234		have	agrees
5730	2	31	num	31		a	agrees
5730	3	33	num	33		l	agrees
5730	4	^9	doubtful			f	doubtful
5730	5	30	num	30		o	agrees
5730	6	56	num	56		e	agrees
5730	7	I93*11	doubtful			examined	doubtful
5730	8	407	num	407		the	agrees
5730	9	3°6	num	306		march	single-segment
5730	10	3l	num	31		a	agrees
5730	11	27	num	27		n	agrees
5730	12	6	num	6		t	agrees
5730	13	9°	num	90		s	agrees
5730	14	105	num	105		and	agrees
5730	15	350	num	350		other	agrees
5730	16	23	num	23		s	agrees
5730	17	105	num	105		and	agrees
5730	18	410	num	410		they	agrees
5730	19	7	num	7		a	agrees
5730	20	5	num	5		l	agrees
5730	21	33	num	33		l	agrees
5733	0	3GO	clear				clear
5733	1	437	num	437		make	single-segment
5733	2	456	num	456		the	single-segment
