plain_line	plain_raw	cipher_line	cipher_raw
39866	proceed  .it  rh.s  rare,  earlofShe'l-	39868	21   qc  26  7  13   11   8  5  41   39  16  21   34  37  3  41    11,  into  the  north,  from  whence  burn>
39874	aC   ]arge.  H.  h.  had  a  fine  game  to  play  a  week  fince,	39876	39  41  47  5  23  25  3  39  255  35  17  11.  Z  14  5  6  3  10  19  29  13  17  5  24  11
39878	it  he   na.i  had  taithrui  councei;	39880	39  26  33   24  3  49  5  45  *3  IJ  2°  °6  J9  29  9  JI  2I  I2  *4  13  16  3  6  14  5  8
39882	and   I   think,  there  is    yet  fome  remedy;	39884	10  3  21  41  14  2  38  23  7  26  40  29  9  11  25  5  29  6  21  29  l6  19  27   2°4*  J4
39886	but  aUs  !	39888	13  35  11  21  34  49  11  41  36  26  24  II   37  "  22  l3  8  47  J  4  38  4*  5  23  3  36
39890	we-  vant  nmny  or  useyther  wit	39892	43  13  "  45  3  29  39  22  5  27  49  26  I2  38  36  ll   49  39  l6  l3   35   AS  19   41
39895	or  coai ...  e.	39898	28  35  28  35  9  26  38  37  5  i5  i3-  ..   .  .
39900	i-s  generally  revil'd,  as  nloft  uneodiy  and  anti-	39902	A  21  34  17  11  29  13  35  5  23  25  47  37  ii  40  19  23  8,  3  36  22  26  36   41
39904	rhriftian;  u:-	39906	38  29  17  26  6  25  49  5  27  6  5  29  39  19  7  16   35   21  34  39  19  5   29  j  2  40
39908	God  be  thank  ,  von  are  pre  iy,	39910	I39  15  28  6  4  11  39  16  3  29  18  39  49  26  40  5    35    13  33  35   11  41  39   49
39919	A  D  l6rR  will  be  throwne  out  of  the  windowe,	39921	iJs-y>sL>       B'   45    x9    25  2  *3  4i   14  37  26  45  27  T3  28  40  39  28  I0  4*   H  IJ  45  19
39923	if  he  flay  j  yen  flycs  not	39925	29  6  28  43  13  21  12  16  11  34  41  3  49  •,  47  13  39  10  25  47  13  34  27  26  41
39927	uppon  that  account  ;  for  if  he  had  orders,	39929	40  33  31  26  29  39  16  5  41  3  9  7  26   38  27  29  >  IO  28  35   21  10  16   13  14  5
39931	he  has  a  regiment  of	39933	8  26  37  6  13  35  34,  14  13  16  3  36  5  1  37  11  17  19  24  13  27  39  28  10  14
39935	honeeft  rellowes  in  towne,  would  guard	39937	28  27  13  36   41  12  13  25  23  28  43  11  36   21  27  3^   28  43  27  13,  45  26  38
39939	the  belt  of  them  to  the  tower.	39941	25  6  15  40  3  37  8  41  13  11  4  13  34  41  28  10  41  14  13  24  39  26  41  14  13
39943	that  place  is  not	39945	39  26  43  13  35.    But  I  feare,  the  matter  of  41   14  3  39  33  23  5  7  13  19  36  29
