plain_line	plain_raw	cipher_line	cipher_raw
32125	unexprefable  greif  I  now  V— »— y— «J	32127	,'T'IS    With    38    27    II    42    31    35    II    34    3    2    23    II     15    35    II     19    10    19    27  26  43  \nthe  polTef-
32128	-*■  g  ve  the  lad  account  of  H.  H.    con-  ^on  °*  tne	32130	15  19  38   "  your  lordfhipp  39  14  11  34  3  6  3  7  7  26  38  27  39  26  10  Z  7  26^^^
32134	s  r  '  s.  burn.	32136	27  6    19  39  19  39  19  26  27,  43  14  19  7  14  3  23  39   14  11  31  14  47  34  19
32138	h.we  ju'1gQ  dangerous,	32140	39  19  3  27  34  14  3  38   11  for  fome  dayes  19  38  6    15    6   6  3  27   15  11   35  26
32142	moie  then  ever.    Tho'  his	32144	38  34,  and  now  22  26  35    11  39  14  11  27  11  38  11  35.    39  14  26  14  19  34
32146	iols  carry  weignc	32148	23  26  34  34  muft  needs  7  3  35  35  47  43   11   19   15  14  39  ynough  in  iffelfe,    47
32150	yet  the  milerruue  poiiure	32152	11   39  the  confideration  of  39   14  11   22   19  34  11   35  3   2   23   11   31   26  34  39  38
32154	hec  ,e:vs  thefe  nations  in	32156	35  11  14  11  11  23  11  3  38  34  sg   14  11  34  11  27  3  39  19  26  27  34  19  27
32158	is  ilupendious.  to	32160	19  34  34  39  38  31    11   27  6  19  26  38  34.      My  lord,  I  hold   it  my  duty  39  26
32162	acqua.nt  you  how  wee  itand  at:  prclent;	32164	3  7  30  38  3  19  27  39  47  26  38  14  26  43  43  11  11  34  39  3  27  6  3  39  3l  35
32166	leave  the  further	32168	11  34  11  27  39;  and  then  23  11  3  38  11  39  14  11  10  38  35  39  14  11  35   31
32170	proceed  or  things  to  God's  direction,	32172	35  26   j  11    11  6   26   10  ^g   14  19  27  15  34  39  26  15  26  6  34  6  19  35   11  7
32174	and  your  lordfhip's  wifdome.	32176	39  19  26  27,  3  27  6  47  26  38  35   23  26  35   6  34  14  19  31  34  43  19  34  6  26
32179	A  iucceflbr  none  named,  I  can	32181	3  34  38  7  7  11  34  34  26  35  there  is  27  26  27  11   27  3  22  11   6,  that  19  7  3
32183	learn.  relolved  to  prefs	32185	27  23   11   3  35  27.  T.  has  feem'd  to  be   35  11   34  26  23  38  6  39  2&  31   35  u
32187	him  in  his  intervals  to  fuch	32189	34  34  H  -19  22  :9  27  H  J9  34  19  27  39  IX  35   38  3  23  34  39  26  34  38  7  H
