target	query	hits	read
ciphers/lodewijk-van-nassau-1573-74	Salentin AND 1573 AND ("Johann von Nassau" OR "Jan van Nassau" OR "Jean de Nassau") AND (Köln OR Koln OR Cologne OR Keulen) AND (Groen OR Prinsterer OR Oktober OR October)	no relevant hit (0 results, none about the letter)	-
ciphers/lodewijk-van-nassau-1573-74	(Salentin OR "Salentin von Isenburg") AND (Graff OR Arnsberg) AND ("Johann von Nassau" OR "Graf Johann") AND ("Oktober 1573" OR "October 1573" OR 1573)	no relevant hit (1 results, none about the letter)	-
ciphers/bl-charles-digby	"Wheatstone" AND ("Goffe" OR "Goff") AND (cipher OR cypher) AND "Charles I"	no relevant hit (12 results, none about the letter)	-
specs/powers-1991.json	Herman AND Lernout AND "Gold Bug Variations" AND (Mosaic OR "Genetic Randomness")	candidate: Genetic Coding and Aesthetic Clues: Richard Powers's "Gold Bug Variations" | Luc Herman and Geert Lernout | Mosaic: An Interdisciplinary Critical Journal, 31(4) | 1998 | 151-164 | https://www.jstor.org/stable/44029740. Read in JSTOR's online viewer: p. 162 prints the 32-triplet dedication and discusses it as initials, identifying JSB with Johann Sebastian Bach and SDG with his motto.	Read in JSTOR's online viewer: p. 162 prints the 32-triplet dedication and discusses it as initials, identifying JSB with Johann Sebastian Bach and SDG with his motto.
ciphers/antt-fcc-costacabral-1865	("Costa Cabral" OR "Conde de Tomar" OR "Conde de Thomar") AND ("Santa Sé" OR "Holy See" OR Padroado) AND 1865	context: A política e os partidos entre 1851 e 1861 | José Miguel Sardica | Análise Social | 1997 | 279-333 | https://www.jstor.org/stable/41011267; context: Portugal e Espanha em 1856: a díspar evolução política do liberalismo peninsular | Ignacio Chato Gonzalo and Diogo Costa | Análise Social | 2007 | 55-75 | https://www.jstor.org/stable/41012458	-
ciphers/clair349-este-guise-1556	("cardinal de Ferrare" OR "Ippolito d'Este" OR "Hippolyte d'Este") AND Guise AND (1557 OR 1556) AND (chiffre OR cipher OR lettre)	candidate: Une lettre du cardinal de Ferrare à propos de la défaite de Saint-Quentin (30 août 1557) | Suzanne Solente | Bibliothèque de l'École des chartes | 1962 | 178-185 | https://www.jstor.org/stable/43011260. Read in JSTOR's online viewer: pp. 179-183 identify and discuss a letter to Fourquevaux dated 30 August 1557, printed on pp. 183-185, rather than the target letter to Guise of 3/4 January 1557.; context: Un pas-de-deux padan au XVIe siècle. Francesco d’Este dans le jeu diplomatique du duché de Ferrare | Jean Sénié | Histoire, Économie et Société | 2021 | 15-31 | https://www.jstor.org/stable/27104133; context: François de Lorraine (1520-1563) : duc de Guise et nouveau Roi mage | Éric Durot | Histoire, Économie et Société | 2008 | 3-16 | https://www.jstor.org/stable/23614056; context: Banque et pouvoir au XVIe siècle: la surintendance des finances d'Albisse del Bene | Marie-Noëlle Baudouin-Matuszek and Pavel Ouvarov | Bibliothèque de l'École des chartes | 1991 | 249-291 | https://www.jstor.org/stable/43014172	Read in JSTOR's online viewer: pp. 179-183 identify and discuss a letter to Fourquevaux dated 30 August 1557, printed on pp. 183-185, rather than the target letter to Guise of 3/4 January 1557.
ciphers/clair349-este-guise-1556	("Clairambault 349" OR "Clair. 349") AND (Guise OR Ferrare)	candidate: Un pas-de-deux padan au XVIe siècle. Francesco d’Este dans le jeu diplomatique du duché de Ferrare | Jean Sénié | Histoire, Économie et Société | 2021 | 15-31 | https://www.jstor.org/stable/27104133. Read in JSTOR's online viewer: p. 27, note 61, calendars Francesco d'Este to François de Guise, 16 August 1556, at Clairambault 349, pp. 190-194; that citation concerns a different letter from Ippolito's 3/4 January 1557 target.	Read in JSTOR's online viewer: p. 27, note 61, calendars Francesco d'Este to François de Guise, 16 August 1556, at Clairambault 349, pp. 190-194; that citation concerns a different letter from Ippolito's 3/4 January 1557 target.
ciphers/clair349-este-guise-1556	("capitaine Livio" OR "capitano Livio") AND (Guise OR Ferrare OR Ferrara) AND 1557	no relevant hit (0 results, none about the letter)	-
ciphers/thurloe-printed	"Henry Manning" AND (Cologne OR Thurloe) AND (1655 OR spy OR intelligence)	candidate: John Thurloe and the Cromwellian regime | Alan Marshall | Intelligence and espionage in the English Republic c. 1600-60 (book chapter) | 2023 | 177-224 | https://www.jstor.org/stable/j.ctv33b9x14.10. blocked: JSTOR denied the online viewer for pp. 177-224 with "Your institution does not have access to this book on JSTOR", so whether the chapter prints, calendars or discusses the April-May 1655 Manning letters could not be determined.; context: Richard Talbot—The Man Who Didn't Kill Cromwell | Pádraig Lenihan | History Ireland | 2015 | 18-21 | https://www.jstor.org/stable/24292307; context: Review of Royalist Agents, Conspirators and Spies: Their Role in the British Civil Wars, 1640–1660 | Vivienne Larminie | History | 2012 | 322-324 | https://www.jstor.org/stable/24429339; context: Charles II, Lucy Walter, and the Stuart Courts in Exile | Nicole Greenspan | The English Historical Review | 2016 | 1386-1414 | https://www.jstor.org/stable/26364417. The online viewer's pp. 1397-1398 provide background on Manning and point to Greenspan's study of his espionage in note 59; these passages do not print or calendar the target letters.	blocked: JSTOR denied the online viewer for pp. 177-224 with "Your institution does not have access to this book on JSTOR", so whether the chapter prints, calendars or discusses the April-May 1655 Manning letters could not be determined.
ciphers/szembek-bk1560	"Szembek" AND (cipher OR szyfr OR cyfra OR "list zaszyfrowany") AND (Kórnik OR Kórnicka OR "BK 1560")	no relevant hit (0 results, none about the letter)	-
