target	query	hits	read
ciphers/lodewijk-van-nassau-1573-74	("Ludwig von Nassau" OR "Louis of Nassau" OR "Johann von Nassau") AND 1573 AND (Chiffre OR cipher OR entziffert) AND (Pfalzgraf OR Landgraf)	no relevant hit (0 results, none about the letter)	-
ciphers/lodewijk-van-nassau-1573-74	(Graveneinigung OR "Wetterauer Grafenverein") AND 1573 AND Dillenburg AND (Pfalz OR Hessen)	context: Delayed Confessionalization: Retarding Factors and Religious Minorities in the Territories of the Holy Roman Empire, 1555–1648 | Anton Schindling | State and Society in Early Modern Austria (book chapter) | 1994 | 54-70 | https://www.jstor.org/stable/j.ctt6wq6x8.8; context: Die Confessio Augustana in den reformierten Kirchen Deutschlands | Jan Rohls | Zeitschrift für Theologie und Kirche | 2007 | 207-245 | https://www.jstor.org/stable/23586363	-
ciphers/lodewijk-van-nassau-1573-74	"Wetterauer Grafenverein" AND Schmidt AND (1573 OR Graveneinigung) AND (Oranien OR Dillenburg) AND (Chiffre OR entziffert OR Pfalzgraf OR Landgraf)	context: Delayed Confessionalization: Retarding Factors and Religious Minorities in the Territories of the Holy Roman Empire, 1555–1648 | Anton Schindling | State and Society in Early Modern Austria (book chapter) | 1994 | 54-70 | https://www.jstor.org/stable/j.ctt6wq6x8.8; context: Die Confessio Augustana in den reformierten Kirchen Deutschlands | Jan Rohls | Zeitschrift für Theologie und Kirche | 2007 | 207-245 | https://www.jstor.org/stable/23586363	-
ciphers/lodewijk-van-nassau-1573-74	Dathenus AND 1573 AND (Oranien OR Orange OR Oranje) AND (Nassau OR Dillenburg) AND (Kassel OR Heidelberg OR Pfalz OR Hessen) AND (Chiffre OR cipher OR cijfer)	no relevant hit (3 results, none about the letter)	-
ciphers/espagnol142-mercy-1648	("abbé de Mercy" OR "abad de Mercy" OR "Abt von Mercy") AND (1648 OR Chevreuse OR "Saint-Ibal" OR Brandenburg OR Brandebourg)	no relevant hit (0 results, none about the letter)	-
ciphers/espagnol142-mercy-1648	("Leopold Wilhelm" OR "Léopold-Guillaume" OR "Leopoldo Guillermo") AND (Cleves OR Clèves OR Kleve) AND Brandenburg AND 1648	context: War or Peace 1646–8 | Peter H. Wilson | The Thirty Years War: Europe’s Tragedy (book chapter) | 2009 | 709-748 | https://www.jstor.org/stable/j.ctv2sp3dtg.30; context: Pressure to Negotiate 1644–5 | Peter H. Wilson | The Thirty Years War: Europe’s Tragedy (book chapter) | 2009 | 671-708 | https://www.jstor.org/stable/j.ctv2sp3dtg.29; context: In the Balance 1641–3 | Peter H. Wilson | The Thirty Years War: Europe’s Tragedy (book chapter) | 2009 | 622-670 | https://www.jstor.org/stable/j.ctv2sp3dtg.28; context: Emperor and Empire after 1648 | Mark Hengerer | Making Peace in an Age of War: Emperor Ferdinand III (1608–1657) (book chapter) | 2020 | 239-252 | https://www.jstor.org/stable/j.ctvhhhdw7.18; context: Les Schwarzenberg à l'époque moderne | Jean Bérenger | Histoire, Économie et Société | 2007 | 29-46 | https://www.jstor.org/stable/23613803	-
ciphers/espagnol142-mercy-1648	("Mercy" OR "Merci") AND (Cleves OR Clèves OR Kleve OR Cleve) AND 1648 AND (Spain OR Espagne OR spanisch OR Leopold OR Léopold)	context: War or Peace 1646–8 | Peter H. Wilson | The Thirty Years War: Europe’s Tragedy (book chapter) | 2009 | 709-748 | https://www.jstor.org/stable/j.ctv2sp3dtg.30; context: The Westphalian Settlement | Peter H. Wilson | The Thirty Years War: Europe’s Tragedy (book chapter) | 2009 | 751-778 | https://www.jstor.org/stable/j.ctv2sp3dtg.31; context: Pressure to Negotiate 1644–5 | Peter H. Wilson | The Thirty Years War: Europe’s Tragedy (book chapter) | 2009 | 671-708 | https://www.jstor.org/stable/j.ctv2sp3dtg.29; context: The History Machine | Christopher Clark | Time and Power: Visions of History in German Politics, from the Thirty Years' War to the Third Reich (book chapter) | 2019 | 19-71 | https://www.jstor.org/stable/j.ctv5cg9bs.5	-
ciphers/espagnol142-mercy-1648	("Pierre Ernest de Mercy" OR "Pierre-Ernest de Mercy" OR "abbé d'Acey") AND (Leopold OR Léopold OR Chevreuse OR 1648)	no relevant hit (0 results, none about the letter)	-
ciphers/jan-van-nassau-1572-75	("Johann" OR "Jan") AND "Nassau" AND 1573 AND (Chiffre OR Ziffer OR cijferschrift) AND (Groen OR Dillenburg) AND (entziffert OR ontcijferd OR "deciphered")	no relevant hit (0 results, none about the letter)	-
ciphers/jan-van-nassau-1572-75	"Johann VI" OR "Jean de Nassau" AND ("Mookerheide" OR "Mookerheyde") AND 1574 AND (Koln OR Cologne OR Keulen)	no relevant hit (0 results, none about the letter)	-
ciphers/jan-van-nassau-1572-75	"Glawischnig" AND "Nassau-Dillenburg" AND ("Johann VI" OR Mookerheide) AND ("Koln" OR "Cologne" OR "17. April 1574")	context: The Nassaus and State Formation in Pre-Modern Germany | Jasper van der Steen | Dynasties and State Formation in Early Modern Europe (book chapter) | 2023 | 165-186 | https://www.jstor.org/stable/jj.1640541.10; context: VOLKSKULTUR UND GEWISSENSNOT: Zum Bilderstreit in der „zweiten Reformation“ | Werner Troßbach | Zeitschrift für Historische Forschung | 1996 | 473-500 | https://www.jstor.org/stable/43571995; context: GESANDTER EINER AUFSTÄNDISCHEN MACHT: Die ersten Jahre der Mission von Dr. Pieter Cornelisz. Brederode im Reich (1602-09) | Uwe Sibeth | Zeitschrift für Historische Forschung | 2003 | 19-52 | https://www.jstor.org/stable/43572115	-
ciphers/antt-linhares-chave	"Linhares" AND "cifra" AND ("dicionário" OR Vieyra)	context: Aspectos da evolução das finanças públicas portuguesas nas primeiras décadas do século XIX (1800-27) | Luís Espinha da Silveira | Análise Social | 1987 | 505-529 | https://www.jstor.org/stable/41010637; context: Bibliografía | - | Nueva Revista de Filología Hispánica | 1956 | 242-312 | https://www.jstor.org/stable/40297033	-
ciphers/antt-linhares-chave	"Sousa Coutinho" AND ("chave de uma cifra" OR "Diccionario")	context: BRAZIL AND SILVA LISBOA IN CONTEXT | Guilherme Celestino | The Influence of José da Silva Lisboa’s Journalism on the Independence of Brazil (1821-1822) (book chapter) | 2023 | 19-44 | https://www.jstor.org/stable/j.ctv32r02wj.6; context: CONSTITUTIONALISM BEFORE THE FICO 1821–1822 | Guilherme Celestino | The Influence of José da Silva Lisboa’s Journalism on the Independence of Brazil (1821-1822) (book chapter) | 2023 | 45-92 | https://www.jstor.org/stable/j.ctv32r02wj.7; context: RECLAMAÇÃO DO BRASIL: PAVING THE WAY FOR INDEPENDENCE WITHOUT SUPPORTING IT | Guilherme Celestino | The Influence of José da Silva Lisboa’s Journalism on the Independence of Brazil (1821-1822) (book chapter) | 2023 | 93-166 | https://www.jstor.org/stable/j.ctv32r02wj.8; context: The Royal Timber in Late Colonial Bahia | F. W. O. Morton | The Hispanic American Historical Review | 1978 | 41-61 | https://www.jstor.org/stable/2513600; context: Burocracia e tributação sobre a graça e as mercês | José Subtil | Análise Social | 2021 | 744-765 | https://www.jstor.org/stable/27136183; context: Liberalism in Portugal in the Nineteenth Century | Rui Ramos, Nuno Gonçalo Monteiro | In Search of European Liberalisms: Concepts, Languages, Ideologies (book chapter) | 2019 | 135-160 | https://www.jstor.org/stable/j.ctv1850h1f.7	-
ciphers/antt-linhares-chave	"Rodrigo de Sousa Coutinho" AND ("Rio de Janeiro") AND cifra AND correspondência	no relevant hit (12 results, none about the letter)	-
ciphers/clair1108-duvergier	"Clairambault 1108"	no relevant hit (0 results, none about the letter)	-
ciphers/fr5160-letellier-1653	"Servien" AND (Turin OR Savoie) AND 1659 AND ("Madame Royale" OR "Christine de France") AND (Brienne OR dépêche)	context: Richelieu, Mazarin and Italy (1635–59): Statesmanship in Context | David Parrott | Secretaries and Statecraft in the Early Modern World (book chapter) | 2016 | 155-176 | https://www.jstor.org/stable/10.3366/j.ctt1bh2kts.11	-
ciphers/fr5160-letellier-1653	"Revue d'histoire diplomatique" 2009 Servien Turin "duc de Savoie" mariage Mademoiselle 1659 (Google Books 1yFDAQAAIAAJ)	no relevant hit (0 results, none about the letter)	-
ciphers/trew-posthius-1614-18	"Posthius" AND ("Eisenmenger" OR "Eysenmenger")	no relevant hit (0 results, none about the letter)	-
ciphers/trew-posthius-1614-18	"Trew" AND "Geheimschrift" AND (Posthius OR Heidelberg) AND 1614	no relevant hit (1 results, none about the letter)	-
ciphers/vanbeuningen-dewitt-1657	"Van Beuningen" AND "De Witt" AND (cijfer OR cipher OR sleutel) AND (Noordse OR Denemarken OR 1657)	candidate: DIPLOMACY: CRAFT AND ART | Herbert Harvey Rowen | John de Witt, Grand Pensionary of Holland, 1625-1672 (book chapter) | 1978 | 238-256 | https://www.jstor.org/stable/j.ctt13x1c5x.18. The online viewer was blocked by JSTOR access restrictions, so whether these pages print, calendar or discuss the 19/29 September 1657 letter could not be determined; blocked: JSTOR redirected the candidate chapter to its book page and displayed "Your institution does not have access to this book on JSTOR" (https://www.jstor.org/stable/j.ctt13x1c5x); browser work stopped.	blocked: The online viewer for pp. 238-256 was denied with "Your institution does not have access to this book on JSTOR", so whether the chapter prints, calendars or discusses the target letter could not be determined.
ciphers/bl-charles-digby	"Wheatstone" AND ("Goffe" OR "Goff") AND (cipher OR cypher) AND "Charles I"	blocked: JSTOR redirected the candidate chapter to its book page and displayed "Your institution does not have access to this book on JSTOR" (https://www.jstor.org/stable/j.ctt13x1c5x); browser work stopped. This query was not run.	-
specs/powers-1991.json	Herman AND Lernout AND "Gold Bug Variations" AND (Mosaic OR "Genetic Randomness")	blocked: JSTOR redirected the candidate chapter to its book page and displayed "Your institution does not have access to this book on JSTOR" (https://www.jstor.org/stable/j.ctt13x1c5x); browser work stopped. This query was not run.	-
ciphers/antt-fcc-costacabral-1865	("Costa Cabral" OR "Conde de Tomar" OR "Conde de Thomar") AND ("Santa Sé" OR "Holy See" OR Padroado) AND 1865	blocked: JSTOR redirected the candidate chapter to its book page and displayed "Your institution does not have access to this book on JSTOR" (https://www.jstor.org/stable/j.ctt13x1c5x); browser work stopped. This query was not run.	-
ciphers/clair349-este-guise-1556	("cardinal de Ferrare" OR "Ippolito d'Este" OR "Hippolyte d'Este") AND Guise AND (1557 OR 1556) AND (chiffre OR cipher OR lettre)	blocked: JSTOR redirected the candidate chapter to its book page and displayed "Your institution does not have access to this book on JSTOR" (https://www.jstor.org/stable/j.ctt13x1c5x); browser work stopped. This query was not run.	-
ciphers/clair349-este-guise-1556	("Clairambault 349" OR "Clair. 349") AND (Guise OR Ferrare)	blocked: JSTOR redirected the candidate chapter to its book page and displayed "Your institution does not have access to this book on JSTOR" (https://www.jstor.org/stable/j.ctt13x1c5x); browser work stopped. This query was not run.	-
ciphers/clair349-este-guise-1556	("capitaine Livio" OR "capitano Livio") AND (Guise OR Ferrare OR Ferrara) AND 1557	blocked: JSTOR redirected the candidate chapter to its book page and displayed "Your institution does not have access to this book on JSTOR" (https://www.jstor.org/stable/j.ctt13x1c5x); browser work stopped. This query was not run.	-
ciphers/thurloe-printed	"Henry Manning" AND (Cologne OR Thurloe) AND (1655 OR spy OR intelligence)	blocked: JSTOR redirected the candidate chapter to its book page and displayed "Your institution does not have access to this book on JSTOR" (https://www.jstor.org/stable/j.ctt13x1c5x); browser work stopped. This query was not run.	-
