line	col	A	B	flagged	crop
BLA179_p6_L02	6	383	355	B	
BLA185_p5_L07	2	1185	1186		
BLA186_p1_L01	8	758	738		
BLA187_p3_L02	6	238	258		
BLA187_p3_L02	7	219	213	B	
BLA187_p3_L03	2	278	258	A	
BLA187_p3_L03	4	909	509		
BLA187_p3_L05	8	1288	1233	AB	
BLA187_p3_L07	2	829	824		
BLA187_p3_L07	8	385	387		
BLA187_p3_L10	3	137	135		
BLA187_p3_L10	8	951	551		
BLA188_p3_L01	2	298	278		
BLA188_p3_L01	6	834	831		
BLA188_p3_L01	7	298	278		
BLA188_p3_L02	5	369	869		
BLA188_p3_L04	9	672	692		
BLA188_p3_L07	2	1025	1029		
BLA188_p3_L07	6	1114	1119		
BLA188_p3_L09	1	-	282		
BLA188_p3_L09	2	-	665		
BLA188_p3_L09	3	-	576	B	
BLA188_p3_L09	4	-	388	B	
BLA188_p3_L09	5	-	1033		
BLA188_p3_L09	6	-	704		
BLA188_p3_L09	7	-	407		
BLA188_p3_L09	8	-	660		
BLA188_p3_L09	9	252	342	A	
BLA188_p3_L10	1	-	282		
BLA188_p3_L10	4	389	1200	A	
BLA188_p3_L10	5	1033	1020		
BLA188_p3_L10	6	704	660		
BLA188_p3_L10	7	407	899	A	
BLA188_p3_L10	8	660	837		
BLA188_p3_L10	9	342	1143		
BLA188_p3_L11	1		1150	AB	
BLA188_p3_L11	2	665	795	B	
BLA188_p3_L11	3	576	520		
BLA188_p3_L11	4	1200	941		
BLA188_p3_L11	5	1020	1014		
BLA188_p3_L11	6	660	968		
BLA188_p3_L11	7	899	381		
BLA188_p3_L11	8	831	429	A	
BLA188_p3_L11	9	1143	30		
BLA188_p3_L12	1	1150	1099		
BLA188_p3_L12	2	495	289		
BLA188_p3_L12	3	520	164		
BLA188_p3_L12	4	941	34		
BLA188_p3_L12	5	1014	662		
BLA188_p3_L12	6	968	1250		
BLA188_p3_L12	7	381	1033		
BLA188_p3_L12	8	429	659		
BLA188_p3_L12	9	30	432		
BLA188_p3_L13	1	-	278		
BLA188_p3_L13	2	1099	660		
BLA188_p3_L13	3	289	140		
BLA188_p3_L13	4	164	623		
BLA188_p3_L13	5	34	258		
BLA188_p3_L13	6	662	1014		
BLA188_p3_L13	7	1250	709	A	
BLA188_p3_L13	8	1033	123	B	
BLA188_p3_L13	9	659	595		
BLA188_p3_L13	10	432		B	
BLA188_p3_L14	1	-	1100		
BLA188_p3_L14	2	298	757		
BLA188_p3_L14	3	660	926		
BLA188_p3_L14	4	140	18		
BLA188_p3_L14	5	623	838		
BLA188_p3_L14	6	238	1013		
BLA188_p3_L14	7	1014	668		
BLA188_p3_L14	8	709	12		
BLA188_p3_L14	9	123	843	A	
BLA188_p3_L14	10	595	588		
BLA188_p3_L15	1	1100	695		
BLA188_p3_L15	2	757	345	A	
BLA188_p3_L15	4	18	-		
BLA188_p3_L15	5	838	191		
BLA188_p3_L15	6	1013	792		
BLA188_p3_L15	7	668	823		
BLA188_p3_L15	8	12	1045		
BLA188_p3_L15	9	843	432		
BLA188_p3_L15	10	588	926		
BLA188_p3_L16	1	-	659		
BLA188_p3_L16	2	695	454		
BLA188_p3_L16	3	345	68		
BLA188_p3_L16	4	926	438		
BLA188_p3_L16	5	191	96		
BLA188_p3_L16	6	792	369		
BLA188_p3_L16	7	823	18		
BLA188_p3_L16	8	1045	218		
BLA188_p3_L16	9	432	830		
BLA188_p3_L16	10	926	581		
BLA188_p3_L17	1	659	-	A	
BLA188_p3_L17	2	459	1193		
BLA188_p3_L17	3	68	941		
BLA188_p3_L17	4	438	1013		
BLA188_p3_L17	5	96	843		
BLA188_p3_L17	6	369	101		
BLA188_p3_L17	7	18	850		
BLA188_p3_L17	8	218	192		
BLA188_p3_L17	9	830	369		
BLA188_p3_L17	10	581	588		
BLA188_p3_L18	1	1195	922	A	
BLA188_p3_L18	2	941	381		
BLA188_p3_L18	3	1013	1081		
BLA188_p3_L18	4	843	796		
BLA188_p3_L18	5	101	1013		
BLA188_p3_L18	6	850	386		
BLA188_p3_L18	7	192	538		
BLA188_p3_L18	8	369	251		
BLA188_p3_L18	9	388	379		
BLA188_p3_L19	1	922	-		
BLA188_p3_L19	2	381	-		
BLA188_p3_L19	3	1081	-		
BLA188_p3_L19	4	796	-		
BLA188_p3_L19	5	1013	-		
BLA188_p3_L19	6	386	-		
BLA188_p3_L19	7	538	-		
BLA188_p3_L19	8	291	-		
BLA188_p3_L19	9	379	-	A	
BLA190_p7_L04	4	583	588	B	
BLA190_p7_L05	1	278	258		
BLA190_p7_L10	3	927	027	B	
BLA190_p7_L11	4	278	258		
BLA190_p7_L13	2	1018	1015	AB	
BLA188_p4_L02	3	599	999		
BLA188_p4_L02	6	65	69		
BLA188_p4_L03	7	348	398	B	
BLA188_p4_L04	2	59	39		
BLA188_p4_L06	6	416	716		
BLA188_p4_L07	6	484	984		
BLA188_p4_L09	7	59	39		
BLA188_p4_L10	5	1092	1042	B	
BLA188_p4_L15	1	378	-		
BLA188_p4_L18	3	668	665	AB	
BLA188_p5_L01	4	385	589		
BLA188_p5_L02	2	1015	1013		
BLA188_p5_L02	4	1149	1199	B	
BLA188_p5_L02	5	555	955		
BLA188_p5_L03	2	347	349		
BLA188_p5_L04	2	454	484		
BLA188_p5_L04	9	596	996		
BLA188_p5_L05	3	943	945		
BLA188_p5_L05	6	746		AB	
BLA188_p5_L08	8	441	941		
BLA188_p5_L09	3	533	833		
BLA188_p5_L09	5	1114	1119		
BLA188_p5_L09	7	756	796		
BLA188_p5_L11	2	295	298		
BLA188_p5_L11	4	155	195		
BLA188_p5_L11	7	51	54		
BLA188_p5_L11	9	935	939	B	
BLA188_p5_L12	2	409	1109		
BLA188_p5_L12	8	1013	1018		
BLA188_p5_L13	4	396	796		
BLA188_p5_L13	6	445	945		
BLA188_p5_L13	8	295	298		
BLA188_p5_L14	7	925	923		
BLA188_p5_L15	5	692	652		
BLA188_p5_L18	2	554	354		
BLA188_p6_L01	4	555	955		
BLA188_p6_L01	8	-	385		
BLA188_p6_L02	4	924	954		
BLA188_p6_L02	5	1015	1013		
BLA189_p3_L15	2	880	890		
BLA189_p3_L15	3	695	625		
BLA190_p5_L01	1	757	737		
BLA190_p5_L07	1	191	791		
BLA190_p5_L08	10	1013	1012		
BLA190_p5_L10	4	292	792		
BLA190_p5_L20	1	291	791		
BLA190_p6_L01	10	157	131	B	
BLA190_p6_L02	6	65	67		
BLA190_p6_L02	7	186	106		
BLA191_p5_L01	7	693	697	B	
BLA191_p5_L01	10	220	270	B	
BLA191_p5_L01	11	386	786	B	
BLA191_p5_L06	1	214	274	B	
BLA191_p5_L11	11	385	387	AB	
BLA191_p5_L13	4	377	357	B	
BLA194_p1_L01	1	837	534	A	
BLA194_p1_L03	4	-	34	B	
BLA194_p1_L03	5		692	AB	
BLA194_p1_L03	7	416	916		
BLA194_p1_L04	2	1154	1194		
BLA194_p1_L04	6	536	576		
BLA194_p1_L04	8	943	918	B	
BLA194_p1_L05	1	588	508		
BLA194_p1_L07	3	1199	1159		
BLA194_p1_L07	7	278	298		
BLA194_p1_L08	2	385	389		
BLA194_p1_L09	4	271	291		
BLA194_p1_L09	6	575	595		
BLA194_p1_L11	1	385	389		
BLA194_p1_L13	9	1154	1159		
BLA194_p1_L14	2	461	161	B	
BLA194_p2_L01	4	939	935		
BLA194_p2_L02	7	695	649		
BLA194_p2_L03	1	956	556		
