line	page	cryptogram	signs_per_line
c1_L01	c1	1	22
c1_L02	c1	1	21
c1_L03	c1	1	29
c1_L04	c1	1	23
c1_L05	c1	1	23
c1_L06	c1	1	18
c2a_L01	c2a	2	34
c2a_L02	c2a	2	28
c2a_L03	c2a	2	26
c2a_L04	c2a	2	27
c2a_L05	c2a	2	34
c2a_L06	c2a	2	31
c2a_L07	c2a	2	32
c2a_L08	c2a	2	26
c2a_L09	c2a	2	41
c2a_L10	c2a	2	33
c2a_L11	c2a	2	32
c2a_L12	c2a	2	36
c2a_L13	c2a	2	39
c2a_L14	c2a	2	31
c2a_L15	c2a	2	36
c2a_L16	c2a	2	32
c2a_L17	c2a	2	31
c2b_L01	c2b	2	37
c2b_L02	c2b	2	26
c2b_L03	c2b	2	31
c2b_L04	c2b	2	28
c2b_L05	c2b	2	23
c2b_L06	c2b	2	31
c2b_L07	c2b	2	26
c2b_L08	c2b	2	13
c2b_L09	c2b	2	14
c3_L01	c3	3	35
c3_L02	c3	3	33
c3_L03	c3	3	32
c3_L04	c3	3	18
c4a_L01	c4a	4	14
c4a_L02	c4a	4	13
c4a_L03	c4a	4	13
c4a_L04	c4a	4	18
c4a_L05	c4a	4	18
c4a_L06	c4a	4	15
c4a_L07	c4a	4	14
c4a_L08	c4a	4	17
c4a_L09	c4a	4	15
c4a_L10	c4a	4	17
c4a_L11	c4a	4	11
c4a_L12	c4a	4	19
c4a_L13	c4a	4	17
c4a_L14	c4a	4	13
c4b_L01	c4b	4	11
c4b_L02	c4b	4	15
c4b_L03	c4b	4	13
c4b_L04	c4b	4	16
c4b_L05	c4b	4	14
