line	col	A	B	flagged	crop
c4a_L01	1	MISC-05	MISC-37	AB	glyphs/strips/c4a_L01.jpg
c4a_L01	2	_	HOOK-L	AB	glyphs/strips/c4a_L01.jpg
c4a_L01	3	X	BAR-THIN	AB	glyphs/strips/c4a_L01.jpg
c4a_L01	6	MISC-05	NOTE	A	glyphs/strips/c4a_L01.jpg
c4a_L01	7	MISC-17	BAR-THIN	AB	glyphs/strips/c4a_L01.jpg
c4a_L01	8	BAR-SERIF	BAR-THIN	AB	glyphs/strips/c4a_L01.jpg
c4a_L01	9	LOOP-TAIL	DASH-H	AB	glyphs/strips/c4a_L01.jpg
c4a_L01	11	-	WAVE	B	glyphs/strips/c4a_L01.jpg
c4a_L01	12	X	MISC-36	AB	glyphs/strips/c4a_L01.jpg
c4a_L01	14	PCT	-	A	glyphs/strips/c4a_L01.jpg
c4a_L02	1	MISC-24	MISC-37	AB	glyphs/strips/c4a_L02.jpg
c4a_L02	2	PCT	BAR-THIN	AB	glyphs/strips/c4a_L02.jpg
c4a_L02	6	MISC-54	TRIPOD	AB	glyphs/strips/c4a_L02.jpg
c4a_L02	7	CROSS-T	MISC-32	AB	glyphs/strips/c4a_L02.jpg
c4a_L02	8	MISC-21	MISC-32	AB	glyphs/strips/c4a_L02.jpg
c4a_L02	9	MISC-33	BAR-THIN	AB	glyphs/strips/c4a_L02.jpg
c4a_L02	10	MISC-67	SUN	A	glyphs/strips/c4a_L02.jpg
c4a_L02	11	VENUS	CIRC-O	AB	glyphs/strips/c4a_L02.jpg
c4a_L02	13	CIRC-TAIL	DASH-H	A	glyphs/strips/c4a_L02.jpg
c4a_L03	2	VEE	PCT	A	glyphs/strips/c4a_L03.jpg
c4a_L03	3	MISC-55	MISC-50	AB	glyphs/strips/c4a_L03.jpg
c4a_L03	5	MISC-31	CRESCENT	AB	glyphs/strips/c4a_L03.jpg
c4a_L03	6	MISC-17	BAR-SOLID	AB	glyphs/strips/c4a_L03.jpg
c4a_L03	7	AMP	MISC-36	AB	glyphs/strips/c4a_L03.jpg
c4a_L03	9	Y-CURL	HOOK-L	AB	glyphs/strips/c4a_L03.jpg
