line	position	sign	base	confidence
c1_L01	1	O-TILDE	O	M
c1_L01	2	PCT-SLASH	PCT	M
c1_L01	3	OX-TILDE	OX	L
c1_L01	4	X	X	H
c1_L01	5	LAMBDA	LAMBDA	M
c1_L01	6	Y-CURL	Y-CURL	L
c1_L01	7	Y-CURL	Y-CURL	L
c1_L01	8	Y-CURL	Y-CURL	H
c1_L01	9	ARCH-DASH	ARCH	M
c1_L01	10	OX-TILDE	OX	H
c1_L01	11	X-CURL	X-CURL	L
c1_L01	12	O-SLASH	O	M
c1_L01	13	C-BAR-X	C-BAR-X	M
c1_L01	14	PCT-SLASH	PCT	L
c1_L01	15	XX-TILDE	XX	M
c1_L01	16	O-TILDE	O	L
c1_L01	17	PICT-HORSE	PICT-HORSE	H
c1_L01	18	X	X	H
c1_L01	19	X-CURL	X-CURL	M
c1_L01	20	Y-CURL	Y-CURL	L
c1_L01	21	BAR-SOLID	BLOB	L
c1_L01	22	X	X	L
c1_L02	1	SUN	SUN	H
c1_L02	2	VENUS	VENUS	H
c1_L02	3	PCT	PCT	H
c1_L02	4	HOOK-L	HOOK-L	M
c1_L02	5	O-TILDE	O	M
c1_L02	6	SIX-CURL	SIX-CURL	M
c1_L02	7	DAGGER-O	DAGGER	L
c1_L02	8	PCT	PCT	L
c1_L02	9	X-CURL	X-CURL	M
c1_L02	10	MULTI	MULTI	L
c1_L02	11	O-PLUS	O	M
c1_L02	12	X	X	H
c1_L02	13	PCT-SLASH	PCT	H
c1_L02	14	CC-O	CC-O	H
c1_L02	15	C-DOT	C-DOT	M
c1_L02	16	_	_	L
c1_L02	17	X	X	M
c1_L02	18	PCT-SLASH	PCT	M
c1_L02	19	VENUS	VENUS	M
c1_L02	20	PICT-FACE	PICT-FACE	H
c1_L02	21	O-DASH2	O	H
c1_L03	1	BAR-THIN	BAR-THIN	H
c1_L03	2	Y-CURL	Y-CURL	L
c1_L03	3	BLOB	BLOB	H
c1_L03	4	DAGGER-O	DAGGER	H
c1_L03	5	C-BAR-X	C-BAR-X	L
c1_L03	6	O-SLASH	O	H
c1_L03	7	X-CURL	X-CURL	M
c1_L03	8	_	_	L
c1_L03	9	C-DOT	C-DOT	H
c1_L03	10	ARC-LOOPS	ARC-LOOPS	L
c1_L03	11	X-CURL	X-CURL	L
c1_L03	12	DIAMOND	DIAMOND	L
c1_L03	13	BAR-SOLID	BLOB	M
c1_L03	14	TRIDENT	TRIDENT	M
c1_L03	15	PCT	PCT	M
c1_L03	16	LAMBDA-DASH	LAMBDA	H
c1_L03	17	DOLLAR	DOLLAR	H
c1_L03	18	C-DOT	C-DOT	L
c1_L03	19	OX-TILDE	OX	M
c1_L03	20	PCT-SLASH	PCT	M
c1_L03	21	DASH-H	DASH-H	H
c1_L03	22	ARCH-DASH	ARCH	H
c1_L03	23	PICT-RUNNER	PICT-RUNNER	H
c1_L03	24	HASH	HASH	H
c1_L03	25	NOTE	NOTE	M
c1_L03	26	MULTI	MULTI	M
c1_L03	27	BAR-SOLID	BLOB	M
c1_L03	28	O-SLASH	O	L
c1_L03	29	XX-TILDE	XX	H
c1_L04	1	CC-DOT	CC-DOT	H
c1_L04	2	DBL-SLASH	DBL-SLASH	H
c1_L04	3	PCT-SLASH	PCT	L
c1_L04	4	HOOK-L	HOOK-L	M
c1_L04	5	O-DASHBELOW	O	M
c1_L04	6	BAR-THIN	BAR-THIN	L
c1_L04	7	LOOP-STEM	LOOP-STEM	H
c1_L04	8	VEE	VEE	H
c1_L04	9	PICT-TREE	PICT-TREE	H
c1_L04	10	DBL-SLASH	DBL-SLASH	H
c1_L04	11	DASH-H	DASH-H	H
c1_L04	12	O-DASHBELOW	O	M
c1_L04	13	PCT-SLASH	PCT	M
c1_L04	14	Y-CURL	Y-CURL	L
c1_L04	15	ARC-LOOPS	ARC-LOOPS	H
c1_L04	16	X-BAR	X-BAR	H
c1_L04	17	X-CURL	X-CURL	M
c1_L04	18	PCT-SLASH	PCT	L
c1_L04	19	AMP	AMP	H
c1_L04	20	VENUS	VENUS	M
c1_L04	21	F-LETTER	F-LETTER	M
c1_L04	22	A-LOOP	A-LOOP	M
