line	position	sign	confidence	source
c1_L01	1	MISC-33	L	cluster-map
c1_L01	2	MISC-13	L	cluster-map
c1_L01	3	TRIDENT	H	cluster-map
c1_L01	4	X	H	cluster-map
c1_L01	5	MISC-71	L	cluster-map
c1_L01	6	DASH-H	H	cluster-map
c1_L01	7	MISC-03	L	cluster-map
c1_L01	8	Y-CURL	M	cluster-map
c1_L01	9	MISC-82	L	cluster-map
c1_L01	10	MISC-31	L	cluster-map
c1_L01	11	MISC-46	L	cluster-map
c1_L01	12	MISC-78	L	cluster-map
c1_L01	13	MISC-36	L	cluster-map
c1_L01	14	X	H	cluster-map
c1_L01	15	MISC-31	L	cluster-map
c1_L01	16	MISC-33	L	cluster-map
c1_L01	17	MISC-60	L	cluster-map
c1_L01	18	X	H	cluster-map
c1_L01	19	X	H	cluster-map
c1_L01	20	BAR-SOLID	M	cluster-map
c1_L01	21	MISC-55	L	cluster-map
c1_L01	22	X	H	cluster-map
c1_L02	1	SUN	M	cluster-map
c1_L02	2	MISC-87	L	cluster-map
c1_L02	3	PCT	H	cluster-map
c1_L02	4	PCT	H	cluster-map
c1_L02	5	MISC-33	L	cluster-map
c1_L02	6	MISC-87	L	cluster-map
c1_L02	7	TRIPOD	M	cluster-map
c1_L02	8	X	H	cluster-map
c1_L02	9	CIRC-TAIL	M	cluster-map
c1_L02	10	MISC-31	L	cluster-map
c1_L02	11	MISC-20	L	cluster-map
c1_L02	12	X	H	cluster-map
c1_L02	13	MISC-05	L	cluster-map
c1_L02	14	MISC-13	L	cluster-map
c1_L02	15	Y-CURL	M	cluster-map
c1_L02	16	MISC-29	L	cluster-map
c1_L02	17	X	H	cluster-map
c1_L02	18	PCT	H	cluster-map
c1_L02	19	MISC-05	L	cluster-map
c1_L02	20	CRESCENT	H	cluster-map
c1_L02	21	MISC-17	L	cluster-map
c1_L03	1	BAR-THIN	M	cluster-map
c1_L03	2	X	H	cluster-map
c1_L03	3	MISC-55	L	cluster-map
c1_L03	4	DELTA-TAIL	M	cluster-map
c1_L03	5	WAVE	M	cluster-map
c1_L03	6	MISC-00	L	cluster-map
c1_L03	7	X	H	cluster-map
c1_L03	8	MISC-80	L	cluster-map
c1_L03	9	GEAR-DOT	M	cluster-map
c1_L03	10	X	H	cluster-map
c1_L03	11	LOOP-TAIL	M	cluster-map
c1_L03	12	PCT	H	cluster-map
c1_L03	13	BAR-SOLID	M	cluster-map
c1_L03	14	TRIDENT	H	cluster-map
c1_L03	15	PCT	H	cluster-map
c1_L03	16	MISC-71	L	cluster-map
c1_L03	17	MISC-35	L	cluster-map
c1_L03	18	EYE-DOT	M	cluster-map
c1_L03	19	MISC-31	L	cluster-map
c1_L03	20	TRIPOD	M	cluster-map
c1_L03	21	DASH-H	H	cluster-map
c1_L03	22	MISC-21	L	cluster-map
c1_L03	23	MISC-79	L	cluster-map
c1_L03	24	MISC-46	L	cluster-map
c1_L03	25	NOTE	H	cluster-map
c1_L03	26	PHI	H	cluster-map
c1_L03	27	BAR-SOLID	M	cluster-map
c1_L03	28	PCT	H	cluster-map
c1_L03	29	MISC-31	L	cluster-map
c1_L04	1	MISC-67	L	cluster-map
c1_L04	2	MISC-06	L	cluster-map
c1_L04	3	DELTA-TAIL	M	cluster-map
c1_L04	4	CIRC-TAIL	M	cluster-map
c1_L04	5	LOOP-TAIL	M	cluster-map
c1_L04	6	BAR-THIN	M	cluster-map
c1_L04	7	RHO	H	cluster-map
c1_L04	8	VEE	H	cluster-map
c1_L04	9	MISC-83	L	cluster-map
c1_L04	10	HOOK-L	H	cluster-map
c1_L04	11	DASH-H	H	cluster-map
c1_L04	12	MISC-03	L	cluster-map
c1_L04	13	PCT	H	cluster-map
c1_L04	14	WAVE	M	cluster-map
c1_L04	15	MISC-67	L	cluster-map
c1_L04	16	MISC-87	L	cluster-map
c1_L04	17	MISC-36	L	cluster-map
c1_L04	18	X	H	cluster-map
c1_L04	19	MISC-30	L	cluster-map
c1_L04	20	VENUS	H	cluster-map
c1_L04	21	MISC-43	L	cluster-map
c1_L04	22	TRIPOD	M	cluster-map
c1_L04	23	MISC-31	L	cluster-map
c1_L05	1	PCT	H	cluster-map
c1_L05	2	BAR-SERIF	H	cluster-map
c1_L05	3	BAR-SERIF	H	cluster-map
c1_L05	4	Y-CURL	M	cluster-map
c1_L05	5	TRIPOD	M	cluster-map
c1_L05	6	MISC-30	L	cluster-map
c1_L05	7	X	H	cluster-map
c1_L05	8	CROSS-T	M	cluster-map
c1_L05	9	Y-CURL	M	cluster-map
c1_L05	10	MISC-67	L	cluster-map
c1_L05	11	DELTA-TAIL	M	cluster-map
c1_L05	12	MISC-79	L	cluster-map
c1_L05	13	X	H	cluster-map
c1_L05	14	Y-CURL	M	cluster-map
c1_L05	15	X	H	cluster-map
c1_L05	16	PCT	H	cluster-map
c1_L05	17	MISC-06	L	cluster-map
c1_L05	18	BAR-SERIF	H	cluster-map
c1_L05	19	BAR-SOLID	M	cluster-map
c1_L05	20	MISC-07	L	cluster-map
c1_L05	21	Y-CURL	M	cluster-map
c1_L05	22	X	H	cluster-map
c1_L05	23	MISC-13	L	cluster-map
c1_L06	1	PCT	H	cluster-map
c1_L06	2	LOOP-TAIL	M	cluster-map
c1_L06	3	X	H	cluster-map
c1_L06	4	MISC-67	L	cluster-map
c1_L06	5	X	H	cluster-map
c1_L06	6	MISC-05	L	cluster-map
c1_L06	7	CRESCENT	H	cluster-map
