line	position	sign	family	confidence	note	mark
c1_L01	1	O	O-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c1_L01	2	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	3	TRIDENT	TRIDENT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	4	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	5	LAMBDA	LAMBDA	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	6	DASH-H	DASH-H	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	7	CC	CC-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	O
c1_L01	8	Y-CURL	Y-CURL	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	9	II	II-DASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c1_L01	10	OX	OX-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c1_L01	11	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	12	O-SLASH	O-SLASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	13	C	C-BAR-X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	BAR-X
c1_L01	14	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	15	XX	XX-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c1_L01	16	O	O-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c1_L01	17	PICT-HORSE	PICT-HORSE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	18	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	19	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	20	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	21	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L01	22	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	1	SUN	SUN	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	2	VENUS	VENUS	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	3	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	4	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	5	O	O-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c1_L02	6	SIX-CURL	SIX-CURL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	7	A-LOOP	A-LOOP	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	8	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	9	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	10	OO	OO-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c1_L02	11	O	O-PLUS	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	PLUS
c1_L02	12	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	13	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	14	CC	CC-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	O
c1_L02	15	Y-CURL	Y-CURL	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	16	_	_	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	17	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	18	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	19	VENUS	VENUS	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	20	PICT-FACE	PICT-FACE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L02	21	O	O-DASH2	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH2
c1_L03	1	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	2	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	3	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	4	DAGGER-O	DAGGER-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	5	O	O-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c1_L03	6	O-SLASH	O-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	7	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	8	_	_	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	9	C	C-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOT
c1_L03	10	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	11	CC	CC-DASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c1_L03	12	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	13	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	14	TRIDENT	TRIDENT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	15	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	16	LAMBDA	LAMBDA-DASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c1_L03	17	DOLLAR	DOLLAR	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	18	CIRC-O	CIRC-O	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	19	OX	OX-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c1_L03	20	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	21	DASH-H	DASH-H	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	22	ARCH	ARCH-DASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c1_L03	23	PICT-RUNNER	PICT-RUNNER	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	24	HASH	HASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	25	NOTE	NOTE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	26	MULTI	MULTI	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	27	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	28	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L03	29	XX	XX-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c1_L04	1	CC	CC-DOT	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOT
c1_L04	2	DBL-SLASH	DBL-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	3	DAGGER-O	DAGGER-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	4	HOOK-L	HOOK-L	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	5	O	O-DASHBELOW	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASHBELOW
c1_L04	6	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	7	LOOP-STEM	LOOP-STEM	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	8	VEE	VEE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	9	PICT-TREE	PICT-TREE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	10	DBL-SLASH	DBL-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	11	DASH-H	DASH-H	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
