line	position	sign	family	confidence	source
c1_L01	1	O-TILDE	O-TILDE	H	eye-split:MISC-33
c1_L01	2	PCT-SLASH	PCT	H	eye-split:MISC-13
c1_L01	3	TRIDENT	TRIDENT	H	cluster-map:39
c1_L01	4	X	X	H	cluster-map:4
c1_L01	5	LAMBDA	LAMBDA	H	eye-split:MISC-71
c1_L01	6	DASH-H	DASH-H	H	cluster-map:61
c1_L01	7	CC-O	CC-O	H	eye-split:MISC-03
c1_L01	8	Y-CURL	Y-CURL	H	cluster-map:19
c1_L01	9	II-DASH	II-DASH	H	eye-split:MISC-82
c1_L01	10	OX-TILDE	OX-TILDE	H	eye-split:MISC-31
c1_L01	11	PCT-SLASH	PCT	M	eye-split:MISC-46
c1_L01	12	O-SLASH	O-SLASH	H	eye-split:MISC-78
c1_L01	13	C-BAR-X	C-BAR-X	H	eye-split:MISC-36
c1_L01	14	X	X	M	cluster-map:26
c1_L01	15	XX-TILDE	XX-TILDE	H	eye-split:MISC-31
c1_L01	16	O-TILDE	O-TILDE	H	eye-split:MISC-33
c1_L01	17	PICT-HORSE	PICT-HORSE	H	eye-split:MISC-60
c1_L01	18	X	X	H	cluster-map:47
c1_L01	19	X	X	M	cluster-map:26
c1_L01	20	BAR-SOLID	BLOB	M	cluster-map:10
c1_L01	21	BLOB	BLOB	M	eye-split:MISC-55
c1_L01	22	X	X	M	cluster-map:28
c1_L02	1	SUN	SUN	H	eye-split:SUN
c1_L02	2	VENUS	VENUS	H	eye-split:MISC-87
c1_L02	3	PCT	PCT	H	cluster-map:66
c1_L02	4	PCT	PCT	M	cluster-map:57
c1_L02	5	O-TILDE	O-TILDE	M	eye-split:MISC-33
c1_L02	6	SIX-CURL	SIX-CURL	M	eye-split:MISC-87
c1_L02	7	A-LOOP	A-LOOP	H	eye-resplit:TRIPOD
c1_L02	8	X	X	M	cluster-map:62
c1_L02	9	X	X	H	eye-resplit:CIRC-TAIL
c1_L02	10	OO-TILDE	OO-TILDE	H	eye-split:MISC-31
c1_L02	11	O-PLUS	O-PLUS	M	eye-split:MISC-20
c1_L02	12	X	X	M	cluster-map:28
c1_L02	13	PCT-SLASH	PCT	H	eye-split:MISC-05
c1_L02	14	CC-O	CC-O	H	eye-split:MISC-13
c1_L02	15	Y-CURL	Y-CURL	H	cluster-map:19
c1_L02	16	_	_	L	eye-split:MISC-29
c1_L02	17	X	X	H	cluster-map:47
c1_L02	18	PCT	PCT	H	cluster-map:9
c1_L02	19	VENUS	VENUS	M	eye-split:MISC-05
c1_L02	20	PICT-FACE	PICT-FACE	M	eye-resplit:CRESCENT
c1_L02	21	O-DASH2	O-DASH2	M	eye-split:MISC-17
c1_L03	1	BAR-THIN	BAR-THIN	M	cluster-map:51
c1_L03	2	X	X	M	cluster-map:26
c1_L03	3	BLOB	BLOB	M	eye-split:MISC-55
c1_L03	4	DAGGER-O	DAGGER-O	H	eye-resplit:DELTA-TAIL
c1_L03	5	O-TILDE	O-TILDE	M	eye-resplit:WAVE
c1_L03	6	O-SLASH	O-SLASH	M	eye-split:MISC-00
c1_L03	7	X	X	M	cluster-map:28
c1_L03	8	_	_	L	eye-split:MISC-80
c1_L03	9	C-DOT	C-DOT	M	eye-resplit:GEAR-DOT
c1_L03	10	X	X	M	cluster-map:52
c1_L03	11	CC-DASH	CC-DASH	M	eye-resplit:LOOP-TAIL
c1_L03	12	PCT	PCT	M	cluster-map:57
c1_L03	13	BAR-SOLID	BLOB	M	cluster-map:10
c1_L03	14	TRIDENT	TRIDENT	H	cluster-map:39
c1_L03	15	PCT	PCT	H	cluster-map:66
c1_L03	16	LAMBDA-DASH	LAMBDA-DASH	H	eye-split:MISC-71
c1_L03	17	DOLLAR	DOLLAR	M	eye-split:MISC-35
c1_L03	18	CIRC-O	CIRC-O	M	eye-resplit:EYE-DOT
c1_L03	19	OX-TILDE	OX-TILDE	H	eye-split:MISC-31
c1_L03	20	PCT	PCT	H	eye-resplit:TRIPOD
c1_L03	21	DASH-H	DASH-H	H	cluster-map:61
c1_L03	22	ARCH-DASH	ARCH-DASH	M	eye-split:MISC-21
c1_L03	23	PICT-RUNNER	PICT-RUNNER	H	eye-split:MISC-79
c1_L03	24	HASH	HASH	H	eye-split:MISC-46
c1_L03	25	NOTE	NOTE	H	cluster-map:63
c1_L03	26	MULTI	MULTI	L	eye-resplit:PHI
c1_L03	27	BAR-SOLID	BLOB	M	cluster-map:10
c1_L03	28	PCT	PCT	H	cluster-map:9
c1_L03	29	XX-TILDE	XX-TILDE	H	eye-split:MISC-31
c1_L04	1	CC-DOT	CC-DOT	L	eye-split:MISC-67
c1_L04	2	DBL-SLASH	DBL-SLASH	M	eye-split:MISC-06
c1_L04	3	DAGGER-O	DAGGER-O	H	eye-resplit:DELTA-TAIL
c1_L04	4	HOOK-L	HOOK-L	M	eye-resplit:CIRC-TAIL
c1_L04	5	O-DASHBELOW	O-DASHBELOW	M	eye-resplit:LOOP-TAIL
c1_L04	6	BAR-THIN	BAR-THIN	M	cluster-map:12
c1_L04	7	LOOP-STEM	LOOP-STEM	H	eye-resplit:RHO
c1_L04	8	VEE	VEE	H	cluster-map:59
c1_L04	9	PICT-TREE	PICT-TREE	H	eye-split:MISC-83
c1_L04	10	DBL-SLASH	DBL-SLASH	M	eye-resplit:HOOK-L
c1_L04	11	DASH-H	DASH-H	H	cluster-map:61
c1_L04	12	O-DASHBELOW	O-DASHBELOW	M	eye-split:MISC-03
c1_L04	13	PCT	PCT	H	cluster-map:66
c1_L04	14	O-TILDE	O-TILDE	M	eye-resplit:WAVE
c1_L04	15	ARC-LOOPS	ARC-LOOPS	H	eye-split:MISC-67
c1_L04	16	X-BAR	X-BAR	M	eye-split:MISC-87
c1_L04	17	X-CURL	X-CURL	M	eye-split:MISC-36
c1_L04	18	X	X	M	cluster-map:53
c1_L04	19	AMP	AMP	L	eye-split:MISC-30
c1_L04	20	VENUS	VENUS	H	cluster-map:49
c1_L04	21	F-LETTER	F-LETTER	M	eye-split:MISC-43
c1_L04	22	A-LOOP	A-LOOP	H	eye-resplit:TRIPOD
c1_L04	23	DOTS-TILDE	DOTS-TILDE	H	eye-split:MISC-31
c1_L05	1	PCT	PCT	H	cluster-map:66
c1_L05	2	BAR-THIN	BAR-THIN	M	eye-resplit:BAR-SERIF
c1_L05	3	BAR-THIN	BAR-THIN	M	eye-resplit:BAR-SERIF
c1_L05	4	Y-CURL	Y-CURL	M	cluster-map:88
c1_L05	5	A-LOOP	A-LOOP	H	eye-resplit:TRIPOD
c1_L05	6	MULTI	MULTI	L	eye-split:MISC-30
c1_L05	7	X	X	H	cluster-map:25
c1_L05	8	CROSS-T	CROSS-T	H	cluster-map:48
c1_L05	9	Y-CURL	Y-CURL	H	cluster-map:19
c1_L05	10	O-BRACKET	O-BRACKET	L	eye-split:MISC-67
c1_L05	11	DIAMOND	DIAMOND	M	eye-resplit:DELTA-TAIL
c1_L05	12	O-SLASH	O-SLASH	M	eye-split:MISC-79
c1_L05	13	X	X	M	cluster-map:28
