line	position	sign	confidence	alt	why
c4a_L01	1	MISC-05	M	B:MISC-37	differ
c4a_L01	2	_	M	B:HOOK-L	differ
c4a_L01	3	X	M	B:BAR-THIN	differ
c4a_L01	4	PHI	M		agree-flagged
c4a_L01	5	X	M		agree-flagged
c4a_L01	6	MISC-05	M	B:NOTE	differ
c4a_L01	7	MISC-17	M	B:BAR-THIN	differ
c4a_L01	8	BAR-SERIF	M	B:BAR-THIN	differ
c4a_L01	9	LOOP-TAIL	M	B:DASH-H	differ
c4a_L01	10	X	M		agree-flagged
c4a_L01	11	WAVE	M	A:-	gap
c4a_L01	12	X	M	B:MISC-36	differ
c4a_L01	13	X	M		agree-flagged
c4a_L01	14	PCT	M	B:-	gap
c4a_L01	15	WAVE	M		agree-flagged
c4a_L02	1	MISC-24	M	B:MISC-37	differ
c4a_L02	2	PCT	M	B:BAR-THIN	differ
c4a_L02	3	X	M		agree-flagged
c4a_L02	4	X	M		agree-flagged
c4a_L02	5	X	M		agree-flagged
c4a_L02	6	MISC-54	M	B:TRIPOD	differ
c4a_L02	7	CROSS-T	M	B:MISC-32	differ
c4a_L02	8	MISC-21	M	B:MISC-32	differ
c4a_L02	9	MISC-33	M	B:BAR-THIN	differ
c4a_L02	10	MISC-67	M	B:SUN	differ
c4a_L02	11	VENUS	M	B:CIRC-O	differ
c4a_L02	12	X	M		agree-flagged
c4a_L02	13	CIRC-TAIL	M	B:DASH-H	differ
c4a_L03	1	SUN	M		agree-flagged
c4a_L03	2	VEE	M	B:PCT	differ
c4a_L03	3	MISC-55	M	B:MISC-50	differ
c4a_L03	4	X	M		agree-flagged
c4a_L03	5	MISC-31	M	B:CRESCENT	differ
c4a_L03	6	MISC-17	M	B:BAR-SOLID	differ
c4a_L03	7	AMP	M	B:MISC-36	differ
c4a_L03	8	X	M		agree-flagged
c4a_L03	9	Y-CURL	M	B:HOOK-L	differ
c4a_L03	10	LOOP-TAIL	M	B:DELTA-TAIL	differ
c4a_L03	11	PCT	M	B:MISC-75	differ
c4a_L03	12	X	M		agree-flagged
c4a_L03	13	MISC-32	M	B:DASH-H	differ
c4a_L04	1	LOOP-TAIL	M	B:DELTA-TAIL	differ
c4a_L04	2	PCT	M	B:CIRC-O	differ
c4a_L04	3	TRIPOD	M	B:MISC-46	differ
c4a_L04	4	X	M		agree-flagged
c4a_L04	5	MISC-05	M	B:-	gap
c4a_L04	6	MISC-05	M	B:GEAR-DOT	differ
c4a_L04	7	VENUS	M	B:MISC-32	differ
c4a_L04	8	_	M	B:RHO	differ
c4a_L04	9	PCT	M		agree-flagged
c4a_L04	10	Y-CURL	M	A:-	gap
c4a_L04	11	DASH-H	M	A:-	gap
c4a_L04	12	BAR-SOLID	M	B:WAVE	differ
c4a_L04	13	WAVE	M		agree-flagged
c4a_L04	14	HOOK-L	M	B:BAR-THIN	differ
c4a_L04	15	CIRC-O	M	B:MISC-32	differ
c4a_L04	16	X	M		agree-flagged
c4a_L04	17	MISC-31	M		agree-flagged
c4a_L04	18	PCT	M	B:-	gap
c4a_L04	19	MISC-55	M	B:Y-CURL	differ
c4a_L04	20	MISC-17	M	B:BAR-THIN	differ
c4a_L05	1	VEE	M		agree-flagged
c4a_L05	2	HOOK-L	M	A:-	gap
c4a_L05	3	CIRC-O	M	A:-	gap
c4a_L05	4	BAR-THIN	M	A:-	gap
c4a_L05	5	CRESCENT	M		agree-flagged
c4a_L05	6	TRIPOD	M	B:-	gap
c4a_L05	7	WAVE	M	B:MISC-32	differ
c4a_L05	8	MISC-36	M	B:GEAR-DOT	differ
c4a_L05	9	_	M	B:MISC-33	differ
c4a_L05	10	X	M		agree-flagged
c4a_L05	11	GEAR-DOT	M	B:CIRC-O	differ
