letter	line	position	token	kind	grade	alt	why
1	f60R	1	Monseigneur	heading	H		agree
1	f60R	2	J'ay	clear	H		agree
1	f60R	3	receu	clear	H		agree
1	f60R	4	la	clear	H		agree
1	f60R	5	lettre	clear	H		agree
1	f60R	6	qu'il	clear	H		agree
1	f60R	7	a	clear	H		agree
1	f60R	8	plu	clear	H		agree
1	f60R	9	a	clear	H		agree
1	f60R	10	Vostre	clear	H		agree
1	f60R	11	Excellence	clear	H		agree
1	f60R	12	me	clear	H		agree
1	f60R	13	faire	clear	H		agree
1	f60R	14	l'honneur	clear	H		agree
1	f60R	15	de	clear	H		agree
1	f60R	16	m'ecrire	clear	H		agree
1	f60R	17	le	clear	H		agree
1	f60R	18	19	clear	H		agree
1	f60R	19	du	clear	H		agree
1	f60R	20	mois	clear	H		agree
1	f60R	21	dernier	clear	H		agree
1	f60R	22	je	clear	H		agree
1	f60R	23	luy	clear	H		agree
1	f60R	24	en	clear	H		agree
1	f60R	25	rend	clear	H		agree
1	f60R	26	tres	clear	H		agree
1	f60R	27	humbles	clear	H		agree
1	f60R	28	graces	clear	H		agree
1	f60R	29	Mr	clear	M	A:Mr(clear,H)/B:M.(clear,H)	differ
1	f60R	30	145	cipher	H		agree
1	f60R	31	31	cipher	H		agree
1	f60R	32	67	cipher	H		agree
1	f60R	33	148	cipher	H		agree
1	f60R	34	186	cipher	H		agree
1	f60R	35	147	cipher	H		agree
1	f60R	36	176	cipher	H		agree
1	f60R	37	m'ecrit	clear	H		agree
1	f60R	38	encore	clear	H		agree
1	f60R	39	de	clear	H		agree
1	f60R	40	Mr	insertion-clear	M	A-only:Mr(insertion-clear,H)	gap-B
1	f60R	41	l'abbe	insertion-clear	M	A:l'abbe(insertion-clear,H)/B:l'abbé(insertion-clear,M)	differ
1	f60R	42	Lomeliny	insertion-clear	H		agree
1	f60R	43	Venise	clear	H		agree
1	f60R	44	244	cipher	H		agree
1	f60R	45	176	cipher	H		agree
1	f60R	46	221	cipher	H		agree
1	f60R	47	qu'il	clear	H		agree
1	f60R	48	y	clear	H		agree
1	f60R	49	sera	clear	H		agree
1	f60R	50	jusqu'a	clear	M	A:jusqu'a(clear,H)/B:jusqu'à(clear,H)	differ
1	f60R	51	la	clear	H		agree
1	f60R	52	fin	clear	H		agree
1	f60R	53	du	clear	H		agree
1	f60R	54	mois	clear	H		agree
1	f60R	55	prochain	clear	H		agree
1	f60R	56	et	clear	H		agree
1	f60R	57	qu'il	clear	H		agree
1	f60R	58	me	clear	H		agree
1	f60R	59	prie	clear	H		agree
1	f60R	60	de	clear	H		agree
1	f60R	61	luy	clear	H		agree
1	f60R	62	marquer	clear	H		agree
1	f60R	63	si	clear	H		agree
1	f60R	64	j'ay	clear	H		agree
1	f60R	65	receu	clear	H		agree
1	f60R	66	quelque	clear	H		agree
1	f60R	67	avis	clear	H		agree
1	f60R	68	touchant	clear	H		agree
1	f60R	69	147	cipher	H		agree
1	f60R	70	46	cipher	H		agree
1	f60R	71	146	cipher	H		agree
1	f60R	72	87	cipher	H		agree
1	f60R	73	Sr	insertion-clear	M	A:Sr(insertion-clear,M)/B:Gille(insertion-clear,M)	differ
1	f60R	74	de	insertion-clear	H		agree
1	f60R	75	232	cipher	H		agree
1	f60R	76	66	cipher	H		agree
1	f60R	77	45	cipher	H		agree
1	f60R	78	204	cipher	H		agree
1	f60R	79	et	clear	H		agree
1	f60R	80	comme	clear	H		agree
1	f60R	81	je	clear	H		agree
1	f60R	82	luy	clear	H		agree
1	f60R	83	avois	clear	H		agree
1	f60R	84	deja	clear	M	A:deja(clear,H)/B:déja(clear,H)	differ
1	f60R	85	fait	clear	H		agree
1	f60R	86	Labarque	insertion-clear	M	A:Labarque(insertion-clear,H)/B:Cabarque(insertion-clear,M)	differ
1	f61L	1	connoitre	clear	H		agree
1	f61L	2	que	clear	H		agree
1	f61L	3	tant	clear	H		agree
1	f61L	4	qu'il	clear	H		agree
1	f61L	5	ne	clear	H		agree
1	f61L	6	donnera	clear	H		agree
1	f61L	7	pas	clear	H		agree
1	f61L	8	les	clear	H		agree
1	f61L	9	eclaircissements	clear	H		agree
1	f61L	10	necessres	clear	M	A:necessres(clear,M)/B:necessaires(clear,M)	differ
1	f61L	11	il	clear	H		agree
1	f61L	12	ne	clear	H		agree
1	f61L	13	sera	clear	H		agree
1	f61L	14	pas	clear	H		agree
1	f61L	15	possible	clear	H		agree
1	f61L	16	d'en	clear	H		agree
1	f61L	17	venir	clear	H		agree
1	f61L	18	au	clear	H		agree
1	f61L	19	fait	clear	M	A:fait(clear,M)/B:fair(clear,M)	differ
1	f61L	20	il	clear	H		agree
1	f61L	21	m'ajoute	clear	H		agree
1	f61L	22	par	clear	H		agree
1	f61L	23	sa	clear	H		agree
1	f61L	24	lettre	clear	H		agree
1	f61L	25	du	clear	H		agree
1	f61L	26	24	clear	H		agree
1	f61L	27	mars	clear	H		agree
1	f61L	28	dernier	clear	H		agree
1	f61L	29	qu'on	clear	H		agree
1	f61L	30	les	clear	H		agree
1	f61L	31	donnera	clear	H		agree
1	f61L	32	aussitot	clear	M	A:aussitot(clear,H)/B:aussitost(clear,H)	differ
1	f61L	33	que	clear	H		agree
1	f61L	34	185	cipher	H		agree
1	f61L	35	244	cipher	H		agree
1	f61L	36	45	cipher	H		agree
1	f61L	37	211	cipher	H		agree
1	f61L	38	209	cipher	H		agree
1	f61L	39	192	cipher	H		agree
1	f61L	40	45	cipher	H		agree
1	f61L	41	223	cipher	H		agree
1	f61L	42	41	cipher	H		agree
1	f61L	43	on	insertion-clear	H		agree
1	f61L	44	verra	insertion-clear	H		agree
1	f61L	45	quelques	insertion-clear	H		agree
1	f61L	46	personnes	insertion-clear	H		agree
1	f61L	47	175	cipher	H		agree
1	f61L	48	ILLEGIBLE	cipher	M	A-only:ILLEGIBLE(cipher,M)	gap-B
1	f61L	49	276	cipher	H		agree
1	f61L	50	pour	clear	H		agree
1	f61L	51	venue	insertion-clear	M	B-only:venue(insertion-clear,M)	gap-A
1	f61L	52	d'une	insertion-clear	M	B-only:d'une(insertion-clear,M)	gap-A
1	f61L	53	procuration	insertion-clear	M	B-only:procuration(insertion-clear,M)	gap-A
1	f61L	54	a	insertion-clear	M	B-only:a(insertion-clear,M)	gap-A
1	f61L	55	Genes	insertion-clear	M	B-only:Genes(insertion-clear,M)	gap-A
1	f61L	56	244	cipher	H		agree
1	f61L	57	244	cipher	H		agree
1	f61L	58	96	cipher	H		agree
1	f61L	59	175	cipher	H		agree
1	f61L	60	43	cipher	H		agree
1	f61L	61	214	cipher	H		agree
1	f61L	62	80	cipher	H		agree
1	f61L	63	211	cipher	H		agree
1	f61L	64	240	cipher	H		agree
1	f61L	65	neue	insertion-clear	M	A-only:neue(insertion-clear,H)	gap-B
1	f61L	66	d'une	insertion-clear	M	A:d'une(insertion-clear,H)/B:pour(insertion-clear,M)	differ
1	f61L	67	procuration	insertion-clear	M	A:procuration(insertion-clear,H)/B:traitter(insertion-clear,M)	differ
1	f61L	68	a	insertion-clear	M	A:a(insertion-clear,H)/B:avec(insertion-clear,M)	differ
1	f61L	69	Genes	insertion-clear	M	A:Genes(insertion-clear,H)/B:eux(insertion-clear,M)	differ
1	f61L	70	196	cipher	H		agree
1	f61L	71	241	cipher	H		agree
1	f61L	72	45	cipher	H		agree
1	f61L	73	57	cipher	H		agree
1	f61L	74	34	cipher	H		agree
1	f61L	75	32	cipher	H		agree
1	f61L	76	100	cipher	H		agree
1	f61L	77	Les	clear	H		agree
1	f61L	78	autres	clear	H		agree
1	f61L	79	par	clear	H		agree
1	f61L	80	234	cipher	M	A:234(cipher,H)/B:254(cipher,M)	differ
1	f61L	81	78	cipher	H		agree
1	f61L	82	tiennent	insertion-clear	M	A-only:tiennent(insertion-clear,H)	gap-B
1	f61L	83	pour	insertion-clear	M	A-only:pour(insertion-clear,H)	gap-B
1	f61L	84	traitter	insertion-clear	M	A-only:traitter(insertion-clear,H)	gap-B
1	f61L	85	avec	insertion-clear	M	A-only:avec(insertion-clear,H)	gap-B
1	f61L	86	eux	insertion-clear	M	A:eux(insertion-clear,H)/B:seront(insertion-clear,M)	differ
1	f61L	87	192	cipher	H		agree
1	f61L	88	46	cipher	H		agree
1	f61L	89	87	cipher	H		agree
1	f61L	90	147	cipher	H		agree
1	f61L	91	46	cipher	H		agree
1	f61L	92	146	cipher	H		agree
1	f61L	93	qui	clear	H		agree
1	f61L	94	ont	clear	H		agree
1	f61L	95	sceu	clear	H		agree
1	f61L	96	les	clear	H		agree
1	f61L	97	conferences	clear	H		agree
1	f61L	98	de	insertion-clear	H		agree
1	f61L	99	Sile	insertion-clear	M	A:Sile(insertion-clear,M)/B:l'Isle(insertion-clear,M)	differ
1	f61L	100	que	clear	H		agree
1	f61L	101	j'avois	clear	H		agree
1	f61L	102	eues	clear	M	A:eues(clear,H)/B:eües(clear,H)	differ
1	f61L	103	avec	clear	H		agree
1	f61L	104	145	cipher	H		agree
1	f61L	105	31	cipher	H		agree
1	f61L	106	67	cipher	H		agree
1	f61L	107	sur	clear	H		agree
1	f61L	108	cette	clear	H		agree
1	f61L	109	affaire	clear	H		agree
1	f61L	110	Labbe	insertion-clear	M	A:Labbe(insertion-clear,H)/B:l'abbé(insertion-clear,M)	differ
1	f61L	111	et	clear	H		agree
1	f61L	112	qui	clear	H		agree
1	f61L	113	ont	clear	H		agree
1	f61L	114	cru	clear	H		agree
1	f61L	115	que	clear	H		agree
1	f61L	116	je	clear	H		agree
1	f61L	117	ne	clear	H		agree
1	f61L	118	traittois	clear	H		agree
1	f61L	119	que	clear	H		agree
1	f61L	120	pour	clear	H		agree
1	f61L	121	48	cipher	H		agree
1	f61L	122	175	cipher	H		agree
1	f61L	123	194	cipher	H		agree
1	f61L	124	45	cipher	H		agree
1	f61L	125	240	cipher	H		agree
1	f61L	126	m'ont	clear	H		agree
1	f61L	127	envoye	clear	M	A:envoye(clear,H)/B:envoyé(clear,H)	differ
1	f61L	128	demander	clear	H		agree
1	f61L	129	une	insertion-clear	H		agree
1	f61L	130	portion	insertion-clear	H		agree
1	f61L	131	une	clear	H		agree
1	f61L	132	entrevue	clear	M	A:entrevue(clear,H)/B:entreveüe(clear,H)	differ
1	f61L	133	dans	clear	H		agree
1	f61L	134	laquelle	clear	H		agree
1	f61L	135	ils	clear	H		agree
