letter	line	position	token	kind	conf
1	f60R_01	1	239	pagenum	M
1	f60R_01	2	93	pagenum	M
1	f60R_02	1	Monseigneur	heading	H
1	f60R_03	1	J'ay	clear	H
1	f60R_03	2	receu	clear	H
1	f60R_03	3	la	clear	H
1	f60R_03	4	lettre	clear	H
1	f60R_03	5	qu'il	clear	H
1	f60R_03	6	a	clear	H
1	f60R_03	7	plu	clear	H
1	f60R_03	8	a	clear	H
1	f60R_03	9	Vostre	clear	H
1	f60R_04	1	Excellence	clear	H
1	f60R_04	2	me	clear	H
1	f60R_04	3	faire	clear	H
1	f60R_04	4	l'honneur	clear	H
1	f60R_04	5	de	clear	H
1	f60R_04	6	m'ecrire	clear	H
1	f60R_05	1	le	clear	H
1	f60R_05	2	19	clear	H
1	f60R_05	3	du	clear	H
1	f60R_05	4	mois	clear	H
1	f60R_05	5	dernier	clear	H
1	f60R_05	6	je	clear	H
1	f60R_05	7	luy	clear	H
1	f60R_05	8	en	clear	H
1	f60R_05	9	rend	clear	H
1	f60R_05	10	tres	clear	H
1	f60R_06	1	humbles	clear	H
1	f60R_06	2	graces	clear	H
1	f60R_07	1	M.	clear	H
1	f60R_07	2	145	cipher	M
1	f60R_07	3	31	cipher	M
1	f60R_07	4	67	cipher	M
1	f60R_07	5	148	cipher	M
1	f60R_07	6	186	cipher	M
1	f60R_07	7	147	cipher	M
1	f60R_07	8	176	cipher	M
1	f60R_07	9	m'ecrit	clear	H
1	f60R_07	10	encore	clear	H
1	f60R_07	11	de	clear	H
1	f60R_07	12	l'abbé	insertion-clear	M
1	f60R_07	13	Lomeliny	insertion-clear	M
1	f60R_08	1	Venise	clear	H
1	f60R_09	1	244	cipher	M
1	f60R_09	2	176	cipher	M
1	f60R_09	3	221	cipher	M
1	f60R_09	4	qu'il	clear	H
1	f60R_09	5	y	clear	H
1	f60R_09	6	sera	clear	H
1	f60R_09	7	jusqu'à	clear	H
1	f60R_09	8	la	clear	H
1	f60R_09	9	fin	clear	H
1	f60R_09	10	du	clear	H
1	f60R_09	11	mois	clear	H
1	f60R_10	1	prochain	clear	H
1	f60R_10	2	et	clear	H
1	f60R_10	3	qu'il	clear	H
1	f60R_10	4	me	clear	H
1	f60R_10	5	prie	clear	H
1	f60R_10	6	de	clear	H
1	f60R_10	7	luy	clear	H
1	f60R_10	8	marquer	clear	H
1	f60R_10	9	si	clear	H
1	f60R_11	1	j'ay	clear	H
1	f60R_11	2	receu	clear	H
1	f60R_11	3	quelque	clear	H
1	f60R_11	4	avis	clear	H
1	f60R_11	5	touchant	clear	H
1	f60R_11	6	147	cipher	M
1	f60R_11	7	46	cipher	M
1	f60R_11	8	146	cipher	M
1	f60R_11	9	87	cipher	M
1	f60R_11	10	Gille	insertion-clear	M
1	f60R_11	11	de	insertion-clear	M
1	f60R_12	1	232	cipher	M
1	f60R_12	2	66	cipher	M
1	f60R_12	3	45	cipher	M
1	f60R_12	4	204	cipher	M
1	f60R_12	5	et	clear	H
1	f60R_12	6	comme	clear	H
1	f60R_12	7	je	clear	H
1	f60R_12	8	luy	clear	H
1	f60R_12	9	avois	clear	H
1	f60R_12	10	déja	clear	H
1	f60R_12	11	fait	clear	H
1	f60R_12	12	Cabarque	insertion-clear	M
1	f61L_01	1	240	pagenum	M
1	f61L_02	1	connoitre	clear	H
1	f61L_02	2	que	clear	H
1	f61L_02	3	tant	clear	H
1	f61L_02	4	qu'il	clear	H
1	f61L_02	5	ne	clear	H
1	f61L_02	6	donnera	clear	H
1	f61L_02	7	pas	clear	H
1	f61L_02	8	les	clear	H
1	f61L_03	1	eclaircissements	clear	H
1	f61L_03	2	necessaires	clear	M
1	f61L_03	3	il	clear	H
1	f61L_03	4	ne	clear	H
1	f61L_03	5	sera	clear	H
1	f61L_03	6	pas	clear	H
1	f61L_03	7	possible	clear	H
1	f61L_04	1	d'en	clear	H
1	f61L_04	2	venir	clear	H
1	f61L_04	3	au	clear	H
1	f61L_04	4	fair	clear	M
1	f61L_04	5	il	clear	H
1	f61L_04	6	m'ajoute	clear	H
1	f61L_04	7	par	clear	H
1	f61L_04	8	sa	clear	H
1	f61L_04	9	lettre	clear	H
1	f61L_05	1	du	clear	H
1	f61L_05	2	24	clear	H
1	f61L_05	3	mars	clear	H
1	f61L_05	4	dernier	clear	H
1	f61L_05	5	qu'on	clear	H
1	f61L_05	6	les	clear	H
1	f61L_05	7	donnera	clear	H
1	f61L_06	1	aussitost	clear	H
1	f61L_06	2	que	clear	H
1	f61L_06	3	185	cipher	M
1	f61L_06	4	244	cipher	M
1	f61L_06	5	45	cipher	M
1	f61L_06	6	211	cipher	M
1	f61L_06	7	209	cipher	M
1	f61L_06	8	192	cipher	M
1	f61L_06	9	45	cipher	M
1	f61L_06	10	223	cipher	M
1	f61L_06	11	41	cipher	M
1	f61L_06	12	on	insertion-clear	M
1	f61L_06	13	verra	insertion-clear	M
1	f61L_06	14	quelques	insertion-clear	M
1	f61L_06	15	personnes	insertion-clear	M
1	f61L_07	1	175	cipher	M
1	f61L_07	2	276	cipher	M
1	f61L_07	3	pour	clear	H
1	f61L_07	4	venue	insertion-clear	M
1	f61L_07	5	d'une	insertion-clear	M
1	f61L_07	6	procuration	insertion-clear	M
1	f61L_07	7	a	insertion-clear	M
1	f61L_07	8	Genes	insertion-clear	M
1	f61L_08	1	244	cipher	M
1	f61L_08	2	244	cipher	M
1	f61L_08	3	96	cipher	M
1	f61L_08	4	175	cipher	M
1	f61L_08	5	43	cipher	M
1	f61L_08	6	214	cipher	M
1	f61L_08	7	80	cipher	M
1	f61L_08	8	211	cipher	M
1	f61L_08	9	240	cipher	M
1	f61L_08	10	pour	insertion-clear	M
1	f61L_08	11	traitter	insertion-clear	M
1	f61L_08	12	avec	insertion-clear	M
1	f61L_08	13	eux	insertion-clear	M
1	f61L_09	1	196	cipher	M
1	f61L_09	2	241	cipher	M
1	f61L_09	3	45	cipher	M
1	f61L_09	4	57	cipher	M
1	f61L_09	5	34	cipher	M
1	f61L_09	6	32	cipher	M
1	f61L_09	7	100	cipher	M
1	f61L_09	8	Les	clear	H
1	f61L_09	9	autres	clear	H
1	f61L_09	10	par	clear	H
1	f61L_09	11	254	cipher	M
1	f61L_09	12	78	cipher	M
1	f61L_09	13	seront	insertion-clear	M
1	f61L_10	1	192	cipher	M
1	f61L_10	2	46	cipher	M
1	f61L_10	3	87	cipher	M
1	f61L_10	4	147	cipher	M
1	f61L_10	5	46	cipher	M
1	f61L_10	6	146	cipher	M
1	f61L_10	7	qui	clear	H
1	f61L_10	8	ont	clear	H
1	f61L_10	9	sceu	clear	H
1	f61L_10	10	les	clear	H
1	f61L_10	11	conferences	clear	H
1	f61L_10	12	de	insertion-clear	M
1	f61L_10	13	l'Isle	insertion-clear	M
1	f61L_11	1	que	clear	H
1	f61L_11	2	j'avois	clear	H
1	f61L_11	3	eües	clear	H
