letter	line	position	token	kind	conf
1	f60R_01	1	739	pagenum	M
1	f60R_01	2	63	pagenum	M
1	f60R_02	1	Monseigneur	heading	H
1	f60R_03	1	J'ay	clear	H
1	f60R_03	2	receu	clear	H
1	f60R_03	3	la	clear	H
1	f60R_03	4	lettre	clear	H
1	f60R_03	5	qu'il	clear	H
1	f60R_03	6	a	clear	H
1	f60R_03	7	plu	clear	H
1	f60R_03	8	a	clear	H
1	f60R_03	9	Vostre	clear	H
1	f60R_04	1	Excellence	clear	H
1	f60R_04	2	me	clear	H
1	f60R_04	3	faire	clear	H
1	f60R_04	4	l'honneur	clear	H
1	f60R_04	5	de	clear	H
1	f60R_04	6	m'ecrire	clear	H
1	f60R_05	1	le	clear	H
1	f60R_05	2	19	clear	H
1	f60R_05	3	du	clear	H
1	f60R_05	4	mois	clear	H
1	f60R_05	5	dernier	clear	H
1	f60R_05	6	je	clear	H
1	f60R_05	7	luy	clear	H
1	f60R_05	8	en	clear	H
1	f60R_05	9	rend	clear	H
1	f60R_05	10	tres	clear	H
1	f60R_06	1	humbles	clear	H
1	f60R_06	2	graces	clear	H
1	f60R_07	1	Mr	clear	H
1	f60R_07	2	145	cipher	H
1	f60R_07	3	31	cipher	H
1	f60R_07	4	67	cipher	H
1	f60R_07	5	148	cipher	H
1	f60R_07	6	186	cipher	H
1	f60R_07	7	147	cipher	H
1	f60R_07	8	176	cipher	H
1	f60R_07	9	m'ecrit	clear	H
1	f60R_07	10	encore	clear	H
1	f60R_07	11	de	clear	H
1	f60R_07	12	Mr	insertion-clear	H
1	f60R_07	13	l'abbe	insertion-clear	H
1	f60R_07	14	Lomeliny	insertion-clear	H
1	f60R_08	1	Venise	clear	H
1	f60R_09	1	244	cipher	H
1	f60R_09	2	176	cipher	H
1	f60R_09	3	221	cipher	H
1	f60R_09	4	qu'il	clear	H
1	f60R_09	5	y	clear	H
1	f60R_09	6	sera	clear	H
1	f60R_09	7	jusqu'a	clear	H
1	f60R_09	8	la	clear	H
1	f60R_09	9	fin	clear	H
1	f60R_09	10	du	clear	H
1	f60R_09	11	mois	clear	H
1	f60R_10	1	prochain	clear	H
1	f60R_10	2	et	clear	M
1	f60R_10	3	qu'il	clear	H
1	f60R_10	4	me	clear	H
1	f60R_10	5	prie	clear	H
1	f60R_10	6	de	clear	H
1	f60R_10	7	luy	clear	H
1	f60R_10	8	marquer	clear	H
1	f60R_10	9	si	clear	H
1	f60R_11	1	j'ay	clear	H
1	f60R_11	2	receu	clear	H
1	f60R_11	3	quelque	clear	H
1	f60R_11	4	avis	clear	H
1	f60R_11	5	touchant	clear	H
1	f60R_11	6	147	cipher	H
1	f60R_11	7	46	cipher	H
1	f60R_11	8	146	cipher	H
1	f60R_11	9	87	cipher	H
1	f60R_11	10	Sr	insertion-clear	M
1	f60R_11	11	de	insertion-clear	M
1	f60R_12	1	232	cipher	H
1	f60R_12	2	66	cipher	H
1	f60R_12	3	45	cipher	H
1	f60R_12	4	204	cipher	H
1	f60R_12	5	et	clear	M
1	f60R_12	6	comme	clear	H
1	f60R_12	7	je	clear	H
1	f60R_12	8	luy	clear	H
1	f60R_12	9	avois	clear	H
1	f60R_12	10	deja	clear	H
1	f60R_12	11	fait	clear	M
1	f60R_12	12	Labarque	insertion-clear	H
1	f61L_01	1	connoitre	clear	H
1	f61L_01	2	que	clear	H
1	f61L_01	3	tant	clear	H
1	f61L_01	4	qu'il	clear	H
1	f61L_01	5	ne	clear	H
1	f61L_01	6	donnera	clear	H
1	f61L_01	7	pas	clear	H
1	f61L_01	8	les	clear	H
1	f61L_02	1	eclaircissements	clear	H
1	f61L_02	2	necessres	clear	M
1	f61L_02	3	il	clear	H
1	f61L_02	4	ne	clear	H
1	f61L_02	5	sera	clear	H
1	f61L_02	6	pas	clear	H
1	f61L_02	7	possible	clear	H
1	f61L_03	1	d'en	clear	H
1	f61L_03	2	venir	clear	H
1	f61L_03	3	au	clear	H
1	f61L_03	4	fait	clear	M
1	f61L_03	5	il	clear	H
1	f61L_03	6	m'ajoute	clear	H
1	f61L_03	7	par	clear	H
1	f61L_03	8	sa	clear	H
1	f61L_03	9	lettre	clear	H
1	f61L_04	1	du	clear	H
1	f61L_04	2	24	clear	H
1	f61L_04	3	mars	clear	H
1	f61L_04	4	dernier	clear	H
1	f61L_04	5	qu'on	clear	H
1	f61L_04	6	les	clear	H
1	f61L_04	7	donnera	clear	H
1	f61L_05	1	aussitot	clear	H
1	f61L_05	2	que	clear	H
1	f61L_05	3	185	cipher	H
1	f61L_05	4	244	cipher	H
1	f61L_05	5	45	cipher	H
1	f61L_05	6	211	cipher	H
1	f61L_05	7	209	cipher	H
1	f61L_05	8	192	cipher	H
1	f61L_05	9	45	cipher	H
1	f61L_05	10	223	cipher	H
1	f61L_05	11	41	cipher	H
1	f61L_05	12	on	insertion-clear	H
1	f61L_05	13	verra	insertion-clear	H
1	f61L_05	14	quelques	insertion-clear	H
1	f61L_05	15	personnes	insertion-clear	H
1	f61L_06	1	175	cipher	H
1	f61L_06	2	ILLEGIBLE	cipher	M
1	f61L_06	3	276	cipher	H
1	f61L_06	4	pour	clear	H
1	f61L_06	5	244	cipher	H
1	f61L_06	6	244	cipher	H
1	f61L_06	7	96	cipher	M
1	f61L_06	8	175	cipher	H
1	f61L_06	9	43	cipher	H
1	f61L_06	10	214	cipher	H
1	f61L_06	11	80	cipher	H
1	f61L_06	12	211	cipher	H
1	f61L_06	13	240	cipher	H
1	f61L_06	14	neue	insertion-clear	H
1	f61L_06	15	d'une	insertion-clear	H
1	f61L_06	16	procuration	insertion-clear	H
1	f61L_06	17	a	insertion-clear	H
1	f61L_06	18	Genes	insertion-clear	H
1	f61L_07	1	196	cipher	H
1	f61L_07	2	241	cipher	H
1	f61L_07	3	45	cipher	H
1	f61L_07	4	57	cipher	H
1	f61L_07	5	34	cipher	H
1	f61L_07	6	32	cipher	H
1	f61L_07	7	100	cipher	H
1	f61L_07	8	Les	clear	H
1	f61L_07	9	autres	clear	H
1	f61L_07	10	par	clear	H
1	f61L_07	11	234	cipher	H
1	f61L_07	12	78	cipher	H
1	f61L_07	13	tiennent	insertion-clear	H
1	f61L_07	14	pour	insertion-clear	H
1	f61L_07	15	traitter	insertion-clear	H
1	f61L_07	16	avec	insertion-clear	H
1	f61L_07	17	eux	insertion-clear	H
1	f61L_08	1	192	cipher	H
1	f61L_08	2	46	cipher	H
1	f61L_08	3	87	cipher	H
1	f61L_08	4	147	cipher	H
1	f61L_08	5	46	cipher	H
1	f61L_08	6	146	cipher	H
1	f61L_08	7	qui	clear	H
1	f61L_08	8	ont	clear	H
1	f61L_08	9	sceu	clear	M
1	f61L_08	10	les	clear	H
1	f61L_08	11	conferences	clear	H
1	f61L_08	12	de	insertion-clear	M
1	f61L_08	13	Sile	insertion-clear	M
1	f61L_09	1	que	clear	H
1	f61L_09	2	j'avois	clear	H
1	f61L_09	3	eues	clear	H
1	f61L_09	4	avec	clear	H
1	f61L_09	5	145	cipher	H
1	f61L_09	6	31	cipher	H
1	f61L_09	7	67	cipher	H
1	f61L_09	8	sur	clear	H
1	f61L_09	9	cette	clear	H
1	f61L_09	10	affaire	clear	H
1	f61L_09	11	Labbe	insertion-clear	H
1	f61L_10	1	et	clear	M
1	f61L_10	2	qui	clear	H
1	f61L_10	3	ont	clear	H
1	f61L_10	4	cru	clear	H
1	f61L_10	5	que	clear	H
1	f61L_10	6	je	clear	H
1	f61L_10	7	ne	clear	H
1	f61L_10	8	traittois	clear	H
1	f61L_10	9	que	clear	H
1	f61L_10	10	pour	clear	H
1	f61L_11	1	48	cipher	H
1	f61L_11	2	175	cipher	H
1	f61L_11	3	194	cipher	H
1	f61L_11	4	45	cipher	H
1	f61L_11	5	240	cipher	H
1	f61L_11	6	m'ont	clear	H
1	f61L_11	7	envoye	clear	H
1	f61L_11	8	demander	clear	H
1	f61L_11	9	une	insertion-clear	H
1	f61L_11	10	portion	insertion-clear	H
1	f61L_12	1	une	clear	H
1	f61L_12	2	entrevue	clear	H
1	f61L_12	3	dans	clear	H
1	f61L_12	4	laquelle	clear	H
1	f61L_12	5	ils	clear	H
1	f61L_12	6	m'ont	clear	H
1	f61L_13	1	fait	clear	H
1	f61L_13	2	connoitre	clear	H
1	f61L_13	3	qu'ils	clear	H
1	f61L_13	4	estoient	clear	H
1	f61L_13	5	informes	clear	H
1	f61L_13	6	de	clear	H
1	f61L_14	1	ma	clear	H
1	f61L_14	2	negociation	clear	H
1	f61L_14	3	avec	clear	H
1	f61L_14	4	145	cipher	H
1	f61L_14	5	65	cipher	H
1	f61L_14	6	67	cipher	H
1	f61L_14	7	et	clear	H
1	f61L_14	8	qu'ils	clear	H
1	f61L_14	9	me	clear	H
1	f61L_14	10	Labbe	insertion-clear	H
1	f61L_15	1	prioient	clear	H
1	f61L_15	2	de	clear	H
1	f61L_15	3	faire	clear	H
1	f61L_15	4	en	clear	H
1	f61L_15	5	sorte	clear	H
1	f61L_15	6	que	clear	H
1	f61L_15	7	le	clear	H
1	f61L_15	8	traitte	clear	H
1	f61L_15	9	se	clear	H
1	f61L_15	10	fit	clear	M
1	f61L_16	1	pour	clear	H
1	f61L_16	2	toutes	clear	H
1	f61L_16	3	34	cipher	H
1	f61L_16	4	147	cipher	H
1	f61L_16	5	46	cipher	H
1	f61L_16	6	146	cipher	H
1	f61L_16	7	Je	clear	H
1	f61L_16	8	leur	clear	H
1	f61L_16	9	ay	clear	H
1	f61L_16	10	repondu	clear	H
1	f61L_16	11	Sile	insertion-clear	M
1	f61L_17	1	qu'il	clear	H
1	f61L_17	2	ne	clear	H
1	f61L_17	3	tenoit	clear	H
1	f61L_17	4	qu'a	clear	H
1	f61L_17	5	eux	clear	H
1	f61L_17	6	de	clear	H
1	f61L_17	7	me	clear	H
1	f61L_17	8	faire	clear	H
1	f61L_17	9	leur	clear	H
1	f61L_18	1	proposition	clear	H
1	f61L_18	2	en	clear	H
1	f61L_18	3	me	clear	H
1	f61L_18	4	remettant	clear	H
1	f61L_18	5	les	clear	H
1	f61L_18	6	eclaircissemens	clear	M
1	f61L_19	1	en	clear	H
1	f61L_19	2	question	clear	H
1	f61L_19	3	ils	clear	H
1	f61L_19	4	m'ont	clear	H
1	f61L_19	5	repondu	clear	H
1	f61L_19	6	a	clear	H
1	f61L_19	7	peu	clear	H
1	f61L_19	8	pres	clear	H
1	f61L_20	1	comme	clear	H
