pos	sign
0	s24
1	s0
2	s23
3	s15
4	s21
5	s1
6	s3
7	s20
8	s12
9	s2
10	s15
11	s3
12	s15
13	s17
14	s4
15	s19
16	s5
17	s28
18	s8
19	s13
20	s20
21	s29
22	s5
23	s16
24	s9
25	s20
26	s5
27	s14
28	s24
29	s3
30	s20
31	s30
32	s30
33	s7
34	s1
35	s19
36	s5
37	s22
38	s22
39	s4
40	s19
41	s8
42	s21
43	s13
44	s0
45	s25
46	s1
47	s20
48	s4
49	s9
50	s25
51	s7
52	s19
53	s3
54	s15
55	s0
56	s15
57	s15
58	s0
59	s19
60	s3
61	s0
62	s22
63	s15
64	s1
65	s21
66	s14
67	s4
68	s11
69	s27
70	s0
71	s10
72	s17
73	s12
74	s3
75	s6
76	s11
77	s10
78	s18
79	s1
80	s13
81	s5
82	s27
83	s7
84	s21
85	s19
86	s7
87	s21
88	s23
89	s1
90	s25
91	s2
92	s20
93	s5
94	s16
95	s0
96	s21
97	s24
98	s5
99	s12
100	s27
101	s1
102	s10
103	s18
104	s12
105	s5
106	s22
107	s8
108	s21
109	s12
110	s6
111	s13
112	s25
113	s8
114	s19
115	s6
116	s24
117	s10
118	s22
119	s10
120	s2
121	s19
122	s19
123	s4
124	s11
125	s18
126	s6
127	s22
128	s9
129	s11
130	s6
131	s11
132	s9
133	s23
134	s1
135	s12
136	s18
137	s23
138	s15
139	s23
140	s9
141	s19
142	s0
143	s29
144	s8
145	s13
146	s13
147	s3
148	s20
149	s4
150	s14
151	s18
152	s1
153	s13
154	s23
155	s4
156	s2
157	s13
158	s23
159	s2
160	s18
161	s6
162	s17
163	s4
164	s7
165	s20
166	s5
167	s22
168	s22
169	s0
170	s21
171	s7
172	s11
173	s19
174	s1
175	s1
176	s13
177	s22
178	s8
179	s1
180	s14
181	s17
182	s12
183	s0
184	s13
185	s15
186	s9
187	s20
188	s7
189	s10
190	s16
191	s17
192	s12
193	s9
194	s17
195	s18
196	s7
197	s16
198	s23
199	s8
200	s7
201	s19
202	s2
203	s20
204	s1
205	s28
206	s2
207	s6
208	s10
209	s26
210	s9
211	s14
212	s24
213	s9
214	s26
215	s26
216	s5
217	s7
218	s23
219	s9
220	s12
221	s21
222	s11
223	s7
224	s13
225	s24
226	s9
227	s5
228	s26
229	s22
230	s0
231	s21
232	s4
233	s6
234	s19
235	s6
236	s9
237	s16
238	s18
239	s11
240	s5
241	s20
242	s5
243	s13
