line	pos	group	trim	trailing_period	book_page	book_col	rank	gloss	grade
1	1	1131	2	false	1	3	1	a	H
1	2	322212		true	222	1	2	guerra	H
1	3	313312		true	133	1	2	de	H
1	4	321118	1	false	211	1	8	Franc[a]	H
1	5	23812	3	false	38	1	2	a	H
1	6	311021		true	110	2	1	com	H
1	7	1412	5	false	4	1	2	a	H
2	1	3344325	4	false	344	3	25	Rus[sia]	H
2	2	335422	5	false	354	2	2	si	H
2	3	1811	4	false	8	1	1	a	H
2	4	3290219	1	false	290	2	19	parece	H
2	5	3234124		true	234	1	24	inevitavel	H
# Re-read of the worked example on m0003 (LX-TR, 25 Sept 2026), digit by digit from the image
# (crop /tmp scratchpad, 2x zoom on the two-line example block), independent of the orchestrator's
# own quote of this passage in NOTES.md. All 12 groups match NOTES.md's existing transcription
# exactly, and every group parses under the key's own stated rule: first digit d1 in {1,2,3} gives
# the page as the next d1 digits, the digit after that (in {1,2,3}) is the column, and the remaining
# digits (>=1) are the rank. The key text's own worked-through explanation for group 1 (1131 -> pag.1,
# col.3, rank.1) and group 2 (322212 -> pag.222, col.1, rank.2) on m0003-m0004 matches this parse
# exactly, confirming the rule as read. No group here starts with a null digit (4-9); this worked
# example does not illustrate the null/English-dictionary-switch case, only m0002's live ciphertext does.
# (25 Sept 2026, LX-DEC: row 5 corrected 23312 -> 23812 per LX-BOOK's flag in ROOM.md/NOTES.md, after
# independently re-cropping the group at 6x zoom on m0003 -- the middle digit is an unambiguous closed
# figure-eight loop, matching the "8" at the end of group 4 (321118) two groups earlier, not the open
# "3"s used elsewhere on the same line. book_page/col/rank updated to 38/1/2 (LX-BOOK's BOOK.md).)
