line	signs_A	signs_B	agree	columns	share
mssDE108A_p1_L01	10	10	9	10	0.900
mssDE108A_p1_L02	10	10	8	10	0.800
mssDE108A_p1_L03	11	11	10	11	0.909
mssDE108A_p1_L04	10	10	9	10	0.900
mssDE108A_p1_L05	11	11	11	11	1.000
mssDE108A_p1_L06	10	10	9	10	0.900
mssDE108A_p1_L07	11	11	10	11	0.909
mssDE108A_p1_L08	11	11	11	11	1.000
mssDE108A_p1_L09	10	10	10	10	1.000
mssDE108A_p1_L10	11	11	11	11	1.000
mssDE108A_p1_L11	10	10	9	10	0.900
mssDE108A_p2_L01	12	12	11	12	0.917
mssDE108A_p2_L02	12	12	12	12	1.000
mssDE108A_p2_L03	12	12	12	12	1.000
mssDE108A_p2_L04	11	11	11	11	1.000
mssDE108A_p2_L05	12	12	12	12	1.000
mssDE108A_p2_L06	11	11	11	11	1.000
mssDE108A_p2_L07	11	11	11	11	1.000
mssDE108A_p2_L08	11	11	10	11	0.909
mssDE108A_p2_L09	11	11	11	11	1.000
mssDE108A_p2_L10	12	12	11	12	0.917
mssDE108A_p2_L11	11	11	11	11	1.000
mssDE108A_p2_L12	11	11	11	11	1.000
mssDE108A_p3_L01	11	11	10	11	0.909
mssDE108A_p3_L02	12	12	12	12	1.000
mssDE108A_p3_L03	10	10	10	10	1.000
mssDE108A_p3_L04	10	10	9	10	0.900
mssDE108A_p3_L05	11	11	10	11	0.909
mssDE108A_p3_L06	10	10	10	10	1.000
mssDE108A_p3_L07	10	10	9	10	0.900
mssDE108A_p3_L08	10	10	10	10	1.000
mssDE108A_p3_L09	10	10	10	10	1.000
mssDE108A_p3_L10	10	10	10	10	1.000
mssDE108A_p3_L11	12	12	12	12	1.000
mssDE108A_p3_L12	11	11	11	11	1.000
mssDE108A_p4_L01	11	11	11	11	1.000
mssDE108A_p4_L02	12	12	12	12	1.000
mssDE108A_p4_L03	10	10	9	10	0.900
mssDE108A_p4_L04	10	10	9	10	0.900
mssDE108A_p4_L05	10	10	10	10	1.000
mssDE108A_p4_L06	11	11	10	11	0.909
mssDE108A_p4_L07	10	10	9	10	0.900
mssDE108A_p4_L08	11	11	10	11	0.909
mssDE108A_p4_L09	11	11	11	11	1.000
mssDE108A_p4_L10	12	12	12	12	1.000
mssDE108A_p4_L11	9	10	9	10	0.900
mssDE108A_p4_L12	11	11	11	11	1.000
mssDE108A_p5_L01	10	10	10	10	1.000
mssDE108A_p5_L02	11	11	11	11	1.000
mssDE108A_p5_L03	10	10	10	10	1.000
mssDE108A_p5_L04	11	11	11	11	1.000
mssDE108A_p5_L05	11	11	11	11	1.000
mssDE108A_p5_L06	10	10	10	10	1.000
mssDE108A_p5_L07	10	10	9	10	0.900
mssDE108A_p5_L09	10	10	10	10	1.000
mssDE108A_p5_L10	10	10	10	10	1.000
mssDE108A_p5_L11	10	10	9	10	0.900
mssDE108A_p5_L12	10	10	10	10	1.000
mssDE108A_p6_L01	10	10	10	10	1.000
mssDE108A_p6_L02	11	11	11	11	1.000
mssDE108A_p6_L03	11	11	11	11	1.000
mssDE108A_p6_L04	11	11	11	11	1.000
mssDE108A_p6_L05	12	12	12	12	1.000
mssDE108A_p6_L06	11	11	10	11	0.909
mssDE108A_p6_L07	11	11	11	11	1.000
mssDE108A_p6_L08	10	10	10	10	1.000
mssDE108A_p5_L08	0	11	0	11	0.000
