line	col	A	B	flagged	crop
mssDE108A_p1_L01	10	44	744		
mssDE108A_p1_L02	3	2	72		
mssDE108A_p1_L02	9	65	765		
mssDE108A_p1_L03	1	2	72		
mssDE108A_p1_L04	5	89	789		
mssDE108A_p1_L06	10	89	789		
mssDE108A_p1_L07	2	1052	1032		
mssDE108A_p1_L11	7	291	991		
mssDE108A_p2_L01	10	85	785		
mssDE108A_p2_L08	1	1129	1179		
mssDE108A_p2_L10	2	63	763		
mssDE108A_p3_L01	6	30	730		
mssDE108A_p3_L04	10	66	766		
mssDE108A_p3_L05	10	13	713		
mssDE108A_p3_L07	7	50	750	A	
mssDE108A_p4_L03	1	25	725	A	
mssDE108A_p4_L04	9	1185	1187		
mssDE108A_p4_L06	3	1	701	A	
mssDE108A_p4_L07	4	99	799		
mssDE108A_p4_L08	1	853	843	A	
mssDE108A_p4_L11	10	-	626		
mssDE108A_p5_L07	2	8	78		
mssDE108A_p5_L11	8	878	838	AB	
mssDE108A_p6_L06	4	1143	1173	AB	
mssDE108A_p5_L08	1	-	387		
mssDE108A_p5_L08	2	-	744		
mssDE108A_p5_L08	3	-	628		
mssDE108A_p5_L08	4	-	103		
mssDE108A_p5_L08	5	-	4		
mssDE108A_p5_L08	6	-	476		
mssDE108A_p5_L08	7	-	363		
mssDE108A_p5_L08	8	-	1181		
mssDE108A_p5_L08	9	-	482		
mssDE108A_p5_L08	10	-	387		
mssDE108A_p5_L08	11	-	113		
