task	label	pooled_joint_ll_per_letter	winner_tabula	stage1_best_nats	elapsed
s1	shuffle seed 1	-3.5266	mixed:raar:plain:beau	12.4	355s
s2	shuffle seed 2	-3.4995	mixed:tijdje:plain:beau	12.18	367s
s3	shuffle seed 3	-3.4944	mixed:wijkend:plain:beau	11.3	350s
s4	shuffle seed 4	-3.5330	mixed:zijn:full:beau	11.39	373s
u1	uniform seed 1	-3.5071	mixed:aarzelde:full:beau	-1.15	374s
u2	uniform seed 2	-3.5282	mixed:quarts:full:beau	-2.14	378s
u3	uniform seed 3	-3.5481	mixed:schwach:full:beau	-1.48	372s
u4	uniform seed 4	-3.5474	mixed:bekommen:full:beau	-2.07	352s
u5	uniform seed 5	-3.5340	mixed:bequem:full:beau	0.01	365s
u6	uniform seed 6	-3.5328	mixed:francoise:key:beau	-0.31	366s
