edition	letter_no	date	sender	recipient	archive_ref	source_volume	printed_page	cipher_extent	solution_status	sibling_or_key_note	scan_online	queue_row
Briefwisseling van Anthonie Heinsius (Veenendaal ed.)	357	18 May 1702	van Dopff	Heinsius	Nationaal Archief 3.01.19, inv.nr. 756 (H.A. 756)	Deel 1, GS158	212	numeric code, several words in running text	not stated as solved; editor's footnote: "De sleutel van dit cijferschrift is niet gevonden" (key not found)	none found this pass	yes (NA 3.01.19 invnr/756 confirmed to have a scan viewer)	HU1
Briefwisseling van Anthonie Heinsius (Veenendaal ed.)	166	26 Feb 1704	Sauniere de l'Hermitage	Heinsius	Nationaal Archief 3.01.19, inv.nr. 946 (H.A. 946)	Deel 3, GS169	59	partial, unspecified length	unsolved ("Gedeeltelijk in onopgelost cijferschrift")	same sender/H.A. as 177 and 477 below	yes (H.A.=NA 3.01.19 invnr pattern confirmed for 756; not individually re-checked for 946)	HU2
Briefwisseling van Anthonie Heinsius (Veenendaal ed.)	177	29 Feb 1704	Sauniere de l'Hermitage	Heinsius	Nationaal Archief 3.01.19, inv.nr. 946 (H.A. 946)	Deel 3, GS169	64	partial, unspecified length	unsolved; editor cross-refers "zie ook hiervóór nr. 166"	same sender/H.A. as 166 and 477	yes (pattern, not individually re-checked)	HU2
Briefwisseling van Anthonie Heinsius (Veenendaal ed.)	477	30 May 1704	Sauniere de l'Hermitage	Heinsius	Nationaal Archief 3.01.19, inv.nr. 946 (H.A. 946)	Deel 3, GS169	169	partial, unspecified length	unsolved ("Gedeeltelijk in onopgelost cijfer")	same sender/H.A. as 166 and 177	yes (pattern, not individually re-checked)	HU2
Briefwisseling van Anthonie Heinsius (Veenendaal ed.)	185	24 Jul 1709	Schonenberg (Lisbon)	Heinsius	Nationaal Archief 3.01.19, inv.nr. 1445 (H.A. 1445)	Deel 9, GS204	91	one word/short phrase in running text	unsolved ("Het cijferschrift is niet opgelost")	none found this pass	yes (pattern, not individually re-checked)	HU3
Briefwisseling van Anthonie Heinsius (Veenendaal ed.)	142	17 Nov 1716	H.W. Rumpf (Rotterdam)	Heinsius	not given directly; neighbour letter 143 cites H.A. 1975	Deel 18, GS244	95	unspecified	unsolved, and explicitly not solved by Heinsius's own decipherer ("Het cijferschrift is door d'Alonne niet opgelost")	same correspondent as letters 309 and 446 below (same circle, different years)	not confirmed this pass	HU4
Briefwisseling van Anthonie Heinsius (Veenendaal ed.)	309	23 Mar 1718	H.W. Rumpf (Stockholm)	A.T. d'Alonne (Heinsius's decipherer)	Nationaal Archief 3.01.19, inv.nr. 2030 (H.A. 2030)	Deel 18, GS244	555	unspecified	unsolved ("Aan A.T. d'Alonne in onopgelost cijfer") -- addressed directly to the decipherer, still unsolved	same correspondent as letters 142 and 446	yes (pattern, not individually re-checked)	HU4
Briefwisseling van Anthonie Heinsius (Veenendaal ed.)	446	15 Aug 1719	van de Bie (Stockholm)	Heinsius	Nationaal Archief 3.01.19, inv.nr. 2044 (H.A. 2044)	Deel 19, GS247	302-303	"Enige regels" + "Twee regels onopgelost cijferschrift" -- entire cipher lines omitted from the printed edition, not transcribed at all	unsolved; ciphertext itself not in the edition (weggelaten = left out), only the archive original would carry it	same H.A. dossier (2044) as van de Bie/Rumpf joint letter 487, 19 Sep 1719 (plaintext); same wider correspondent circle as 142/309	not confirmed this pass -- the omitted lines are not in the printed edition at all; the NA scan of invnr 2044 would need checking	HU4
Briefwisseling van Anthonie Heinsius (Veenendaal ed.)	"455" (approx, printed p.337)	1718-1720 (Deel 19 span)	not confirmed this pass	Heinsius	not confirmed this pass	Deel 19, GS247	337	"Eén regel onopgelost cijferschrift" -- one cipher line omitted from print	unsolved; line omitted from edition	possibly same circle as HU4 (unconfirmed)	not confirmed this pass	HU4
Briefwisseling van Anthonie Heinsius (Veenendaal ed.)	959	3 Apr 1714	Ph.J. van Borssele van der Hooghe (London)	Heinsius	Nationaal Archief 3.01.19, inv.nr. 1836 (H.A. 1836)	Deel 15, GS227	531	a cipher letter written on the same leaf as no. 959	unsolved ("bijgeschreven een brief in onopgelost cijfer"); editor's note: a solution of an enciphered letter, mainly about the queen's health, is ALSO present nearby and "mogelijk dezelfde" (possibly the same letter)	possible solved sibling in the same dossier -- unconfirmed whether it is the same cipher instance	not confirmed this pass	HU5
