# Variant of signs.txt: signs that neither pass A nor pass B saw (alt 'A:-,B:-', 40 signs) dropped.
f8_L2	22205y65181919216
f8_L3	14179610204y3186176720192991897204y52219
f8_L4	2448191092013221265181715126201751716286
f8_L5	3y2202y13221920186y19205997323
f8_L7	9229317y85922351814317y208517y41814
f8_L8	8415184263y851731418992410204917317226
f8_L9	571920141854039485y624301767542485189
f8_L10	493205484y961862y532042294y202232y615184
f8_L11	17220891817y463792039
f9_L6	95154223201542918417327318315941795
f10_L2	1794183219y692420618496172091853
f10_L3	20925158517329185320985y6293074203991418
f10_L4	416203918341765226124y519241747394184
f10_L5	22491799418324184762511692516193174954
f10_L6	2426296188420229948151791773y116125620
f10_L7	1751617y2097501740543y85762916
