line	position	sign	confidence	alt	why
07205_p4_L01	1	51	M	B:-	gap
07205_p4_L01	2	132	M		agree-flagged
07205_p4_L01	3	129	M		agree-flagged
07205_p4_L01	4	82	M		agree-flagged
07205_p4_L01	5	35	M		agree-flagged
07205_p4_L01	6	102	M		agree-flagged
07205_p4_L01	7	32	M		agree-flagged
07205_p4_L01	8	83	M		agree-flagged
07205_p4_L01	9	31	M		agree-flagged
07205_p4_L01	10	113	M		agree-flagged
07205_p4_L01	11	84	M		agree-flagged
07205_p4_L01	12	20	M		agree-flagged
07205_p4_L01	13	80	M		agree-flagged
07205_p4_L01	14	9	M		agree-flagged
07205_p4_L01	15	118	M		agree-flagged
07205_p4_L01	16	117	M		agree-flagged
07205_p4_L01	17	84	M		agree-flagged
07205_p4_L01	18	104	M		agree-flagged
07205_p4_L01	19	92	M		agree-flagged
07205_p4_L01	20	83	M		agree-flagged
07205_p4_L01	21	29	M		agree-flagged
07205_p4_L01	22	81	M		agree-flagged
07205_p4_L01	23	31	M		agree-flagged
07205_p4_L01	24	77	M		agree-flagged
07205_p4_L01	25	84	M		agree-flagged
07205_p4_L01	26	40	M	B:-	gap
07205_p4_L01	27	93	M		agree-flagged
07205_p4_L01	28	104	M		agree-flagged
07205_p4_L01	29	84	M		agree-flagged
07205_p4_L01	30	82	M		agree-flagged
07205_p4_L01	31	1	M	A:-	gap
07205_p4_L01	32	30	M		agree-flagged
07205_p4_L01	33	19	M		agree-flagged
07205_p4_L01	34	39	M		agree-flagged
07205_p4_L01	35	101	M		agree-flagged
07205_p4_L01	36	118	M		agree-flagged
07205_p4_L01	37	81	M		agree-flagged
07205_p4_L01	38	1	M		agree-flagged
07205_p4_L01	39	13	M		agree-flagged
07205_p4_L01	40	6	M		agree-flagged
07205_p4_L01	41	37	M		agree-flagged
07205_p4_L01	42	21	M		agree-flagged
07205_p4_L01	43	22	M		agree-flagged
07205_p4_L01	44	9	M		agree-flagged
07205_p4_L01	45	82	M		agree-flagged
07205_p4_L01	46	84	M		agree-flagged
07205_p4_L01	47	2	M		agree-flagged
07205_p4_L01	48	31	M		agree-flagged
07205_p4_L01	49	39	M		agree-flagged
07205_p4_L01	50	82	M		agree-flagged
07205_p4_L01	51	9	M		agree-flagged
07205_p4_L01	52	104	M		agree-flagged
07205_p4_L01	53	21	M		agree-flagged
07205_p4_L01	54	10	M	B:-	gap
07205_p4_L01	55	w:de	M	B:w:et	differ
07205_p4_L01	56	w:a	M		agree-flagged
07205_p4_L01	57	w:toute	M		agree-flagged
07205_p4_L01	58	w:la	M		agree-flagged
07205_p4_L01	59	w:cause	M		agree-flagged
07205_p4_L01	60	w:pley	M	B:w:publicque	differ
07205_p4_L01	61	w:at	M	B:w:et	differ
07205_p4_L01	62	w:aulcun	M	B:w:au	differ
07205_p4_L01	63	129	M	B:127	differ
07205_p4_L01	64	120	M		agree-flagged
