pos	sign
0	s24
1	s2
2	s23
3	s15
4	s21
5	s1
6	s5
7	s20
8	s12
9	s0
10	s16
11	s3
12	s16
13	s18
14	s5
15	s19
16	s4
17	s28
18	s8
19	s13
20	s20
21	s29
22	s4
23	s15
24	s9
25	s20
26	s4
27	s14
28	s24
29	s5
30	s20
31	s30
32	s30
33	s7
34	s1
35	s19
36	s4
37	s22
38	s22
39	s3
40	s19
41	s7
42	s21
43	s13
44	s2
45	s25
46	s0
47	s20
48	s3
49	s9
50	s25
51	s6
52	s19
53	s4
54	s16
55	s0
56	s16
57	s16
58	s0
59	s19
60	s3
61	s2
62	s22
63	s15
64	s2
65	s21
66	s13
67	s3
68	s12
69	s27
70	s1
71	s10
72	s18
73	s11
74	s5
75	s6
76	s12
77	s9
78	s17
79	s1
80	s13
81	s3
82	s27
83	s8
84	s21
85	s19
86	s8
87	s21
88	s23
89	s1
90	s25
91	s2
92	s20
93	s4
94	s16
95	s0
96	s21
97	s24
98	s5
99	s12
100	s27
101	s0
102	s9
103	s18
104	s11
105	s4
106	s22
107	s6
108	s21
109	s11
110	s7
111	s13
112	s25
113	s8
114	s19
115	s7
116	s24
117	s10
118	s22
119	s9
120	s2
121	s19
122	s19
123	s4
124	s12
125	s17
126	s7
127	s22
128	s10
129	s12
130	s6
131	s11
132	s10
133	s23
134	s1
135	s11
136	s18
137	s23
138	s15
139	s23
140	s9
141	s19
142	s0
143	s29
144	s8
145	s14
146	s13
147	s5
148	s20
149	s5
150	s13
151	s18
152	s0
153	s13
154	s23
155	s3
156	s0
157	s14
158	s23
159	s0
160	s17
161	s6
162	s17
163	s4
164	s7
165	s20
166	s3
167	s22
168	s22
169	s0
170	s21
171	s8
172	s11
173	s19
174	s1
175	s1
176	s14
177	s22
178	s6
179	s1
180	s13
181	s17
182	s11
183	s2
184	s14
185	s16
186	s9
187	s20
188	s7
189	s10
190	s15
191	s18
192	s11
193	s9
194	s17
195	s17
196	s6
197	s15
198	s23
199	s8
200	s7
201	s19
202	s1
203	s20
204	s0
205	s28
206	s2
207	s7
208	s10
209	s26
210	s10
211	s14
212	s24
213	s9
214	s26
215	s26
216	s3
217	s8
218	s23
219	s10
220	s12
221	s21
222	s12
223	s7
224	s14
225	s24
226	s10
227	s5
228	s26
229	s22
230	s1
231	s21
232	s3
233	s7
234	s19
235	s8
236	s9
237	s15
238	s18
239	s11
240	s5
241	s20
242	s5
243	s13
