value	meaning	votes	total	share	grade	all_readings
1	i	1	1	1.00	M	i:1
2	m	40	41	0.98	C	m:40 i:1
3	l	59	61	0.97	C	l:59 y:1 a:1
4	n	1	1	1.00	M	n:1
5	k	13	15	0.87	C	k:13 f:1 t:1
6	i	63	71	0.89	C	i:63 s:4 d:3 e:1
7	h	39	40	0.97	C	h:39 i:1
9	a	1	1	1.00	M	a:1
10	g	20	21	0.95	C	g:20 d:1
11	f	15	16	0.94	C	f:15 s:1
12	e	108	113	0.96	H	e:108 t:2 o:1 l:1
16	d	26	28	0.93	C	d:26 v:1 y:1
17	c	28	31	0.90	C	c:28 s:2 f:1
18	b	33	33	1.00	C	b:33
19	a	57	57	1.00	C	a:57
20	i	1	1	1.00	M	i:1
21	k	4	4	1.00	C	k:4
22	g	19	19	1.00	C	g:19
23	h	29	33	0.88	C	h:29 w:1 i:1 u:1
24	u	1	1	1.00	M	u:1
25	e	87	108	0.81	H	e:87 t:18 w:1 j:1
26	f	17	19	0.89	C	f:17 n:1 s:1
27	r	9	11	0.82	C	r:9 c:1 h:1
28	i	47	51	0.92	C	i:47 h:2 j:1 q:1
29	d	21	29	0.72	C	d:21 p:6 i:2
30	a	51	53	0.96	C	a:51 o:1 t:1
31	y	36	39	0.92	C	y:36 i:2 t:1
32	x	2	2	1.00	M	x:2
33	w	18	28	0.64	M	w:18 u:7 m:2 t:1
34	u/v	39	39	1.00	C	u:22 v:17
35	t	91	97	0.94	C	t:91 s:1 k:1 w:1
36	s	66	71	0.93	C	s:66 f:3 l:2
37	r	56	57	0.98	C	r:56 t:1
38	q	2	2	1.00	M	q:2
39	p	19	19	1.00	C	p:19
40	o	134	135	0.99	C	o:134 e:1
41	n	68	70	0.97	C	n:68 a:1 l:1
42	n	46	46	1.00	C	n:46
43	m	29	30	0.97	C	m:29 o:1
47	r	1	1	1.00	M	r:1
62	army	1	1	1.00	M	army:1
65	colonel	1	2	0.50	M	colonel:1 col:1
67	england	1	1	1.00	M	england:1
81	which	3	4	0.75	C	which:3 whichthelordprotestor:1
82	as	1	1	1.00	M	as:1
83	with	4	5	0.80	C	with:4 one:1
84	noticeofandalthough	1	1	1.00	M	noticeofandalthough:1
85	have	3	3	1.00	C	have:3
87	i	1	1	1.00	M	i:1
126	correspondence	1	1	1.00	M	correspondence:1
127	dillatisfied	1	1	1.00	M	dillatisfied:1
130	generalrising	4	4	1.00	C	generalrising:4
136	geralrising	1	1	1.00	M	geralrising:1
153	thecavaliers	1	1	1.00	M	thecavaliers:1
158	designs	2	3	0.67	C	designs:2 design:1
159	design	1	2	0.50	M	design:1 hull:1
171	the	1	1	1.00	M	the:1
275	that	1	1	1.00	M	that:1
@	thelordprotector	10	12	0.83	C	thelordprotestor:7 thelordprotedtor:1 for:1 granted:1
