letter	run_lines	n_tokens	context_before	context_after	expected_content	grade
P4	15473-15473	1	Weft,  but  it  is  God  that  orders  it  in  fuch  way  as  he  pleafes  ;  yet   fince  God   does  p-  76. / give  nothing  to  us  in  vayne,  hee  would,  not  have  us  to  negled  the  making  any  of  thofe	i88  STATE     PAPERS     OF / A.  D.  1654.  oportunities,  which  hee  is  pleafed  to  offerr  us  for  our  good  -,  and  therefore,  as  wee  are  not	Weft,  but  it  is  God  that  orders  it  in  fuch  way  as  he  pleafes  ;  yet   fince  God   does  p-  76. / give  nothing  to  us  in  vayne,  hee  would,  not  have  us  to  negled  the  making  any  of  thofe [[RUN]] i88  STATE     PAPERS     OF / A.  D.  1654.  oportunities,  which  hee  is  pleafed  to  offerr  us  for  our  good  -,  and  therefore,  as  wee  are  not	CANDIDATE (this pass's own reading of surrounding plain text, not verified)
P4	15489-15503	196	throwne  off  to  the  wide  world,  without  friends  or  fupport,  and  that  I  may  expeft  to  bee / provided  for  by  him,  after  that  I  fhall  have  loft  my  felfe  every  where  elfe  for  his  fake  ;  for	therfore  certaynly,  when  your  friend  fhall  ferioufly  confider  the  nature  of  this  matter,  hee / cannot  thinke  it  ftrange  in  me  to  expeft  to  bee  afTured  of  his  proteftion,  before  I  fhall  doe	throwne  off  to  the  wide  world,  without  friends  or  fupport,  and  that  I  may  expeft  to  bee / provided  for  by  him,  after  that  I  fhall  have  loft  my  felfe  every  where  elfe  for  his  fake  ;  for [[RUN]] therfore  certaynly,  when  your  friend  fhall  ferioufly  confider  the  nature  of  this  matter,  hee / cannot  thinke  it  ftrange  in  me  to  expeft  to  bee  afTured  of  his  proteftion,  before  I  fhall  doe	CANDIDATE (this pass's own reading of surrounding plain text, not verified)
P4	15510-15510	1	doing  mee  good,  upon  the  pretence  of  a  fervice,  which  afterwards  I  fhould  not  bee  able  to / doe.  I  defire  nothing  from  him  till  I  have  fhewne  him  by  the  efFe<5ls,  that  the  fervice	fervice  I  doe  him  bee  worthy  his  thankes  or  noe.  Sir,  I  am  in  fuch  haft  to  make  an  end / for  feare  of  loofing  this  pofte,  that  I  feare  you  will  fcarce  be  able  to  reade  the  hand,  much	doing  mee  good,  upon  the  pretence  of  a  fervice,  which  afterwards  I  fhould  not  bee  able  to / doe.  I  defire  nothing  from  him  till  I  have  fhewne  him  by  the  efFe<5ls,  that  the  fervice [[RUN]] fervice  I  doe  him  bee  worthy  his  thankes  or  noe.  Sir,  I  am  in  fuch  haft  to  make  an  end / for  feare  of  loofing  this  pofte,  that  I  feare  you  will  fcarce  be  able  to  reade  the  hand,  much	CANDIDATE (this pass's own reading of surrounding plain text, not verified)
P4	15523-15524	9	I  fhould  intend  it  never  foe  much.  Next,  whether  or  noe  I  have  not  reafbn  to  beleeve / that  your  friend  muft  needs  think  (how  fmall  a  proportion  of  parts  foever  God  hath  given	Ihare  I  have  hitherto  had  of  theire  bufinefTe.  And  laft,  whither  or  noe  I  ought  in  reafon / to  expeft,  hee  will  admitt  of  mee,  if  in  this  foe  prelTing  a  conjundure,  and  wherein  Icaa	I  fhould  intend  it  never  foe  much.  Next,  whether  or  noe  I  have  not  reafbn  to  beleeve / that  your  friend  muft  needs  think  (how  fmall  a  proportion  of  parts  foever  God  hath  given [[RUN]] Ihare  I  have  hitherto  had  of  theire  bufinefTe.  And  laft,  whither  or  noe  I  ought  in  reafon / to  expeft,  hee  will  admitt  of  mee,  if  in  this  foe  prelTing  a  conjundure,  and  wherein  Icaa	CANDIDATE (this pass's own reading of surrounding plain text, not verified)
P4	15529-15551	101	without  vanity  pretend  to  bee  in  fome  kinde  ufefull  to  him,  hee  do's  abfolutely  rejedl  the / fervice  I  offer  him  j  for  how  flight  foever  you  may  make  of  thes  bufineffe,  I  know  it  is  a	This  plott  is  foe  infalible,  that  noe  difcovery  can  prevent  it;  which  would  rather  make / mee  beleeve  it  were  a  rediculous  one,  then  any  thing  elfe,  if  I  did  not  know  perticularly,   it	without  vanity  pretend  to  bee  in  fome  kinde  ufefull  to  him,  hee  do's  abfolutely  rejedl  the / fervice  I  offer  him  j  for  how  flight  foever  you  may  make  of  thes  bufineffe,  I  know  it  is  a [[RUN]] This  plott  is  foe  infalible,  that  noe  difcovery  can  prevent  it;  which  would  rather  make / mee  beleeve  it  were  a  rediculous  one,  then  any  thing  elfe,  if  I  did  not  know  perticularly,   it	CANDIDATE (this pass's own reading of surrounding plain text, not verified)
P4	15561-15570	20	were  indeed  foe  well  lay'd,  that  nothing  but  his  and  .  . .  ignorance  together  could  defiroye  it. / I  know  very  well  too,  it  would  not  bee  hard  for  mee  to  have  as  considerable  a  fhare  in  it  as	SO- / tiy  35'  7'  12.  it  25.  6.  36.  in  17.	were  indeed  foe  well  lay'd,  that  nothing  but  his  and  .  . .  ignorance  together  could  defiroye  it. / I  know  very  well  too,  it  would  not  bee  hard  for  mee  to  have  as  considerable  a  fhare  in  it  as [[RUN]] SO- / tiy  35'  7'  12.  it  25.  6.  36.  in  17.	CANDIDATE (this pass's own reading of surrounding plain text, not verified)
P4	15574-15574	5	43-  12.  37.  40.  41.  25.  36.  33.  7. / SO-	SO- / 36.  6.  16.  12.  37.  19.  18.  3.  25.	43-  12.  37.  40.  41.  25.  36.  33.  7. / SO- [[RUN]] SO- / 36.  6.  16.  12.  37.  19.  18.  3.  25.	CANDIDATE (this pass's own reading of surrounding plain text, not verified)
P4	15578-15602	53	tiy  35'  7'  12.  it  25.  6.  36.  in  17. / SO-	I  have  to  fubmitt  to  thofe   that  have  ufed  mee  unworthily,  did  not  hinder  mee  from  it.  A.  D.  1654. / Sir,  it  depends  on  your  friend,  to  difpofe  of  mee  as  hee  pleafes.     If  he  thinkes  that  what  I  L/'VNJ	tiy  35'  7'  12.  it  25.  6.  36.  in  17. / SO- [[RUN]] I  have  to  fubmitt  to  thofe   that  have  ufed  mee  unworthily,  did  not  hinder  mee  from  it.  A.  D.  1654. / Sir,  it  depends  on  your  friend,  to  difpofe  of  mee  as  hee  pleafes.     If  he  thinkes  that  what  I  L/'VNJ	CANDIDATE (this pass's own reading of surrounding plain text, not verified)
P4	15646-15646	1	Sir,  your  moft  affeftionate / and  mofl  humble  fervant,	[i65±.  N.  S.]  W.S. / Another  letter  from  the  fame  perfon.	Sir,  your  moft  affeftionate / and  mofl  humble  fervant, [[RUN]] [i65±.  N.  S.]  W.S. / Another  letter  from  the  fame  perfon.	CANDIDATE (this pass's own reading of surrounding plain text, not verified)
P5_P6	22891-22949	479	P-  3 '9-  ■■■     greater  trouble  then  it  is  poffible  for  mee  to  expreffe,  not  being  able  to  imagine  the / reafon,  why  you  fhould  not  thinke  fit  at  leaft  to  lett  me  know  your  fence  of  what  I  ofi^erred	that / :  is  not	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P5_P6	22959-22959	1	39-  25' / the  cafe	35-  / / '.  12	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P5_P6	22963-22971	5	37-  36. / 35-  /	3&- / 12.	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P5_P6	22975-22975	1	41. / 3&-	30- / 37-	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
