pass	crop	line_no	pass_row	code	page_line	after_sign_n
A	f28r_L08_s1.jpg	2	f28r_L08_s1.jpg:2:13	x	14	103
A	f28r_L08_s1.jpg	2	f28r_L08_s1.jpg:2:15	o	14	104
A	f28r_L08_s1.jpg	2	f28r_L08_s1.jpg:2:17	o	14	106
A	f28r_L09_s1.jpg	2	f28r_L09_s1.jpg:2:34	?	16	246
A	f28r_L10_s1.jpg	1	f28r_L10_s1.jpg:1:3	rho	17	272
A	f28r_L10_s1.jpg	1	f28r_L10_s1.jpg:1:8	z	17	276
A	f28r_L10_s1.jpg	1	f28r_L10_s1.jpg:1:10	phi	17	277
A	f28r_L10_s1.jpg	1	f28r_L10_s1.jpg:1:17	I	17	283
A	f28r_L10_s1.jpg	1	f28r_L10_s1.jpg:1:24	phi	17	289
A	f28r_L10_s1.jpg	1	f28r_L10_s1.jpg:1:25	the	17	289
A	f28r_L10_s1.jpg	1	f28r_L10_s1.jpg:1:27	phi	17	290
A	f28r_L10_s1.jpg	1	f28r_L10_s1.jpg:1:28	f	17	290
A	f28r_L10_s1.jpg	2	f28r_L10_s1.jpg:2:1	lam	18	
A	f28r_L10_s1.jpg	2	f28r_L10_s1.jpg:2:4	z	18	327
A	f28r_L10_s1.jpg	2	f28r_L10_s1.jpg:2:8	lam	18	330
A	f28r_L10_s1.jpg	2	f28r_L10_s1.jpg:2:9	phi	18	330
A	f28r_L10_s1.jpg	2	f28r_L10_s1.jpg:2:13	lam	18	336
A	f28r_L10_s1.jpg	2	f28r_L10_s1.jpg:2:16	lam	18	338
A	f28r_L10_s1.jpg	2	f28r_L10_s1.jpg:2:33	o	18	356
A	f28r_L11_s1.jpg	1	f28r_L11_s1.jpg:1:18	n	19	405
A	f28r_L11_s1.jpg	1	f28r_L11_s1.jpg:1:21	lam	19	407
A	f28r_L11_s1.jpg	1	f28r_L11_s1.jpg:1:29	T	19	414
A	f28r_L11_s1.jpg	1	f28r_L11_s1.jpg:1:33	f	19	417
A	f28r_L11_s1.jpg	1	f28r_L11_s1.jpg:1:35	f	19	418
A	f28r_L11_s1.jpg	2	f28r_L11_s1.jpg:2:2	v	20	442
A	f28r_L11_s1.jpg	2	f28r_L11_s1.jpg:2:5	dag	20	444
A	f28r_L11_s1.jpg	2	f28r_L11_s1.jpg:2:6	z	20	444
A	f28r_L11_s1.jpg	2	f28r_L11_s1.jpg:2:7	T	20	444
A	f28r_L11_s1.jpg	2	f28r_L11_s1.jpg:2:11	z	20	447
A	f28r_L11_s1.jpg	2	f28r_L11_s1.jpg:2:12	f	20	447
A	f28r_L11_s1.jpg	2	f28r_L11_s1.jpg:2:14	v	20	448
A	f28r_L11_s1.jpg	2	f28r_L11_s1.jpg:2:18	z	20	451
A	f28r_L11_s1.jpg	2	f28r_L11_s1.jpg:2:19	rho	20	451
A	f28r_L11_s1.jpg	2	f28r_L11_s1.jpg:2:26	phi	20	457
A	f28r_L11_s1.jpg	2	f28r_L11_s1.jpg:2:38	I	20	471
A	f28r_L11_s1.jpg	2	f28r_L11_s1.jpg:2:39	phi	20	471
A	f28r_L12_s1.jpg	1	f28r_L12_s1.jpg:1:2	lam	21	498
A	f28r_L12_s1.jpg	1	f28r_L12_s1.jpg:1:7	psi	21	502
A	f28r_L12_s1.jpg	1	f28r_L12_s1.jpg:1:11	n	21	505
A	f28r_L12_s1.jpg	1	f28r_L12_s1.jpg:1:16	psi	21	509
A	f28r_L12_s1.jpg	1	f28r_L12_s1.jpg:1:22	box	21	515
A	f28r_L12_s1.jpg	2	f28r_L12_s1.jpg:2:19	dag	22	583
A	f28r_L12_s1.jpg	2	f28r_L12_s1.jpg:2:22	o	22	585
A	f28r_L12_s1.jpg	2	f28r_L12_s1.jpg:2:23	I	22	585
A	f28r_L12_s1.jpg	2	f28r_L12_s1.jpg:2:25	f	22	586
A	f28r_L12_s1.jpg	2	f28r_L12_s1.jpg:2:26	dag	22	586
A	f28r_L12_s1.jpg	2	f28r_L12_s1.jpg:2:27	lam	22	586
A	f28r_L14_s1.jpg	1	f28r_L14_s1.jpg:1:2	o	25	730
A	f28r_L14_s1.jpg	1	f28r_L14_s1.jpg:1:4	lam	25	731
A	f28r_L14_s1.jpg	1	f28r_L14_s1.jpg:1:18	o	25	744
A	f28r_L14_s1.jpg	1	f28r_L14_s1.jpg:1:23	rho	25	748
A	f28r_L14_s1.jpg	2	f28r_L14_s1.jpg:2:18	phi	26	784
A	f28r_L14_s1.jpg	2	f28r_L14_s1.jpg:2:23	lam	26	788
A	f28r_L14_s1.jpg	2	f28r_L14_s1.jpg:2:32	phi	26	796
A	f28r_L14_s1.jpg	2	f28r_L14_s1.jpg:2:33	z	26	796
A	f28r_L15_s1.jpg	1	f28r_L15_s1.jpg:1:2	f	27	831
A	f28r_L15_s1.jpg	1	f28r_L15_s1.jpg:1:7	lam	27	835
A	f28r_L15_s1.jpg	1	f28r_L15_s1.jpg:1:10	v	27	837
A	f28r_L15_s1.jpg	1	f28r_L15_s1.jpg:1:11	phi	27	837
A	f28r_L15_s1.jpg	1	f28r_L15_s1.jpg:1:23	lam	27	849
A	f28r_L15_s1.jpg	1	f28r_L15_s1.jpg:1:25	rho	27	850
A	f28r_L15_s1.jpg	1	f28r_L15_s1.jpg:1:31	o	27	855
A	f28r_L15_s1.jpg	2	f28r_L15_s1.jpg:2:8	v	28	886
A	f28r_L15_s1.jpg	2	f28r_L15_s1.jpg:2:10	rho	28	887
A	f28r_L15_s1.jpg	2	f28r_L15_s1.jpg:2:11	eps	28	887
A	f28r_L15_s1.jpg	2	f28r_L15_s1.jpg:2:15	box	28	890
A	f28r_L15_s1.jpg	2	f28r_L15_s1.jpg:2:16	x	28	890
A	f28r_L15_s1.jpg	2	f28r_L15_s1.jpg:2:17	f	28	890
A	f28r_L15_s1.jpg	2	f28r_L15_s1.jpg:2:19	I	28	891
A	f28r_L15_s1.jpg	2	f28r_L15_s1.jpg:2:21	rho	28	892
A	f28r_L15_s1.jpg	2	f28r_L15_s1.jpg:2:25	C6	28	895
A	f28r_L16_s1.jpg	1	f28r_L16_s1.jpg:1:8	phi	29	950
A	f28r_L16_s1.jpg	1	f28r_L16_s1.jpg:1:10	m	29	951
A	f28r_L16_s1.jpg	1	f28r_L16_s1.jpg:1:11	phi	29	951
A	f28r_L16_s1.jpg	1	f28r_L16_s1.jpg:1:15	o	29	954
A	f28r_L16_s1.jpg	2	f28r_L16_s1.jpg:2:1	lam	30	
A	f28r_L16_s1.jpg	2	f28r_L16_s1.jpg:2:2	o	30	
A	f28r_L16_s1.jpg	2	f28r_L16_s1.jpg:2:3	C6	30	
A	f28r_L16_s1.jpg	2	f28r_L16_s1.jpg:2:5	phi	30	988
A	f28r_L16_s1.jpg	2	f28r_L16_s1.jpg:2:9	z	30	991
A	f28r_L16_s1.jpg	2	f28r_L16_s1.jpg:2:11	A	30	992
A	f28r_L16_s1.jpg	2	f28r_L16_s1.jpg:2:12	y	30	992
A	f28r_L16_s1.jpg	2	f28r_L16_s1.jpg:2:13	m	30	992
A	f28r_L16_s1.jpg	2	f28r_L16_s1.jpg:2:20	phi	30	1000
A	f28r_L17_s1.jpg	2	f28r_L17_s1.jpg:2:5	dag	32	1100
A	f28r_L18_s1.jpg	1	f28r_L18_s1.jpg:1:10	rho	33	1161
A	f28r_L18_s1.jpg	1	f28r_L18_s1.jpg:1:24	o	33	1175
A	f28r_L18_s1.jpg	2	f28r_L18_s1.jpg:2:8	dag	34	1216
A	f28r_L18_s1.jpg	2	f28r_L18_s1.jpg:2:26	omg	34	1236
A	f28r_L18_s1.jpg	2	f28r_L18_s1.jpg:2:28	phi	34	1237
A	f28r_L18_s1.jpg	2	f28r_L18_s1.jpg:2:29	f	34	1237
A	f28r_L18_s1.jpg	2	f28r_L18_s1.jpg:2:32	eps	34	1239
A	f28r_L18_s1.jpg	2	f28r_L18_s1.jpg:2:33	a	34	1239
A	f28r_L19_s1.jpg	1	f28r_L19_s1.jpg:1:1	f	35	
A	f28r_L19_s1.jpg	1	f28r_L19_s1.jpg:1:4	lam	35	1265
A	f28r_L19_s1.jpg	1	f28r_L19_s1.jpg:1:5	n	35	1265
A	f28r_L19_s1.jpg	1	f28r_L19_s1.jpg:1:9	f	35	1268
A	f28r_L19_s1.jpg	1	f28r_L19_s1.jpg:1:19	I	35	1279
A	f28r_L19_s1.jpg	2	f28r_L19_s1.jpg:2:5	f	36	1322
A	f28r_L19_s1.jpg	2	f28r_L19_s1.jpg:2:6	lam	36	1322
A	f28r_L19_s1.jpg	2	f28r_L19_s1.jpg:2:12	v	36	1328
A	f28r_L19_s1.jpg	2	f28r_L19_s1.jpg:2:17	dag	36	1333
A	f28r_L19_s1.jpg	2	f28r_L19_s1.jpg:2:28	v	36	1343
A	f28r_L20_s1.jpg	1	f28r_L20_s1.jpg:1:10	o	37	1378
A	f28r_L20_s1.jpg	1	f28r_L20_s1.jpg:1:22	dag	37	1389
A	f28r_L20_s1.jpg	1	f28r_L20_s1.jpg:1:24	I	37	1390
A	f28r_L20_s1.jpg	2	f28r_L20_s1.jpg:2:1	A		
A	f28r_L20_s1.jpg	2	f28r_L20_s1.jpg:2:2	phi		
A	f28r_L20_s1.jpg	2	f28r_L20_s1.jpg:2:3	phi		
A	f28r_L20_s1.jpg	2	f28r_L20_s1.jpg:2:4	box		
A	f28r_L20_s1.jpg	2	f28r_L20_s1.jpg:2:5	v		
A	f28r_L20_s1.jpg	2	f28r_L20_s1.jpg:2:6	phi		
A	f28r_L20_s1.jpg	2	f28r_L20_s1.jpg:2:7	Rk		
A	f28r_L20_s1.jpg	2	f28r_L20_s1.jpg:2:8	phi		
A	f28r_L20_s1.jpg	2	f28r_L20_s1.jpg:2:9	z		
A	f28r_L20_s1.jpg	2	f28r_L20_s1.jpg:2:10	lam		
A	f28r_L20_s1.jpg	2	f28r_L20_s1.jpg:2:11	rho		
A	f28r_L20_s1.jpg	2	f28r_L20_s1.jpg:2:12	o		
A	f28r_L20_s1.jpg	2	f28r_L20_s1.jpg:2:13	phi		
