code	total	7	?	A	Del	E	H	I	K	L	R	S	T	Tbox	U	X	ankh	arr	box	box3	bz	cross4	dash_o	db	dbar	diamond	f	hash	heart	l	lam	lamL	m	n	o	oplus	pi	plus	psi	q	rho	six	sq	th	three	v	w	x	y	yogh	z	zslash
phi	673	0	0	0	1	5	0	6	0	0	0	3	1	0	0	5	10	234	0	0	0	0	0	7	0	0	9	0	0	9	5	0	0	4	5	1	0	0	353	4	3	0	0	1	1	5	0	0	0	0	1	0
lam	552	1	0	0	0	1	2	1	0	0	0	1	0	0	0	1	2	12	0	0	0	0	0	1	3	0	3	0	0	311	172	12	1	1	6	0	1	0	5	5	3	0	6	0	0	0	0	0	0	0	0	1
v	370	2	0	0	0	0	1	1	0	0	1	3	0	0	0	1	0	5	1	0	0	0	0	0	0	0	4	0	0	4	56	0	0	0	1	0	0	0	4	0	1	0	1	0	0	284	0	0	0	0	0	0
rho	349	2	0	0	0	0	0	2	0	0	2	0	1	0	0	0	30	2	4	0	0	0	0	1	0	0	0	0	0	34	0	0	0	0	2	0	0	0	7	127	134	0	0	0	0	0	0	0	0	0	1	0
dag	289	1	0	0	0	0	0	7	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	230	32	0	1	0	0	1	1	2	0	2	1	0	0	4	1	0	0	0	0	2	0	0	0	0	0	0	0	0
f	258	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	5	0	0	228	0	0	1	4	0	0	0	1	0	0	0	2	0	3	0	0	0	0	4	1	0	0	0	2	0
o	250	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	3	2	2	0	2	1	0	0	2	2	0	0	1	197	0	0	0	0	6	11	3	0	5	0	5	0	0	0	1	0	0
I	228	0	0	0	0	0	2	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	2	0	2	0	1	0	0	0	8	0	0	0	0	0	0	7	0	0	0	0	0	0
z	223	15	0	0	0	2	0	5	0	1	1	1	0	0	0	0	2	5	1	0	0	0	0	7	0	0	0	0	0	1	1	0	0	0	0	0	0	0	10	3	3	0	0	0	1	0	0	0	0	0	164	0
box	180	0	0	0	0	0	0	0	0	2	0	2	0	0	0	38	0	0	116	0	0	0	0	4	0	0	6	0	0	2	0	0	0	1	2	0	0	0	1	2	1	0	3	0	0	0	0	0	0	0	0	0
T	109	0	0	0	0	0	1	0	0	0	0	1	95	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0
n	106	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	3	4	0	0	88	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
7	72	70	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x	63	2	0	0	2	2	0	0	0	3	1	0	0	0	0	37	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	3	1	2	0	0	1	0
S	62	0	0	0	1	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eps	61	0	0	0	0	44	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	2	0	0	0	3	0	0	0	1	1	0	0	1	0	0	0	0	0
Rk	48	1	0	0	0	0	0	0	5	0	30	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
omg	39	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0	1	0	0	2	0	0	0	0	21	0	0	0	0	0
a	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
theta	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	2	0
A	30	0	0	10	1	1	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Delta	29	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
star	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
psi	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	3	0	0	1	0	0	0
s	24	0	0	0	1	1	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	2	0
H	24	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
