sid	page	line	x	y	w	h	area	ncomp
0	f28r	12	6538	1919	37	60	1029	1
1	f28r	12	6580	1952	24	57	681	1
2	f28r	12	6610	1950	28	30	486	1
3	f28r	12	6652	1948	26	32	604	1
4	f28r	12	6682	1955	34	21	439	1
5	f28r	12	6719	1940	48	50	710	1
6	f28r	12	6762	1944	38	39	580	1
7	f28r	12	6811	1941	28	43	711	1
8	f28r	12	6851	1948	28	28	390	1
9	f28r	12	6877	1946	47	44	749	1
10	f28r	12	6940	1941	38	30	561	1
11	f28r	12	6987	1947	25	25	377	1
12	f28r	12	7020	1941	47	36	789	1
13	f28r	12	7077	1946	39	29	716	1
14	f28r	12	7117	1937	37	41	579	1
15	f28r	12	7172	1948	42	25	419	1
16	f28r	12	7221	1942	28	25	384	1
17	f28r	12	7251	1941	43	42	728	1
18	f28r	12	7300	1930	46	38	623	1
19	f28r	12	7355	1920	64	68	1474	1
20	f28r	12	7420	1943	28	22	396	1
21	f28r	12	7460	1941	38	25	616	1
22	f28r	12	7507	1940	38	46	636	1
23	f28r	12	7555	1939	29	26	352	1
24	f28r	12	7589	1940	31	36	475	1
25	f28r	12	7625	1919	34	43	427	1
26	f28r	12	7663	1938	32	24	438	1
27	f28r	12	7703	1936	31	27	363	1
28	f28r	12	7738	1930	46	32	833	1
29	f28r	13	5025	2088	33	33	553	1
30	f28r	13	5064	2091	44	43	822	1
31	f28r	13	5117	2087	32	27	431	1
32	f28r	13	5154	2090	42	24	595	1
33	f28r	13	5193	2076	47	51	822	1
34	f28r	13	5231	2080	37	41	690	1
35	f28r	13	5285	2077	30	39	639	1
36	f28r	13	5326	2083	42	39	769	1
37	f28r	13	5371	2074	41	39	781	1
38	f28r	13	5420	2084	43	27	498	1
39	f28r	13	5472	2078	42	32	708	1
40	f28r	13	5527	2083	43	26	645	1
41	f28r	13	5577	2081	48	48	894	1
42	f28r	13	5635	2077	40	29	674	1
43	f28r	13	5690	2081	32	54	765	1
44	f28r	13	5731	2077	43	44	762	1
45	f28r	13	5769	2077	64	52	791	1
46	f28r	13	5844	2075	29	26	394	1
47	f28r	13	5879	2071	27	27	472	1
48	f28r	13	5927	2076	36	28	401	1
49	f28r	13	5957	2068	45	37	652	1
50	f28r	13	6020	2072	29	25	481	1
51	f28r	13	6057	2072	30	26	384	1
52	f28r	13	6089	2067	51	57	926	2
53	f28r	13	6147	2075	25	37	484	1
54	f28r	13	6170	2040	41	58	813	1
55	f28r	13	6211	2066	35	37	526	1
56	f28r	13	6254	2078	33	22	348	1
57	f28r	13	6294	2060	50	48	619	1
58	f28r	13	6338	2077	41	19	395	1
59	f28r	13	6390	2071	24	23	431	1
60	f28r	13	6426	2072	42	47	742	1
61	f28r	13	6467	2057	47	51	766	1
62	f28r	13	6509	2062	36	34	587	1
63	f28r	13	6563	2067	39	23	422	1
64	f28r	13	6613	2067	34	21	423	1
65	f28r	13	6651	2065	34	24	334	1
66	f28r	13	6681	2059	51	46	862	1
67	f28r	13	6733	2055	41	43	708	1
68	f28r	13	6781	2063	35	22	480	1
69	f28r	13	6822	2061	31	23	342	1
70	f28r	13	6843	2053	37	40	646	1
71	f28r	13	6901	2063	23	24	382	1
72	f28r	13	6934	2063	30	27	386	1
73	f28r	13	6960	2054	33	42	620	1
74	f28r	13	6999	2059	51	42	866	1
75	f28r	13	7052	2029	53	55	944	1
76	f28r	13	7104	2062	31	26	470	1
77	f28r	13	7139	2062	33	26	407	1
78	f28r	13	7178	2055	41	36	794	1
79	f28r	13	7216	2064	41	44	523	1
80	f28r	13	7258	2040	48	66	738	1
81	f28r	13	7302	2033	16	9	81	1
82	f28r	13	7319	2057	23	23	341	1
83	f28r	13	7361	2053	40	26	441	1
84	f28r	13	7392	2056	50	55	787	1
85	f28r	13	7452	2053	25	32	403	1
86	f28r	13	7483	2055	38	51	691	1
87	f28r	13	7527	2052	38	22	378	1
88	f28r	13	7569	2049	35	28	352	1
89	f28r	13	7625	2051	45	43	669	1
90	f28r	13	7679	2038	63	41	1009	1
91	f28r	13	7751	2016	50	56	961	1
92	f28r	14	5029	2207	35	32	501	1
93	f28r	14	5056	2195	43	44	760	1
94	f28r	14	5114	2201	34	32	524	1
95	f28r	14	5154	2201	45	27	678	1
96	f28r	14	5172	2201	60	50	823	1
97	f28r	14	5237	2176	55	66	1000	1
98	f28r	14	5300	2199	43	43	735	1
99	f28r	14	5355	2197	41	26	454	1
100	f28r	14	5401	2182	46	37	755	1
101	f28r	14	5456	2186	51	40	974	1
102	f28r	14	5507	2185	40	41	711	1
103	f28r	14	5557	2194	27	24	438	1
104	f28r	14	5592	2183	36	35	481	1
105	f28r	14	5631	2178	41	43	711	1
106	f28r	14	5684	2187	41	27	454	1
107	f28r	14	5727	2183	48	40	807	1
108	f28r	14	5777	2152	90	62	1842	1
109	f28r	14	5880	2185	28	27	402	1
110	f28r	14	5916	2184	31	55	686	1
111	f28r	14	5957	2179	37	26	555	1
112	f28r	14	6005	2180	41	28	873	1
113	f28r	14	6058	2183	43	38	676	1
114	f28r	14	6121	2179	29	23	415	1
115	f28r	14	6154	2177	46	55	893	1
116	f28r	14	6203	2173	29	28	412	1
117	f28r	14	6228	2166	34	40	545	1
118	f28r	14	6271	2172	42	45	771	1
119	f28r	14	6325	2148	38	52	742	1
120	f28r	14	6359	2178	36	27	413	1
121	f28r	14	6418	2177	30	28	480	1
122	f28r	14	6453	2174	29	31	421	1
123	f28r	14	6488	2176	40	47	737	1
124	f28r	14	6543	2175	25	25	414	1
125	f28r	14	6576	2135	46	64	879	1
126	f28r	14	6626	2179	67	49	677	1
127	f28r	14	6627	2173	29	26	383	1
128	f28r	14	6700	2166	42	27	560	1
129	f28r	14	6757	2165	41	34	789	1
130	f28r	14	6799	2175	32	38	453	1
131	f28r	14	6827	2159	56	67	793	1
132	f28r	14	6895	2174	26	27	437	1
133	f28r	14	6945	2177	24	23	337	1
134	f28r	14	6977	2176	26	24	317	1
135	f28r	14	7004	2176	46	40	768	1
136	f28r	14	7054	2177	45	21	550	1
137	f28r	14	7102	2174	41	21	457	1
138	f28r	14	7159	2164	25	32	493	1
139	f28r	14	7209	2172	42	24	396	1
140	f28r	14	7251	2171	29	20	369	1
141	f28r	14	7282	2167	30	31	408	1
142	f28r	14	7332	2164	39	49	675	1
143	f28r	14	7385	2164	25	25	313	1
144	f28r	14	7423	2139	68	44	788	1
145	f28r	14	7502	2153	47	44	745	1
146	f28r	14	7560	2156	25	21	325	1
147	f28r	14	7583	2142	39	59	728	1
148	f28r	14	7639	2146	22	38	514	1
149	f28r	14	7676	2153	33	35	451	1
150	f28r	14	7713	2191	34	9	206	1
151	f28r	14	7722	2156	25	23	344	1
152	f28r	14	7748	2154	42	41	531	1
153	f28r	15	4989	2313	77	56	963	1
154	f28r	15	5075	2313	35	44	771	1
155	f28r	15	5120	2310	42	30	924	1
156	f28r	15	5169	2312	28	27	496	1
157	f28r	15	5196	2310	33	30	408	1
158	f28r	15	5245	2311	44	47	746	1
159	f28r	15	5290	2307	34	31	446	1
160	f28r	15	5329	2299	36	46	723	1
161	f28r	15	5376	2299	55	47	1035	1
162	f28r	15	5432	2275	51	57	952	1
163	f28r	15	5488	2305	28	24	447	1
164	f28r	15	5525	2303	44	26	614	1
165	f28r	15	5563	2285	55	54	902	1
166	f28r	15	5616	2297	35	30	443	1
167	f28r	15	5660	2300	45	26	610	1
168	f28r	15	5721	2300	30	23	435	1
169	f28r	15	5756	2300	29	55	709	1
170	f28r	15	5789	2296	30	26	366	1
171	f28r	15	5816	2262	48	60	1029	1
172	f28r	15	5854	2278	48	59	781	1
