n	page	line	x	type	d1	passA	passB
0	f28r	12	6538	K	0.193	.	||K
1	f28r	12	6580	q	0.613	.	C01
2	f28r	12	6610	v	0.768	.	C02
3	f28r	12	6652	th	0.167	.	C03
4	f28r	12	6682	z	0.000	.	z
5	f28r	12	6719	f	0.860	.	f
6	f28r	12	6762	l	0.664	.	C04
7	f28r	12	6811	sq	0.946	.	q
8	f28r	12	6851	v	0.671	.	v
9	f28r	12	6877	arr	0.291	.	C06
10	f28r	12	6940	Del	0.154	.	C07
11	f28r	12	6987	o	0.642	.	o
12	f28r	12	7020	X	0.889	.	C08
13	f28r	12	7077	box	0.608	.	C09
14	f28r	12	7117	l	0.501	.	C04
15	f28r	12	7172	T	0.516	.	T
16	f28r	12	7221	o	0.256	.	o
17	f28r	12	7251	arr	0.627	.	C06
18	f28r	12	7300	lamL	0.737	.	C10
19	f28r	12	7355	Tbox	0.781	.	C11
20	f28r	12	7420	o	0.646	.	o
21	f28r	12	7460	box	0.163	.	C09
22	f28r	12	7507	psi	0.257	.	C06
23	f28r	12	7555	v	0.339	.	v
24	f28r	12	7589	rho	0.657	.	C01
25	f28r	12	7625	six	0.281	.	C12
26	f28r	12	7663	n	0.308	.	n
27	f28r	12	7703	v	0.039	.	v
28	f28r	12	7738	X	0.325	.	C08
29	f28r	13	5025	lam	0.601	.	C10
30	f28r	13	5064	psi	0.600	.	C13
31	f28r	13	5117	lam	0.622	.	C10
32	f28r	13	5154	z	0.655	.	z
33	f28r	13	5193	f	0.756	.	f
34	f28r	13	5231	l	0.584	.	C04
35	f28r	13	5285	l	0.696	.	C04
36	f28r	13	5326	arr	0.788	.	C06
37	f28r	13	5371	sq	0.000	.	C04
38	f28r	13	5420	T	0.528	.	C11
39	f28r	13	5472	Del	0.608	.	C07
40	f28r	13	5527	I	0.113	.	I
41	f28r	13	5577	psi	0.668	.	C06
42	f28r	13	5635	w	0.744	.	C14
43	f28r	13	5690	q	0.601	.	C01
44	f28r	13	5731	psi	0.835	.	C06
45	f28r	13	5769	rho	0.000	.	C01
46	f28r	13	5844	v	0.115	.	C02
47	f28r	13	5879	E	0.205	.	E
48	f28r	13	5927	7	0.126	.	7
49	f28r	13	5957	l	0.101	.	C04
50	f28r	13	6020	n	0.668	.	n
51	f28r	13	6057	v	0.305	.	C02
52	f28r	13	6089	X	1.152	.	C08
53	f28r	13	6147	rho	0.808	.	C01
54	f28r	13	6170	db	0.749	.	C11
55	f28r	13	6211	l	0.630	.	C04
56	f28r	13	6254	7	0.735	.	7
57	f28r	13	6294	f	0.051	.	f|C11
58	f28r	13	6338	z	0.531	.	z|z
59	f28r	13	6390	E	0.938	.	E|C15
60	f28r	13	6426	psi	0.619	.	C06|C06
61	f28r	13	6467	f	0.692	.	-
62	f28r	13	6509	l	0.734	.	C04|C04
63	f28r	13	6563	T	0.862	.	T
64	f28r	13	6613	z	0.460	.	z
65	f28r	13	6651	v	0.708	.	C02
66	f28r	13	6681	arr	0.215	.	C01
67	f28r	13	6733	l	0.087	.	.
68	f28r	13	6781	z	0.051	.	.
69	f28r	13	6822	v	0.628	.	.
70	f28r	13	6843	l	0.257	.	.
71	f28r	13	6901	o	0.801	.	.
72	f28r	13	6934	v	0.644	.	.
73	f28r	13	6960	l	0.249	.	.
74	f28r	13	6999	arr	0.188	.	.
75	f28r	13	7052	db	0.734	.	.
76	f28r	13	7104	n	0.765	.	.
77	f28r	13	7139	v	0.159	.	.
78	f28r	13	7178	X	0.172	.	.
79	f28r	13	7216	rho	0.229	.	.
80	f28r	13	7258	f	0.743	.	.
81	f28r	13	7319	o	0.262	.	.
82	f28r	13	7361	I	0.270	.	.
