page	line	y_centre	signs_on_line
f28r	0	552	20
f28r	1	647	6
f28r	2	846	54
f28r	3	961	57
f28r	4	1070	55
f28r	5	1185	39
f28r	6	1297	50
f28r	7	1406	50
f28r	8	1515	66
f28r	9	1632	52
f28r	10	1745	38
f28r	11	1857	33
f28r	12	1966	52
f28r	13	2081	63
f28r	14	2190	62
f28r	15	2296	61
f28r	16	2414	61
f28r	17	2526	57
f28r	18	2638	60
f28r	19	2749	55
f28r	20	2860	58
f28r	21	2974	60
f28r	22	3085	56
f28r	23	3197	57
f28r	24	3305	55
f28r	25	3408	37
f28r	26	3521	61
f28r	27	3625	58
f28r	28	3728	58
f28r	29	3835	56
f28r	30	3940	55
f28r	31	4042	54
f28r	32	4152	59
f28r	33	4268	62
f28r	34	4386	57
f28r	35	4500	56
f28r	36	4611	53
f28r	37	4718	56
f28v	0	512	7
f28v	1	824	56
f28v	2	972	60
f28v	3	1061	55
f28v	4	1158	56
f28v	5	1275	53
f28v	6	1378	54
f28v	7	1490	53
f28v	8	1604	54
f28v	9	1719	56
f28v	10	1836	52
f28v	11	1957	54
f28v	12	2058	54
f28v	13	2173	57
f28v	14	2285	56
f28v	15	2398	56
f28v	16	2512	57
f28v	17	2615	56
f28v	18	2733	56
f28v	19	2853	57
f28v	20	2958	57
f28v	21	3076	51
f28v	22	3181	55
f28v	23	3299	49
f28v	24	3401	56
f28v	25	3513	56
f28v	26	3617	59
f28v	27	3722	55
f28v	28	3825	57
f28v	29	3928	54
f28v	30	4035	56
f28v	31	4126	57
f28v	32	4253	60
f28v	33	4366	62
f28v	34	4480	60
f28v	35	4599	60
f28v	36	4701	65
f29r	0	568	31
f29r	1	857	62
f29r	2	959	60
f29r	3	1066	56
f29r	4	1176	59
f29r	5	1294	54
f29r	6	1404	59
f29r	7	1516	59
f29r	8	1626	56
f29r	9	1745	52
f29r	10	1856	55
f29r	11	1972	54
f29r	12	2086	57
f29r	13	2197	56
f29r	14	2307	58
f29r	15	2423	59
f29r	16	2531	56
f29r	17	2638	56
f29r	18	2742	57
f29r	19	2858	55
f29r	20	2961	52
f29r	21	3066	54
f29r	22	3181	54
f29r	23	3306	51
f29r	24	3410	43
f29r	25	3508	55
f29r	26	3621	54
f29r	27	3717	59
f29r	28	3829	56
f29r	29	3944	55
f29r	30	4044	55
f29r	31	4144	53
f29r	32	4248	61
f29r	33	4373	59
f29r	34	4493	57
f29r	35	4583	53
f29r	36	4692	51
f29v	0	645	11
f29v	1	925	56
f29v	2	1034	55
f29v	3	1127	54
f29v	4	1236	57
f29v	5	1351	53
f29v	6	1468	60
f29v	7	1573	42
f29v	8	1670	59
f29v	9	1766	55
f29v	10	1876	51
f29v	11	1988	62
f29v	12	2094	58
f29v	13	2202	51
f29v	14	2309	50
f29v	15	2418	56
f29v	16	2523	56
f29v	17	2626	43
f29v	18	2731	63
f29v	19	2846	53
f29v	20	2970	64
f29v	21	3080	43
f29v	22	3186	57
f29v	23	3304	57
f29v	24	3420	62
f29v	25	3540	49
f29v	26	3668	71
f29v	27	3776	68
f29v	28	3888	68
f29v	29	3995	55
f29v	30	4096	59
f29v	31	4196	56
f29v	32	4288	66
f29v	33	4393	68
f29v	34	4503	62
f29v	35	4613	65
f29v	36	4727	65
