id	status	record_type	holder_raw	city	shelfmark_code	date_range	cleartext_lang	plaintext_lang	number_of_pages	source_page
10180	Decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/83.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_9	1498 -			7	1
10024	Decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 12, fol. 233.	Simancas	AGS_EST_LEG_12	-	Spanish		8	1
9969	Decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 1454, fol. 151–152.	Simancas	AGS_EST_LEG_1454_2	1529 -	Italian		8	1
9968	Decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 1454, fol. 144.	Simancas	AGS_EST_LEG_1454_1	1529 -	Italian		4	1
9965	Decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 882, fols 15–18.	Simancas	AGS_EST_LEG_882	1555 -	Spanish		24	1
9964	Decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 873, fol. 4.	Simancas	AGS_EST_LEG_873	1546 -	Spanish		4	1
9961	Decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 853, fol. 91.	Simancas	AGS_EST_LEG_853_2	1531 -	Spanish		24	1
9958	Decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 504, fols. 174–175.	Simancas	AGS_EST_LEG_504_1	1551 -	French		12	1
9953	Decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 439, fols. 97–100.	Simancas	AGS_EST_LEG_439	1534 -	Spanish		9	1
9951	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/39, f. 79–80.	Madrid	BRAH_Signatura-9/39_3	1526 -	Spanish		6	1
9950	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/39, f. 73–75.	Madrid	BRAH_Signatura-9/39_2	1526 -	Spanish		6	1
9949	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/39, f. 38–39.	Madrid	BRAH_Signatura-9/39_1	1526 -	Spanish, Latin		4	1
9898	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 150–156.	Madrid	BRAH_Signatura-9/34_3	1525 -	Spanish		14	1
9897	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 10–16.	Madrid	BRAH_Signatura-9/34_2	1525 -	Spanish		14	1
9895	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 510–517.	Madrid	BRAH_Signatura-9/31_26	1524 -	Spanish		16	1
9893	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 483–485	Madrid	BRAH_Signatura-9/31_24	1524 -	Spanish		6	1
9890	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 322–325.	Madrid	BRAH_Signatura-9/31_21	1524 -	Spanish		8	1
9884	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 170–173.	Madrid	BRAH_Signatura-9/31_15	1424 -	Spanish		8	1
9881	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 139–140.	Madrid	BRAH_Signatura-9/31_12	1424 -	Spanish		4	1
9872	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 65–68.	Madrid	BRAH_Signatura-9/31_3	-	Spanish		8	1
9871	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 61–64.	Madrid	BRAH_Signatura-9/31_2	-	Spanish		8	1
9870	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 4.	Madrid	BRAH_Signatura-9/31_1	-	Spanish	Spanish	2	1
9848	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/30, f. 284.	Madrid	BRAH_Signatura-9/30_5	-	Spanish	Spanish	2	1
9847	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/30, f. 185–189.	Madrid	BRAH_Signatura-9/30_4	-	Spanish		8	1
9845	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/30, f. 104.	Madrid	BRAH_Signatura-9/30_2	-	Spanish	Spanish	2	1
9844	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/30, f. 34–37.	Madrid	BRAH_Signatura-9/30_1	1524 -	Spanish		10	1
9841	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/29, f. 289–298.	Madrid	BRAH_Signatura-9/29_9	1523 -	Spanish		28	1
9836	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/29, f. 57–60.	Madrid	BRAH_Signatura-9/29_4	-	Spanish		8	1
9834	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/29, f. 33–39.	Madrid	BRAH_Signatura-9/29_2	-	Spanish		14	1
9781	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 649–652.	Madrid	BRAH_Signatura-9/28_45	1523 -	Spanish		8	1
9768	Decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 565–568.	Madrid	BRAH_Signatura-9/28_39	1523 -	Spanish		8	1
