id	status	record_type	holder_raw	city	shelfmark_code	date_range	cleartext_lang	plaintext_lang	number_of_pages	source_page	ours_hit	bourdeau_hit	aymeloglu_hit	held_by
10181	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos,Legación en Génova y Turín, Cajón 1, leg. 22, doc. 67.	Barcelona	ACA_Diversos_Cajón_1_leg.22_doc.67.	1718 -			4	1				none
10179	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/79.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_8	1498 -	Spanish		3	1			CATALOGUE.md	aymeloglu:CATALOGUE.md
10178	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/77.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_7	1497 -		Castilian	1	1			CATALOGUE.md	aymeloglu:CATALOGUE.md
10177	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/73.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_6	1497 -			2	1			CATALOGUE.md	aymeloglu:CATALOGUE.md
10176	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/71.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_5	1497 -			3	1			CATALOGUE.md	aymeloglu:CATALOGUE.md
10175	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/66.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_4	1496 -			2	1			CATALOGUE.md	aymeloglu:CATALOGUE.md
10174	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/64.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_3	1496 -	Spanish		6	1			CATALOGUE.md	aymeloglu:CATALOGUE.md
10173	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/59.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_2	1495 -			2	1			CATALOGUE.md	aymeloglu:CATALOGUE.md
10172	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/58.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_1	1495 -			2	1			CATALOGUE.md	aymeloglu:CATALOGUE.md
10171	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Cancillería, Registro 3225, fol. 59r.	Barcelona	ACA_Cancillería_Registro_3225_1	1435 -	Spanish		1	1		maria1435[not read]	CATALOGUE.md	bourdeau:maria1435
10170	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Reserva, 12. Ca. 1420.	Barcelona	ACA_Reserva_12_1	1420 -	Spanish		1	1				none
9970	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 1563, fol. 572.	Simancas	AGS_EST_LEG_1563	1527 -	Spanish		4	1				none
9967	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 1320, fol. 35–38.	Simancas	AGS_EST_LEG_1320	1552 -	Spanish		16	1		vargas1552[already solved]		bourdeau:vargas1552
9966	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 1184, fol. 110.	Simancas	AGS_EST_LEG_1184	1537 -	Spanish		4	1		caracciolo1537[read]		bourdeau:caracciolo1537
9963	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 862, fol. 53–54.	Simancas	AGS_EST_LEG_862	1534 -	Spanish		6	1		cifuentes1534[already solved]		bourdeau:cifuentes1534
9962	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 853, fol. 91.	Simancas	AGS_EST_LEG_853_3	1531 -	Spanish		4	1		mai1531[already solved];muxetula1531[already solved]		bourdeau:mai1531
9960	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 853, fol. 85.	Simancas	AGS_EST_LEG_853_1	1531 -	Spanish		2	1		mai1531[already solved];muxetula1531[already solved]		bourdeau:mai1531
9959	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 808, fol. 184.	Simancas	AGS_EST_LEG_808	1554 -	Spanish		6	1		renard1554[already solved]		bourdeau:renard1554
9957	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 496, fols. 270–274.	Simancas	AGS_EST_LEG_496_4	1536 -	Spanish		18	1		ayala1516[already solved];charles1536[already solved];isabella1531[already solved]		bourdeau:ayala1516
9956	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 496, fols. 205–206.	Simancas	AGS_EST_LEG_496_3	1531 - 1532	Spanish		8	1		ayala1516[already solved];charles1536[already solved];isabella1531[already solved]		bourdeau:ayala1516
9955	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 496, fols. 195–196.	Simancas	AGS_EST_LEG_496_2	1531 - 1532	Spanish		6	1		ayala1516[already solved];charles1536[already solved];isabella1531[already solved]		bourdeau:ayala1516
9954	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 496, fol. 22.	Simancas	AGS_EST_LEG_496_1	1516 -	Spanish		8	1		ayala1516[already solved];charles1536[already solved];isabella1531[already solved]		bourdeau:ayala1516
