id	label	http	access_mode	holder	public_domain_note
2077	target: Marie de Medicis key (fr3789-mariedemedicis-savary-1610)	200	Authentication required	Paris ,Bibliothèque nationale de France, Français 3541, f.4-7 BnF_fr3541_f4	
9634	target: Lope Hurtado de Mendoza	200	Authentication required	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 14-16. BRAH_Signatura-9/26_2	_records_km_instructions"> Additional Information The image is not in the public domain. Publishing it is only possible with the permission of the Library. Created by: pabogi document.getElementById('ew-page-spinner').s
215	target: Barb.lat 6956 key documents (pallotto-1628)	200	Authentication required	Vatican City ,Bibliotheca Apostolica Vaticana, Barb.lat 6956 BAV_Barb.lat_6956-1	
221	target: Barb.lat 6956 letter cluster	200	Authentication required	Vatican City ,Bibliotheca Apostolica Vaticana, Barb.lat 6956 BAV_Barb.lat_6956-7	
5622	target: Nuncio Bagno / ASV-AAV Francia 104	200	Authentication required	Vatican City ,Vatican Secret Archive, i. 1025, Segretario di Stato, doss. 104 ASV_i1025_SdS_Francia_104	
8395	target: Barriere Add MS 4200	200	Authentication required	London ,British Library, Add MS 4200 Add-MS-4200_10	> Additional Information Miscellaneous state papers. Keys and ciphertext with decrypted plaintext above in English. The image is not in the public domain. Publishing it is only possible with the permission of the Library. Created by: pabogi document.getElementById('ew-page-spinner').s
8398	target: Barriere Add MS 4200	200	Authentication required	London ,British Library, Add MS 4200 Add-MS-4200_13	> Additional Information Miscellaneous state papers. Keys and ciphertext with decrypted plaintext above in English. The image is not in the public domain. Publishing it is only possible with the permission of the Library. Created by: pabogi document.getElementById('ew-page-spinner').s
3754	already-tested blocked record (Florence)	200	Authentication required	Florence ,Florence State Archives Dieci_di_Balia_Responsive_2_171	
8725	already-fetched record (intercepted-royalist-1646)	200	Authentication required	London ,British Library, Add MS 72438 f 104. BL_Add_MS_72438_104	n id="el_records_km_instructions"> No Additional Information The image is not in the public domain. Publishing it is only possible with the permission of the Library.
1601	comparison: Vienna HHStA (brief's own example)	200	Authentication required	Vienna ,Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv, Staatskanzlei Interiora, Chiffrenschlüssel, Kt. 15. Fasc. 21. f 125-137. ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_21_125-137	pan id="el_records_km_instructions"> Yes Additional Information The image is not in the public domain. Publishing it is only possible with the permission of the archive. Chiffrant with notes. Created by: lehoanna document.getEle
1212	comparison: Vienna HHStA	200	Authentication required	Vienna ,Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv, Staatskanzlei Interiora, Chiffrenschlüssel, Kt. 13. Fasc. 20. f 38-39. ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_20_38-39	Additional Information The image is not in the public domain. Publishing it is only possible with the permission of the archive. Created by: lehoanna document.getElementById('ew-page-spinner').sty
9451	comparison: BnF Francais 3621	200	Authentication required	Paris ,Bibliotheque nationale de France (BnF), Français 3621, no. 116, f. 130. BnF_Français 3621_8	itional Information Letter, with cipher and decryption, from Joachim de Jaucourt Baron de Dinteville to the Duke of Nivernois. From Langres, July 3rd 1592. The image is not in the public domain. Publishing is only possible with permission from the library. Created by: pabogi document.getElementById('ew-page-spinner').style.
9963	comparison: Simancas	200	Authentication required	Simancas ,Archivo General de Simancas, sec. Estado, leg. 862, fol. 53–54. AGS_EST_LEG_862	table> Additional Information Letter from the Count of Cifuentes to His Majesty from the year 1534. The image is not in the public domain. Publishing it is only possible with the permission of the Library. Created by: pabogi document.getElementById('ew-page-spinner').s
9960	comparison: Simancas	200	Authentication required	Simancas ,Archivo General de Simancas, sec. Estado, leg. 853, fol. 85. AGS_EST_LEG_853_1	Additional Information Letter from the ambassador in Rome, to the High Commander of León from Rome on September 12. The image is not in the public domain. Publishing it is only possible with the permission of the Library. Created by: pabogi document.getElementById('ew-page-spinner').s
9227	comparison: British Library Add MS 4136	200	Authentication required	London ,British Library, Add MS 4136 f 122-123. BL_Add_MS_4136_122	pan id="el_records_km_instructions"> Additional Information The image is not in the public domain. Publishing it is only possible with the permission of the Library. Created by: lehoanna document.getElementById('ew-page-spinner')
8483	comparison: British Library Harley MS 287	200	Authentication required	London ,British Library, Harley MS 287 f 70v. BL_Harley_MS_287_070v	n id="el_records_km_instructions"> No Additional Information The image is not in the public domain. Publishing it is only possible with the permission of the Library.
233	comparison: Barb.lat 6956	200	Authentication required	Vatican City ,Bibliotheca Apostolica Vaticana, Barb.lat 6956 BAV_Barb.lat_6956-19	
301	comparison: Barb.lat 6960	200	Authentication required	Vatican City ,Bibliotheca Apostolica Vaticana, Barb.lat 6960 BAV_Barb.lat_6960-16	
10	comparison: Vatican Secret Archive i.1025	200	Authentication required	Vatican City ,Vatican Secret Archive, i. 1025, Segretario di Stato, doss. 3 ASV_i1025_SdS_France_3-5	
149	comparison: Vatican Secret Archive i.1025	200	Authentication required	Vatican City ,Vatican Secret Archive, i. 1025, Segretario di Stato, doss. 364C ASV_i1025_SdS_Spain_364C-28	
9225	comparison: British Library Add MS 4136	200	Authentication required	London ,British Library, Add MS 4136 f 118-120. BL_Add_MS_4136_118	pan id="el_records_km_instructions"> Additional Information The image is not in the public domain. Publishing it is only possible with the permission of the Library. Created by: lehoanna document.getElementById('ew-page-spinner')
