id	shelfmark	holder	date_range	cleartext_lang	plaintext_lang	npages_census	status	n_documents	document_tags	uploader_comments	bibliography
3758	Dieci_di_Balia_Responsive_7_059	Florence ,Florence State Archives	1401 - 1500	Latin	-	-	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3759	Dieci_di_Balia_Responsive_7_061	Florence ,Florence State Archives	1401 - 1500	Latin	-	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3760	Dieci_di_Balia_Responsive_7_066	Florence ,Florence State Archives	1401 - 1500	-	-	-	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3761	Dieci_di_Balia_Responsive_7_102	Florence ,Florence State Archives	1401 - 1500	Latin	Latin	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3762	Dieci_di_Balia_Responsive_7_070	Florence ,Florence State Archives	1401 - 1500	Latin	-	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3763	Dieci_di_Balia_Responsive_7_071	Florence ,Florence State Archives	1401 - 1500	Latin	-	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3764	Dieci_di_Balia_Responsive 8_082	Florence ,Florence State Archives	1401 - 1500	Latin	-	2	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3765	Dieci_di_Balia_Responsive 8_111	Florence ,Florence State Archives	1401 - 1500	Latin	-	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3766	Dieci_di_Balia_Responsive_8_127	Florence ,Florence State Archives	1401 - 1500	Latin	-	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3767	Dieci_di_Balia_Responsive_8_128	Florence ,Florence State Archives	1401 - 1500	-	-	2	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3768	Dieci_di_Balia_Responsive_8_129	Florence ,Florence State Archives	1401 - 1500	Latin	-	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3769	Dieci_di_Balia_Responsive_8_130	Florence ,Florence State Archives	1401 - 1500	Latin	-	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3770	Dieci_di_Balia_Responsive_8_131	Florence ,Florence State Archives	1401 - 1500	Latin	-	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3771	Dieci_di_Balia_Responsive_9_172	Florence ,Florence State Archives	1401 - 1500	Latin	-	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3772	Dieci_di_Balia_Responsive_9_173	Florence ,Florence State Archives	1401 - 1500	Latin	-	2	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3773	Dieci_di_Balia_Responsive_9_174	Florence ,Florence State Archives	1401 - 1500	Latin	-	2	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3774	Dieci_di_Balia_Responsive_9_181	Florence ,Florence State Archives	1401 - 1500	Latin	-	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3775	Dieci_di_Balia_Responsive_9_182	Florence ,Florence State Archives	1401 - 1500	Latin	Latin	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3776	Dieci_di_Balia_Responsive_9_183	Florence ,Florence State Archives	1401 - 1500	Latin	-	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3777	Dieci_di_Balia_Responsive_9_184	Florence ,Florence State Archives	1401 - 1500	Latin	Latin	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3778	Dieci_di_Balia_Responsive_9_185	Florence ,Florence State Archives	1401 - 1500	Latin	-	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3779	Dieci_di_Balia_Responsive_9_186	Florence ,Florence State Archives	1401 - 1500	Latin	Latin	2	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3780	Dieci_di_Balia_Responsive_9_187	Florence ,Florence State Archives	1401 - 1500	Latin	-	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3781	Dieci_di_Balia_Responsive_9_188	Florence ,Florence State Archives	1401 - 1500	Latin	-	2	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3782	Dieci_di_Balia_Responsive_9_189	Florence ,Florence State Archives	1401 - 1500	Latin	Latin	2	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3783	Dieci_di_Balia_Responsive_9_190	Florence ,Florence State Archives	1401 - 1500	Latin	Latin	2	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
3784	Dieci_di_Balia_Responsive_9_191	Florence ,Florence State Archives	1401 - 1500	Latin	Latin	1	Non-decrypted	0	none found	none found	none per-record (site-wide DECRYPT project citations only)
