id	status	record_type	holder_raw	city	shelfmark_code	date_range	cleartext_lang	plaintext_lang	number_of_pages	source_page
10181	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos,Legación en Génova y Turín, Cajón 1, leg. 22, doc. 67.	Barcelona	ACA_Diversos_Cajón_1_leg.22_doc.67.	1718 -			4	1
10179	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/79.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_8	1498 -	Spanish		3	1
10178	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/77.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_7	1497 -		Castilian	1	1
10177	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/73.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_6	1497 -			2	1
10176	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/71.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_5	1497 -			3	1
10175	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/66.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_4	1496 -			2	1
10174	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/64.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_3	1496 -	Spanish		6	1
10173	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/59.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_2	1495 -			2	1
10172	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Diversos, Sástago, 193 (Lío B), nº 79/58.	Barcelona	ACA_Diversos_Sástago_193(Lío B)_1	1495 -			2	1
10171	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Cancillería, Registro 3225, fol. 59r.	Barcelona	ACA_Cancillería_Registro_3225_1	1435 -	Spanish		1	1
10170	Non-decrypted	Cipher	Barcelona ,Archivo de la Corona de Aragón, Reserva, 12. Ca. 1420.	Barcelona	ACA_Reserva_12_1	1420 -	Spanish		1	1
9970	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 1563, fol. 572.	Simancas	AGS_EST_LEG_1563	1527 -	Spanish		4	1
9967	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 1320, fol. 35–38.	Simancas	AGS_EST_LEG_1320	1552 -	Spanish		16	1
9966	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 1184, fol. 110.	Simancas	AGS_EST_LEG_1184	1537 -	Spanish		4	1
9963	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 862, fol. 53–54.	Simancas	AGS_EST_LEG_862	1534 -	Spanish		6	1
9962	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 853, fol. 91.	Simancas	AGS_EST_LEG_853_3	1531 -	Spanish		4	1
9960	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 853, fol. 85.	Simancas	AGS_EST_LEG_853_1	1531 -	Spanish		2	1
9959	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 808, fol. 184.	Simancas	AGS_EST_LEG_808	1554 -	Spanish		6	1
9957	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 496, fols. 270–274.	Simancas	AGS_EST_LEG_496_4	1536 -	Spanish		18	1
9956	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 496, fols. 205–206.	Simancas	AGS_EST_LEG_496_3	1531 - 1532	Spanish		8	1
9955	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 496, fols. 195–196.	Simancas	AGS_EST_LEG_496_2	1531 - 1532	Spanish		6	1
9954	Non-decrypted	Cipher	Simancas ,Archivo General de Simancas, sec. Estado, leg. 496, fol. 22.	Simancas	AGS_EST_LEG_496_1	1516 -	Spanish		8	1
9905	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 383–388.	Madrid	BRAH_Signatura-9/34_10	-	Spanish		12	1
9904	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 379–382.	Madrid	BRAH_Signatura-9/34_9	-			8	1
9903	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 351–352.	Madrid	BRAH_Signatura-9/34_8	-			4	1
9902	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 313–315.	Madrid	BRAH_Signatura-9/34_7	1525 -	Spanish		6	1
9901	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 300–303.	Madrid	BRAH_Signatura-9/34_6	1525 -	Spanish		8	1
