# tools/print_check.py, 26 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
Celsissimus Princeps	ia-global	837 item(s)	jbc.bj.uj.edu.pl.NDIGSTDR031441 (Remedia Juris Contra violentiam fatorum : Ad insta); geschichtsschre00baumrich (Der bayerische Geschichtsschreiber Karl Meichelbec); schematismusvene1844cath (Schematismus venerabilis cleri Graeci ritus cathol); jbc.bj.uj.edu.pl.NDIGSTDR020399 (Thronus Agno Szaniaviano : Celsissimi [...] D. Con); urkundenregesten0000hoff (Urkundenregesten zur Geschichte des Juliusspitals )	https://be-api.us.archive.org/fts/v1/search?q=%22Celsissimus%20Princeps%22
conscientiam procedimus	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22conscientiam%20procedimus%22
christianam procedimus	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22christianam%20procedimus%22
afflicta patria	ia-global	96 item(s)	jbc.bj.uj.edu.pl.NDIGSTDR043766 (Campvs Trabeati Honoris Ferax, [...] D. Alberto Co); jbc.bj.uj.edu.pl.NDIGSTDR036174 (Oratio fvnebris, quam in supremo [et] luctuoso off); bim_eighteenth-century_the-bard-a-pindaric-poe_gray-thomas_1775 (The bard. A pindaric poem, by Mr. Gray. Translated); jbc.bj.uj.edu.pl.NDIGSTDR046971 (Sago-togata Gentilitii Czartorysciorum Cataphracti); djooitragedia00aguigoog (D. João I: Tragedia)	https://be-api.us.archive.org/fts/v1/search?q=%22afflicta%20patria%22
defunctum principem	ia-global	64 item(s)	detacitifontibu00froigoog (De Taciti fontibus in libro I Annalium: Dissertati); AusfeldDeLibroPeriTou (De libro Περί του πάντα σπουδαίον είναι ελεύθερον ); delibroperitoup00ausfgoog (De libro [Peri tou Panta spoudaion einai eleuthero); bub_gb_Ihk6AAAAcAAJ (Iacobus Micyllus Argentoratensis, philologus et Po); okirattrstrassb01szilgoog (Okirattár Strassburg Pál 1631-1633-iki követsége é)	https://be-api.us.archive.org/fts/v1/search?q=%22defunctum%20principem%22
vindictam sumat	ia-global	371 item(s)	4769562 (Bemerkungen zu Valerius Flaccus [microform]); benjonsonsconver00jonsuoft (Ben Jonson's conversations with William Drummond o); bwb_O7-AKY-411 (Ben Jonson's conversations with William Drummond o); benjonsonsconver0000rfpa (Ben Jonson's Conversations); benjonsonsconver0000drum (Ben Jonson's conversations with William Drummond o)	https://be-api.us.archive.org/fts/v1/search?q=%22vindictam%20sumat%22
Pergenbeio	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22Pergenbeio%22
Burgundus	ia-global	10404 item(s)	laurentipignonca0000unse (Laurenti Pignon Catalogi et Chronica); bub_gb_5ypUNraS9B4C (Rerum francicarum decades quatuor, in quibus histo); f_2861000 (f_2861000); simonescu-dan-codex-burgundus (Simonescu, Dan Codex Burgundus); fortunesfavourit0000coll (Fortune's favourites)	https://be-api.us.archive.org/fts/v1/search?q=%22Burgundus%22
Serbanum	ia-global	40 item(s)	dimitrie-cantemir-divanul-editie-critica-ocr-1969_202005 (Dimitrie Cantemir books); cantemir-dimitrie-carti (Cantemir, Dimitrie- Carti); opereleprincipeluidemetriucantemirui (Operele Principelui Demetriu Cantemir ocr); thehistoryofthegrowthanddecaydcantemir (colesctia Dimitrie Cantemir); opereleprincipeluidemetriucantemirui (Operele Principelui Demetriu Cantemir ocr)	https://be-api.us.archive.org/fts/v1/search?q=%22Serbanum%22
Sityka	ia-global	33 item(s)	sim_air-conditioning-heating-refrigeration-news_1985-09-16_166_3 (The Air Conditioning, Heating & Refrigeration News); per_underground-newspaper_lincoln-gazette_1975-04-09_3_21 (Lincoln Gazette 1975-04-09: Vol 3 Iss 21); MichaBobrzyskiDziejePolskiWZarysieTom1 (Michał Bobrzyński Dzieje Polski W Zarysie Tom 1); bc.wbp.lodz.pl.IlustrowanaRepublika1925Nr043_22800 (Ilustrowana Republika. 1925-09-10 R. 1 no 43); apurinadicionario (Apurina Dicionario)	https://be-api.us.archive.org/fts/v1/search?q=%22Sityka%22
