plain_line	plain_raw	cipher_line	cipher_raw
65:1	Literis	65:1	P. S. In ? 203 is Scripta grato animo tam
65:2	Celsissimus Princeps	65:2	42 14 49 21 46 21 21 46 50 12 21. 25 23 46 51 =
65:3	qui	65:3	42 14 25 21, / 24 uij Rissimam Dnaonem
65:4	ego	65:4	debita veneratur salutatione quam 14 41 13,
65:5	alii convenit	65:5	et 17 49 46 46, quibus 42 13 51 12 e 51 46 20,
65:6	amplexi	65:6	17 m 25 49 e 19 46 sumus. Et sicut hactenus
65:7	synce[ra] procepimus	65:7	21 y 51 42 e 23 e in omnibus 25 23 13 42 e.=
65:8	rectam	65:8	21 46 50 us; ita et nunc secundum 23 14 =
65:9	Christianam	65:9	42 20 17 50 42 44 23 46 21 20 46 17 51 17 50
65:10	conscientiam procedimus	65:10	42 13 51 21 42 46 en 20 46 17 50, 25 23 13 42 e:
65:11	et procedemus	65:11	43 46 50 12 21 et 25 23 13 42 14 43 14 ms.
65:12	Christiani	65:12	quamvis aliqui 42 44 23 46 21 20 46 17 nj.
65:13	gerent et nobiscum	65:13	non ita se 41 14 23 17 51 20 et 51 13 29 46:
65:14	procedant	65:14	21 42 u 50 25 23 13 42 14 43 ant, uti appro.
65:15	miserant	65:15	50 46 21 14 23 17 51 20. et multis modis
65:16	Nos sollicitaverant	65:16	51 13 21 21 13 49 46 42 46 20 17 12 14 rant.
65:17	mus	65:17	Sed hoc remitti 50 12 21 ad divinam Justi-
65:18		65:18	tiam, et providentiam, quae omnia scit et
65:19	Ch.t audiret	65:19	videt. 13 44: Dne mi Rissime Pater si 17 12 43 46:
65:20		65:20	[20 et, struck] quanta et qualia, ac quibus modis
66:1	Detractor	66:1	impostor et 43 14 20 23 17 42 20 13 23 ille
66:2	Burgundus	66:2	et fine confcientia 29 12 23. 41 12 51 43 us,
66:3	antidius Danod	66:3	17 51 20 46 42 46 12 21 43 12 51 13 43, im-
66:4		66:4	importunitate et garrulitate, in mundo ne=
66:5		66:5	mini fecundus, cum addicto fuo focio, 25 er=
66:6	perfido ac proditore	66:6	40 46 43 13 ac 25 23 13 42 46 20 13 23 14.
66:7	nobis et isti	66:7	+ Datis fub 202. 51 13 29 46 21 et 46 21=
66:8	patria	66:8	,, 20 46 afflicta 25 17 20 23 46 15 caufuit.
66:9	pia memorie	66:9	ac illum 25 46 15, m 14 m 13 23 46 15 de=
66:10	Defunctum Principem	66:10	40 12 51 42 20 21 m, 25 23 46 42 46=
66:11	Serbanum reduxit	66:11	25 14 m, 21 14 23 29 17 51 12 m 21 14=
66:12		66:12	43 12 19 46 20. quorum mendacijs et 43 14=
66:13	deceptionibus	66:13	42 14 25 20 46 13 51 46 29 us pulchris ver=
66:14	obuolutis credens	66:14	bis, 13 29 12 13 49 12 his 42 23 14 43 eas,
66:15	et confilia	66:15	et 42 13 51 21 46 49 46 17 omnium aliorum.
66:16	respiciens nos	66:16	23 14 21 25 17 eas, in grandes 51 13 21,
66:17	miferam Patriam	66:17	et istam 50 46 21 14 23 17 50 25 17 20 23 46=
66:18	intricauit difficul=	66:18	,, 17 50, 46 51 20 23 46 42 17 ?it 43 46 4?:
66:19	=tates intelligenchis?	66:19	40 46 42 12 49 20 17 tes. O si 46 51 20 e49.
66:20		66:20	,, 49 46 41 evehs?
67:1	promissiones	67:1	49 46 41 ereti 25 23 13 50 46 21 21 46 13 nos,
67:2	aula defuncto	67:2	quas ab illa 17 12 49 17 43 14 40 12 51 42
67:3	Principi	67:3	25 23 46 51 42 46 25 46 adducebant, et —
67:4	hinc	67:4	44 46 51 42 ducebant, quod nunc propter
67:5	delationes	67:5	illorum iniquas 43 14 49 17 20 46 13 nos,
67:6	falsa comperta	67:6	plura 40 17 49 21 17 sunt 42 13 50 25 er:
67:7		67:7	20 17. profecto quddam ad risum move=
67:8		67:8	vent, quddam admirationem causarent,
67:9		67:9	quddam vero, pro pudore, silentio obvol=
67:10		67:10	vi deberent. Deus instissimus secun=
67:11		67:11	dum opera et conscientiam illorum, de
67:12	vindictam sumat	67:12	12 46 51 43 46 42 20 17 50, 21 12=
67:13		67:13	50 17 20.
67:14	Pergenbeio	67:14	De 41 14 41 14 51 29 46 13 fiat, quo per
67:15		67:15	fraudes unius sui falsi Amici, ab ali=
67:16	occisus	67:16	quo iam tempore 13 42 42 46 21 12 21.
67:17	caput Honorarie	67:17	eiusq' 42 17 25 12 20, in rem 44 13 51 13=
67:18		67:18	20 17 23 46 46 missum. Sed istius 41 14=
67:19	Pergenbeii Sityk	67:19	41 14 n? 29 14 46 46 Socius, nomine 41 46=
67:20	oriente	67:20	20 y 48, plus quam ille de facto, in 13 23 46=
67:21	operatur	67:21	en 20 14, 13 25 e? 23 a? 20 17 23.
