leaf	line	pos	sign	conf
65	1	1	w:P.	high
65	1	2	w:S.	high
65	1	3	w:In	high
65	1	4	w:?	low
65	1	5	w:203	low
65	1	6	w:is	high
65	1	7	w:Scripta	high
65	1	8	w:grato	high
65	1	9	w:animo	high
65	1	10	w:tam	high
65	2	1	42	high
65	2	2	14	high
65	2	3	49	high
65	2	4	21	high
65	2	5	46	high
65	2	6	21	high
65	2	7	21	high
65	2	8	46	high
65	2	9	50	high
65	2	10	12	high
65	2	11	21	high
65	2	12	25	high
65	2	13	23	high
65	2	14	46	high
65	2	15	51	high
65	2	16	w:=	high
65	3	1	42	high
65	3	2	14	high
65	3	3	25	high
65	3	4	21	high
65	3	5	w:/	high
65	3	6	24	high
65	3	7	w:uij	low
65	3	8	w:Rissimam	low
65	3	9	w:Dnaonem	low
65	4	1	w:debita	high
65	4	2	w:veneratur	high
65	4	3	w:salutatione	high
65	4	4	w:quam	high
65	4	5	14	medium
65	4	6	41	medium
65	4	7	13	medium
65	5	1	w:et	high
65	5	2	17	high
65	5	3	49	high
65	5	4	46	high
65	5	5	46	high
65	5	6	w:quibus	high
65	5	7	42	high
65	5	8	13	high
65	5	9	51	high
65	5	10	12	high
65	5	11	w:e	low
65	5	12	51	high
65	5	13	46	high
65	5	14	20	high
65	6	1	17	high
65	6	2	w:m	low
65	6	3	25	high
65	6	4	49	high
65	6	5	w:e	low
65	6	6	19	high
65	6	7	46	high
65	6	8	w:sumus.	high
65	6	9	w:Et	high
65	6	10	w:sicut	high
65	6	11	w:hactenus	high
65	7	1	21	medium
65	7	2	w:y	low
65	7	3	51	high
65	7	4	42	high
65	7	5	w:e	low
65	7	6	23	high
65	7	7	w:e	low
65	7	8	w:in	high
65	7	9	w:omnibus	high
65	7	10	25	high
65	7	11	23	high
65	7	12	13	high
65	7	13	42	high
65	7	14	w:e.	low
65	7	15	w:=	high
65	8	1	21	high
65	8	2	46	high
65	8	3	50	high
65	8	4	w:us;	low
65	8	5	w:ita	high
65	8	6	w:et	high
65	8	7	w:nunc	high
65	8	8	w:secundum	high
65	8	9	23	high
65	8	10	14	high
65	8	11	w:=	high
65	9	1	42	high
65	9	2	20	high
65	9	3	17	high
65	9	4	50	high
65	9	5	42	high
65	9	6	44	high
65	9	7	23	high
65	9	8	46	high
65	9	9	21	high
65	9	10	20	high
65	9	11	46	high
65	9	12	17	high
65	9	13	51	high
65	9	14	17	high
65	9	15	50	high
65	10	1	42	high
65	10	2	13	high
65	10	3	51	high
65	10	4	21	high
65	10	5	42	high
65	10	6	46	high
65	10	7	w:en	low
65	10	8	20	high
65	10	9	46	high
65	10	10	17	high
65	10	11	50	high
65	10	12	25	high
65	10	13	23	high
65	10	14	13	high
65	10	15	42	high
65	10	16	w:e:	low
65	11	1	43	high
65	11	2	46	high
65	11	3	50	high
65	11	4	12	high
65	11	5	21	high
65	11	6	w:et	high
65	11	7	25	high
65	11	8	23	high
65	11	9	13	high
65	11	10	42	high
65	11	11	14	high
65	11	12	43	high
65	11	13	14	high
65	11	14	w:ms.	low
65	12	1	w:quamvis	high
65	12	2	w:aliqui	high
65	12	3	42	high
65	12	4	44	high
65	12	5	23	high
65	12	6	46	high
65	12	7	21	high
65	12	8	20	high
65	12	9	46	high
65	12	10	17	high
65	12	11	w:nj.	low
65	13	1	w:non	high
65	13	2	w:ita	high
65	13	3	w:se	high
65	13	4	41	high
65	13	5	14	high
65	13	6	23	high
65	13	7	17	high
65	13	8	51	high
65	13	9	20	high
65	13	10	w:et	high
65	13	11	51	high
65	13	12	13	high
65	13	13	29	high
65	13	14	46	high
65	14	1	21	high
65	14	2	42	high
65	14	3	w:u	low
65	14	4	50	high
65	14	5	25	high
65	14	6	23	high
65	14	7	13	high
65	14	8	42	high
65	14	9	14	high
65	14	10	43	high
65	14	11	w:ant,	low
65	14	12	w:uti	high
65	14	13	w:appro.	low
65	15	1	50	high
65	15	2	46	high
65	15	3	21	high
65	15	4	14	high
65	15	5	23	high
65	15	6	17	high
65	15	7	51	high
65	15	8	20	high
65	15	9	w:et	high
65	15	10	w:multis	high
65	15	11	w:modis	high
65	16	1	51	high
65	16	2	13	high
65	16	3	21	high
65	16	4	21	high
65	16	5	13	high
65	16	6	49	high
65	16	7	46	high
65	16	8	42	high
65	16	9	46	high
65	16	10	20	high
65	16	11	17	high
65	16	12	12	high
65	16	13	14	high
65	16	14	w:rant.	medium
65	17	1	w:Sed	high
65	17	2	w:hoc	high
65	17	3	w:remitti	high
65	17	4	50	high
65	17	5	12	high
65	17	6	21	high
65	17	7	w:ad	high
65	17	8	w:divinam	high
65	17	9	w:Justi-	high
65	18	1	w:tiam,	high
65	18	2	w:et	high
65	18	3	w:providentiam,	high
65	18	4	w:quae	high
65	18	5	w:omnia	high
65	18	6	w:scit	high
65	18	7	w:et	high
65	19	1	w:videt.	high
65	19	2	13	low
65	19	3	44	medium
65	19	4	w:Dne	high
65	19	5	w:mi	high
65	19	6	w:Rissime	medium
