leaf	line	pos	sign	value	grade
65	2	1	42	c	C
65	2	2	14	e	C
65	2	3	49	l	C
65	2	4	21	s	C
65	2	5	46	i	C
65	2	6	21	s	C
65	2	7	21	s	C
65	2	8	46	i	C
65	2	9	50	m	C
65	2	10	12	u	C
65	2	11	21	s	C
65	2	12	25	p	C
65	2	13	23	r	C
65	2	14	46	i	C
65	2	15	51	n	C
65	3	1	42	c	C
65	3	2	14	e	C
65	3	3	25	q	M
65	3	4	21	u	M
65	3	6	24	i	C
65	4	5	14	e	C
65	4	6	41	g	C
65	4	7	13	o	C
65	5	2	17	a	C
65	5	3	49	l	C
65	5	4	46	i	C
65	5	5	46	i	C
65	5	7	42	c	C
65	5	8	13	o	C
65	5	9	51	n	C
65	5	10	12	v	M
65	5	12	51	n	C
65	5	13	46	i	C
65	5	14	20	t	C
65	6	1	17	a	C
65	6	3	25	p	C
65	6	4	49	l	C
65	6	6	19	x	C
65	6	7	46	i	C
65	7	1	21	s	C
65	7	3	51	n	C
65	7	4	42	c	C
65	7	6	23	r	C
65	7	10	25	p	C
65	7	11	23	r	C
65	7	12	13	o	C
65	7	13	42	c	C
65	8	1	21	e	M
65	8	2	46	c	M
65	8	3	50	t	M
65	8	9	23	a	M
65	8	10	14	m	M
65	9	1	42	c	C
65	9	2	20	t	C
65	9	3	17	a	C
65	9	4	50	m	C
65	9	5	42	c	C
65	9	6	44	h	C
65	9	7	23	r	C
65	9	8	46	i	C
65	9	9	21	s	C
65	9	10	20	t	C
65	9	11	46	i	C
65	9	12	17	a	C
65	9	13	51	n	C
65	9	14	17	a	C
65	9	15	50	m	C
65	10	1	42	c	C
65	10	2	13	o	C
65	10	3	51	n	C
65	10	4	21	s	C
65	10	5	42	c	C
65	10	6	46	i	C
65	10	8	20	t	C
65	10	9	46	i	C
65	10	10	17	a	C
65	10	11	50	m	C
65	10	12	25	p	C
65	10	13	23	r	C
65	10	14	13	o	C
65	10	15	42	c	C
65	11	1	43	e	M
65	11	2	46	i	C
65	11	3	50	t	M
65	11	4	12	u	C
65	11	5	21	s	C
65	11	7	25	p	C
65	11	8	23	r	C
65	11	9	13	o	C
65	11	10	42	c	C
65	11	11	14	e	C
65	11	12	43	d	C
65	11	13	14	e	C
65	12	3	42	c	C
65	12	4	44	h	C
65	12	5	23	r	C
65	12	6	46	i	C
65	12	7	21	s	C
65	12	8	20	t	C
65	12	9	46	i	C
65	12	10	17	a	C
65	13	4	41	g	C
65	13	5	14	e	C
65	13	6	23	r	C
65	13	7	17	e	M
65	13	8	51	n	C
65	13	9	20	t	C
65	13	11	51	n	C
65	13	12	13	o	C
65	13	13	29	b	C
65	13	14	46	i	C
65	14	1	21	s	C
65	14	2	42	c	C
65	14	4	50	m	C
65	14	5	25	p	C
65	14	6	23	r	C
65	14	7	13	o	C
65	14	8	42	c	C
65	14	9	14	e	C
65	14	10	43	d	C
65	15	1	50	m	C
65	15	2	46	i	C
65	15	3	21	s	C
65	15	4	14	e	C
65	15	5	23	r	C
65	15	6	17	a	C
65	15	7	51	n	C
65	15	8	20	t	C
65	16	1	51	n	C
65	16	2	13	o	C
65	16	3	21	s	C
65	16	4	21	s	C
65	16	5	13	o	C
65	16	6	49	l	C
65	16	7	46	i	C
65	16	8	42	c	C
65	16	9	46	i	C
65	16	10	20	t	C
65	16	11	17	a	C
65	16	12	12	v	M
65	16	13	14	e	C
65	17	4	50	m	C
65	17	5	12	u	C
65	17	6	21	s	C
65	19	2	13	c	M
65	19	3	44	h	C
65	19	9	17	a	C
65	19	10	12	u	C
65	19	11	43	d	C
65	19	12	46	i	C
66	1	3	43	d	C
66	1	4	14	e	C
66	1	5	20	t	C
66	1	6	23	r	C
66	1	7	17	a	C
66	1	8	42	c	C
66	1	9	20	t	C
66	1	10	13	o	C
66	1	11	23	r	C
66	2	4	29	b	C
66	2	5	12	u	C
66	2	6	23	r	C
66	2	7	41	g	C
66	2	8	12	u	C
66	2	9	51	n	C
66	2	10	43	d	C
66	3	1	17	a	C
66	3	2	51	n	C
66	3	3	20	t	C
66	3	4	46	i	C
66	3	5	42	d	M
66	3	6	46	i	C
66	3	7	12	u	C
66	3	8	21	s	C
66	3	9	43	d	C
66	3	10	12	a	M
66	3	11	51	n	C
66	3	12	13	o	C
66	3	13	43	d	C
66	5	7	25	p	C
66	6	1	40	f	C
66	6	2	46	i	C
66	6	3	43	d	C
66	6	4	13	o	C
66	6	6	25	p	C
66	6	7	23	r	C
66	6	8	13	o	C
66	6	9	42	d	M
66	6	10	46	i	C
66	6	11	20	t	C
66	6	12	13	o	C
66	6	13	23	r	C
66	6	14	14	e	C
66	7	5	51	n	C
66	7	6	13	o	C
66	7	7	29	b	C
66	7	8	46	i	C
66	7	9	21	s	C
66	7	11	46	e	M
66	7	12	21	s	C
66	8	2	20	t	C
66	8	3	46	i	C
66	8	5	25	p	C
66	8	6	17	a	C
66	8	7	20	t	C
66	8	8	23	r	C
66	8	9	46	i	C
66	8	10	15	a	C
66	9	3	25	p	C
66	9	4	46	i	C
66	9	5	15	a	C
66	9	7	14	e	C
66	9	9	13	o	C
66	9	10	23	r	C
66	9	11	46	i	C
66	9	12	15	e	M
66	10	1	40	f	C
66	10	2	12	u	C
66	10	3	51	n	C
66	10	4	42	c	C
66	10	5	20	t	C
66	10	6	21	m	M
66	10	8	25	p	C
66	10	9	23	r	C
66	10	10	46	i	C
66	10	11	42	c	C
66	10	12	46	i	C
66	11	1	25	p	C
66	11	2	14	e	C
66	11	4	21	s	C
66	11	5	14	e	C
66	11	6	23	r	C
66	11	7	29	b	C
66	11	8	17	a	C
66	11	9	51	n	C
66	11	10	12	u	C
66	11	12	21	m	M
66	11	13	14	e	C
66	12	1	43	d	C
66	12	2	12	u	C
66	12	3	19	x	C
66	12	4	46	i	C
66	12	5	20	t	C
66	12	9	43	d	C
66	12	10	14	e	C
66	13	1	42	c	C
66	13	2	14	e	C
66	13	3	25	p	C
66	13	4	20	t	C
66	13	5	46	i	C
66	13	6	13	o	C
66	13	7	51	n	C
66	13	8	46	i	C
66	13	9	29	b	C
66	14	2	13	o	C
66	14	3	29	b	C
66	14	4	12	u	C
66	14	5	13	o	C
66	14	6	49	l	C
66	14	7	12	u	C
66	14	9	42	c	C
66	14	10	23	r	C
66	14	11	14	e	C
66	14	12	43	d	C
66	15	2	42	c	C
66	15	3	13	o	C
66	15	4	51	n	C
66	15	5	21	f	M
66	15	6	46	i	C
66	15	7	49	l	C
66	15	8	46	i	C
