folio	line	pos	value	grade	reason
66	3	5	d	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	6	9	d	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	19	3	t	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
65	8	10	m	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
67	21	3	p	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	19	5	s	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
65	3	4	u	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
65	8	1	e	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	10	6	m	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	11	12	m	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	15	5	f	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	17	5	f	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
65	8	2	c	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	7	11	e	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	19	2	a	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	19	11	e	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
65	8	3	t	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
65	11	3	t	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
65	5	10	v	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
65	16	12	v	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	3	10	a	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	19	4	e	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
67	12	1	v	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
65	3	3	q	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
67	21	5	r	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
65	8	9	a	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
67	20	11	e	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
67	21	7	a	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	19	12	l	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
67	14	2	p	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
67	19	10	s	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
65	19	2	c	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
67	20	10	i	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
67	21	4	e	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
65	13	7	e	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	16	5	s	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	19	7	n	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
67	21	10	u	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	19	6	i	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	19	13	l	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
67	20	1	o	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
67	21	2	o	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
65	11	1	e	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	18	12	u	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	19	1	t	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
66	9	12	e	M	occurrence's own aligned letter disagrees with code's pooled-mode letter
