code	n	mode_letter	mode_count	rate	all_letters
12	19	u	14	0.737	u,v,v,u,u,u,u,u,a,u,u,u,u,e,u,u,v,u,u
13	32	o	29	0.906	o,o,o,o,o,o,o,o,o,o,c,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,i,e
14	24	e	22	0.917	e,e,m,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,p
15	3	a	2	0.667	a,a,e
17	28	a	24	0.857	a,a,a,a,a,a,e,a,a,a,a,a,a,a,a,s,a,a,a,n,a,a,a,a,a,a,a,u
20	24	t	20	0.833	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,i,l,t,t,t,o,o,t
21	29	s	23	0.793	s,s,s,s,u,s,e,s,s,s,s,s,s,s,s,s,m,s,m,f,s,s,f,s,s,s,s,s,s
23	30	r	27	0.900	r,r,r,a,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,e,a,r
25	20	p	18	0.900	p,q,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,r
29	8	b	8	1.000	b,b,b,b,b,b,b,b
40	5	f	4	0.800	f,f,t,f,f
41	7	g	5	0.714	g,g,g,p,g,g,s
42	30	c	27	0.900	c,c,c,c,c,c,c,c,c,c,c,c,c,d,d,c,c,c,c,c,c,t,c,c,c,c,c,c,c,c
43	14	d	12	0.857	e,d,d,d,d,d,d,d,d,d,u,d,d,d
44	5	h	5	1.000	h,h,h,h,h
46	52	i	48	0.923	i,i,i,i,i,i,i,c,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,e,i,i,i,i,i,i,i,i,i,i,i,i,a,e,i,i,i,i,i,i,i,i,i,i,i,i,i
49	10	l	9	0.900	l,l,l,l,l,l,s,l,l,l
50	12	m	10	0.833	m,t,m,m,t,m,m,m,m,m,m,m
51	26	n	25	0.962	n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,l,n,n,n,n,n,n
