line	pos	sign	value	grade
p1L01	1	ps	n	C
p1L01	2	f	e	C
p1L01	3	33	m	C
p1L01	4	m	l	M
p1L01	5	ob	i	C
p1L01	6	xr	c	C
p1L01	7	xb	h	M
p1L01	8	th	d	C
p1L01	9	f	e	C
p1L01	10	oo	n	C
p1L02	1	aab	h	C
p1L02	2	r	e	C
p1L02	3	34	u	C
p1L02	4	88x	r	C
p1L02	5	x	a	C
p1L02	6	tau	d	C
p1L02	7	zz	t	C
p1L02	8	77	z	C
p1L02	9	34	u	C
p1L02	10	60	u	C
p1L02	11	ob	i	C
p1L02	12	aaa	s	C
p1L02	13	xr	c	C
p1L02	14	aab	h	C
p1L02	15	f	e	C
p1L02	16	or	n	C
p1L02	17	th	d	C
p1L03	1	v	?	U
p1L03	2	ps	n	C
p1L03	3	cc	n	C
p1L03	4	f	e	C
p1L03	5	33	m	C
p1L03	6	ii	a	C
p1L03	7	88x	r	C
p1L03	8	xr	c	C
p1L03	9	dd	k	C
p1L03	10	34	u	C
p1L03	11	ps	n	C
p1L03	12	xm	d	C
p1L03	13	6	t	C
p1L03	14	m	l	M
p1L03	15	vt	o	C
p1L03	16	6	t	C
p1L03	17	101	h	C
p1L03	18	88	r	C
p1L04	1	rp	i	C
p1L04	2	cc	n	C
p1L04	3	rr	g	C
p1L04	4	f	e	C
p1L04	5	ps	n	C
p1L04	7	lx	?	U
p1L04	8	87	m	C
p1L04	9	cro	?	U
p1L04	10	Ib	o	C
p1L04	11	tb	?	U
p1L04	12	aab	h	C
p1L04	13	x	a	C
p1L04	14	xy	?	U
p1L04	15	hs	i	C
p1L04	16	d6	d	C
p1L04	17	x_	h	C
p1L05	1	cc	n	C
p1L05	2	ob	i	C
p1L05	3	a	c	C
p1L05	4	xb	h	C
p1L05	5	zz	t	C
p1L05	6	34	u	C
p1L05	7	od	?	U
p1L05	8	cc	n	C
p1L05	9	44_	?	U
p1L05	10	60	u	C
p1L05	11	f	e	C
p1L05	12	b	?	U
p1L05	13	r	e	C
p1L05	14	oo	n	C
p1L05	15	]	s	C
p1L05	16	vt	o	C
p1L05	17	ps	n	C
p1L05	18	xm	d	C
p1L06	1	f	e	C
p1L06	2	88x	r	C
p1L06	3	34	u	C
p1L06	4	or	n	C
p1L06	5	d	d	C
p1L06	6	f	e	C
p1L06	7	88	r	C
p1L06	8	z	t	C
p1L06	9	aab	h	C
p1L06	10	f	e	C
p1L06	11	or	n	C
p1L06	12	hs	i	C
p1L06	13	rr	g	C
p1L06	14	Ib	o	C
p1L06	15	7	t	C
p1L06	16	f	e	C
p1L06	17	8	r	C
p1L06	18	tau	d	C
p1L06	19	aab	h	C
p1L07	1	hs	i	C
p1L07	2	f	e	C
p1L07	3	ps	n	C
p1L07	4	aaa	s	C
p1L07	5	zz	t	C
p1L07	6	r	e	C
p1L07	7	oo	n	C
p1L07	8	d	d	C
p1L07	9	x+	a	C
p1L07	10	rf	m	C
p1L07	11	ob	i	C
p1L07	12	6	t	C
p1L07	13	fb	i	C
p1L07	14	d6	d	C
p1L07	15	xr_	?	U
p1L07	16	4000	König	C
p1L07	17	34	u	C
p1L08	1	44	u	C
p1L08	2	60	u	C
p1L08	3	88	r	C
p1L08	4	tau	d	C
p1L08	5	f	e	C
p1L08	6	ps	n	C
p1L08	7	53	z	C
p1L08	8	48	u	C
p1L08	9	34	u	C
p1L08	10	d	d	C
