sign	value	grade	source	note
+	g	C	pairs_5109.tsv	n=5 g:5
01	a	C	pairs_5109.tsv	n=3 a:3
101	h	C	pairs_5109.tsv	n=2 h:2
3	m	C	pairs_5109.tsv	n=1 m:1
33	m	C	pairs_5109.tsv	n=2 m:2
34	u	C	pairs_5109.tsv	n=5 u:5 M:-:2
4000	König	C	pairs_5109.tsv	n=2 König:2
44	u	C	pairs_5109.tsv	n=4 u:4
48	u	C	pairs_5109.tsv	n=2 u:2 M:-:1,e:1
53	z	C	pairs_5109.tsv	n=1 z:1
6	t	C	pairs_5109.tsv	n=3 t:3
60	u	C	pairs_5109.tsv	n=7 u:7
62	h	C	pairs_5109.tsv	n=1 h:1
63	z	C	pairs_5109.tsv	n=2 z:2
7	t	C	pairs_5109.tsv	n=1 t:1
77	z	C	pairs_5109.tsv	n=3 z:3
8	r	C	pairs_5109.tsv	n=5 r:5
8+	r	C	pairs_5109.tsv	n=2 r:2
85	e	C	pairs_5109.tsv	n=1 e:1
86	i	C	pairs_5109.tsv	n=1 i:1
87	m	C	pairs_5109.tsv	n=1 m:1
88	r	C	pairs_5109.tsv	n=6 r:6 M:d:1
88x	r	C	pairs_5109.tsv	n=3 r:3
Ib	o	C	pairs_5109.tsv	n=1 o:1
L	s	C	pairs_5109.tsv	n=1 s:1
]	s	C	pairs_5109.tsv	n=3 s:3
a	c	C	pairs_5109.tsv	n=2 c:2
aaa	s	C	pairs_5109.tsv	n=5 s:5
aab	h	C	pairs_5109.tsv	n=3 h:3
c	n	C	pairs_5109.tsv	n=1 n:1
cc	n	C	pairs_5109.tsv	n=6 n:6
d	d	C	pairs_5109.tsv	n=1 d:1
d6	d	C	pairs_5109.tsv	n=2 d:2
dd	k	C	pairs_5109.tsv	n=1 k:1
dot7	t	C	pairs_5109.tsv	n=2 t:2
f	e	C	pairs_5109.tsv	n=14 e:14
fb	i	C	pairs_5109.tsv	n=1 i:1
g	e	C	pairs_5109.tsv	n=4 e:4
gn	l	C	pairs_5109.tsv	n=2 l:2
hs	i	C	pairs_5109.tsv	n=4 i:4 M:-:1
ii	a	C	pairs_5109.tsv	n=2 a:2
m	l	M	pairs_5109.tsv	n=1 only doubtful alignments
ne	l	C	pairs_5109.tsv	n=1 l:1
o	o	C	pairs_5109.tsv	n=2 o:2
ob	i	C	pairs_5109.tsv	n=2 i:2
of	l	C	pairs_5109.tsv	n=1 l:1
oo	n	C	pairs_5109.tsv	n=6 n:6
or	n	C	pairs_5109.tsv	n=4 n:4
ott	p	M	pairs_5109.tsv	n=1 only doubtful alignments
ox	n	C	pairs_5109.tsv	n=1 n:1
p	f	C	pairs_5109.tsv	n=3 f:3 M:b:1
phi	o	C	pairs_5109.tsv	n=1 o:1
ps	n	C	pairs_5109.tsv	n=4 n:4
q	b	C	pairs_5109.tsv	n=1 b:1
r	e	C	pairs_5109.tsv	n=13 e:13 M:g:1,r:1
rf	m	C	pairs_5109.tsv	n=2 m:2 M:-:1
ro	g	C	pairs_5109.tsv	n=1 g:1
rp	i	C	pairs_5109.tsv	n=6 i:6
rr	g	C	pairs_5109.tsv	n=2 g:2
sq	b	C	pairs_5109.tsv	n=1 b:1
ss	e	C	pairs_5109.tsv	n=6 e:6 M:e:1
tau	d	C	pairs_5109.tsv	n=4 d:4
th	d	C	pairs_5109.tsv	n=2 d:2 M:-:1
th+	d	C	pairs_5109.tsv	n=1 d:1
tn	m	C	pairs_5109.tsv	n=2 m:2
v2	g	C	pairs_5109.tsv	n=1 g:1
vi	b	C	pairs_5109.tsv	n=1 b:1
vt	o	C	pairs_5109.tsv	n=2 o:2 M:o:2
x	a	C	pairs_5109.tsv	n=3 a:3
x+	a	C	pairs_5109.tsv	n=1 a:1
x+x	f	C	pairs_5109.tsv	n=1 f:1
x_	h	C	pairs_5109.tsv	n=2 h:2
xb	h	C	pairs_5109.tsv	n=4 h:4
xm	d	C	pairs_5109.tsv	n=3 d:3
xn	b	C	pairs_5109.tsv	n=2 b:2
xnr	e	M	pairs_5109.tsv	n=1 only doubtful alignments
xr	c	C	pairs_5109.tsv	n=3 c:3
z	t	C	pairs_5109.tsv	n=3 t:3
zz	t	C	pairs_5109.tsv	n=2 t:2
