line	pos	sign	conf	why
A1	1	d6	H	G1 reading
A1	2	f	H	G1 reading
A1	3	88	H	G1 reading
A1	4	34	H	G1 reading
A1	5	vt	H	G1 reading
A1	6	ss	H	G1 reading
A1	7	+	H	G1 reading
A1	8	rf	H	G1 reading
A1	9	o	H	G1 reading
A1	10	cc	H	G1 reading
A1	11	7	H	G1 reading
A1	12	aab	H	G1 reading
A1	13	x	H	G1 reading
A1	14	6	H	G1 reading
A2	1	tn	H	G1 reading
A2	2	hs	H	G1 reading
A2	3	xr	H	G1 reading
A2	4	xb	H	G1 reading
A2	5	v2	H	G1 reading
A2	6	r	H	G1 reading
A2	7	p	H	G1 reading
A2	8	88x	H	G1 reading
A2	9	ii	H	G1 reading
A2	10	+	H	G1 reading
A2	11	zz	H	G1 reading
A2	12	vt	H	G1 reading
A2	13	vi	H	G1 reading
A3	1	44	H	G1 reading
A3	2	Ib	H	G1 reading
A3	3	cc	H	G1 reading
A3	4	aaa	H	G1 reading
A3	5	th	H	G1 reading
A3	6	r	H	G1 reading
A3	7	62	H	G1 reading
A3	8	f	H	G1 reading
A3	9	8	H	G1 reading
A3	10	oo	H	G1 reading
A3	11	01	H	G1 reading
A4	1	a	H	G1 reading
A4	2	x_	H	G1 reading
A4	3	gn	H	G1 reading
A4	4	phi	H	G1 reading
A4	5	z	H	G1 reading
A4	6	101	H	G1 reading
A4	7	88	H	G1 reading
A4	8	ob	H	G1 reading
A4	9	oo	H	G1 reading
A4	10	+	H	G1 reading
A4	11	85	H	G1 reading
A4	12	or	H	G1 reading
A4	13	77	H	G1 reading
A5	1	fb	H	G1 reading
A5	2	g	H	G1 reading
A5	3	aab	H	G1 reading
A5	4	f	H	G1 reading
A5	5	ps	H	G1 reading
A5	6	34	H	G1 reading
A5	7	f	H	G1 reading
A5	8	88x	H	G1 reading
A5	9	xm	H	G1 reading
A5	10	r	H	G1 reading
A5	11	cc	H	G1 reading
A5	12	th	H	G1 reading
A5	13	rp	H	G1 reading
A6	1	f	H	G1 reading
A6	2	p	H	G1 reading
A6	3	ss	H	G1 reading
A6	4	44	H	G1 reading
A6	5	60	H	G1 reading
A6	6	]	H	G1 reading
A6	7	z	H	G1 reading
A6	8	r	H	G1 reading
A6	9	ott	H	G1 reading
A6	10	g	H	G1 reading
A6	11	8+	H	G1 reading
A6	12	aaa	H	G1 reading
A6	13	vt	H	G1 reading
A6	14	cc	H	G1 reading
A7	1	tau	H	G1 reading
A7	2	f	H	G1 reading
A7	3	3	H	G1 reading
A7	4	4000	H	G1 reading
A7	5	60	H	G1 reading
A7	6	o	H	G1 reading
A7	7	ox	H	G1 reading
A7	8	xm	H	G1 reading
A7	9	r	H	G1 reading
A7	10	oo	H	G1 reading
A7	11	g	H	G1 reading
A7	12	33	H	G1 reading
A7	13	x+	H	G1 reading
A7	14	8	H	G1 reading
A8	1	xr	H	G1 reading
A8	2	dd	H	G1 reading
A8	3	77	H	G1 reading
A8	4	48	H	G1 reading
A8	5	p	H	G1 reading
A8	6	88	H	G1 reading
A8	7	r	H	G1 reading
A8	8	rp	H	G1 reading
A8	9	xb	H	G1 reading
A8	10	f	H	G1 reading
A8	11	or	H	G1 reading
A8	12	34	H	G1 reading
A8	13	ps	H	G1 reading
P1	1	d6	H	G1 reading
P1	2	rf	H	G1 reading
P1	3	hs	H	G1 reading
P1	4	lx	H	G1 reading
P1	5	87	H	G1 reading
P1	6	86	H	G1 reading
P1	7	88	H	G1 reading
P1	8	ii	H	G1 reading
P1	9	cc	H	G1 reading
P1	10	+	H	G1 reading
P1	11	r	H	G1 reading
P1	12	63	H	G1 reading
P1	13	ss	H	G1 reading
P1	14	ob	H	G1 reading
P1	15	rr	H	G1 reading
P2	1	6	H	G1 reading
P2	2	f	H	G1 reading
P2	3	8	H	G1 reading
P2	4	44	H	G1 reading
P2	5	48	H	G1 reading
P2	6	vt	H	G1 reading
P2	7	m	H	G1 reading
P2	8	th	H	G1 reading
P2	9	r	H	G1 reading
P2	10	rf	H	G1 reading
P2	11	of	H	G1 reading
P2	12	60	H	G1 reading
P2	13	dot7	H	G1 reading
P3	1	53	H	G1 reading
P3	2	f	H	G1 reading
P3	3	tn	H	G1 reading
P3	4	xn	H	G1 reading
P3	5	34	H	G1 reading
P3	6	8+	H	G1 reading
P3	7	ro	H	G1 reading
P3	8	ss	H	G1 reading
P3	9	88	H	G1 reading
P3	10	f	H	G1 reading
P3	11	rp	H	G1 reading
P3	12	ps	H	G1 reading
P3	13	sq	H	G1 reading
P3	14	88x	H	G1 reading
P4	1	hs	H	G1 reading
P4	2	ss	H	G1 reading
P4	3	x+x	H	G1 reading
P4	4	]	H	G1 reading
P4	5	a	H	G1 reading
P4	6	101	H	G1 reading
P4	7	8	H	G1 reading
P4	8	r	H	G1 reading
P4	9	rp	H	G1 reading
P4	10	q	H	G1 reading
P4	11	f	H	G1 reading
P4	12	cc	H	G1 reading
P4	13	th+	H	G1 reading
P4	14	r	H	G1 reading
P4	15	aaa	H	G1 reading
P5	1	hs	H	G1 reading
P5	2	oo	H	G1 reading
P5	3	x_	H	G1 reading
P5	4	x	H	G1 reading
P5	5	ne	H	G1 reading
P5	6	z	H	G1 reading
P5	7	33	H	G1 reading
P5	8	rp	H	G1 reading
P5	9	8	H	G1 reading
P5	10	60	H	G1 reading
P5	11	34	H	G1 reading
P5	12	or	H	G1 reading
P5	13	xn	H	G1 reading
P5	14	f	H	G1 reading
P6	1	48	H	G1 reading
P6	2	60	H	G1 reading
P6	3	]	H	G1 reading
P6	4	6	H	G1 reading
P7	1	34	H	G1 reading
P7	2	p	H	G1 reading
P7	3	xm	H	G1 reading
P7	4	x	H	G1 reading
P7	5	aaa	H	G1 reading
P7b	1	77	H	G1 reading
P8	1	60	H	G1 reading
P8	2	L	H	G1 reading
P8	3	r	H	G1 reading
P8	4	aab	H	G1 reading
P8	5	ss	H	G1 reading
P8	6	ps	H	G1 reading
P8	7	tau	H	G1 reading
P8	8	01	H	G1 reading
P8	9	aaa	H	G1 reading
P8	10	oo	H	G1 reading
P8	11	hs	H	G1 reading
P8	12	xr	H	G1 reading
P8	13	xb	H	G1 reading
P8	14	dot7	H	G1 reading
P9	1	63	H	G1 reading
P9	2	+	H	G1 reading
P9	3	g	H	G1 reading
P9	4	rr	H	G1 reading
P9	5	f	H	G1 reading
P9	6	or	H	G1 reading
P9	7	34	H	G1 reading
P9	8	44	H	G1 reading
P9	9	rp	H	G1 reading
P9	10	d	H	G1 reading
P9	11	r	H	G1 reading
P9	12	88	H	G1 reading
P9	13	tau	H	G1 reading
P9	14	r	H	G1 reading
P9	15	c	H	G1 reading
P9	16	4000	H	G1 reading
P10	1	r	H	G1 reading
P10	2	ss	H	G1 reading
P10	3	xb	H	G1 reading
P10	4	01	H	G1 reading
P10	5	oo	H	G1 reading
P10	6	tau	H	G1 reading
P10	7	f	H	G1 reading
P10	8	gn	H	G1 reading
P10	9	zz	H	G1 reading
P10	10	60	H	G1 reading
P10	11	48	H	G1 reading
P10	12	r	H	G1 reading
P10	13	88	H	G1 reading
P10	14	xnr	H	G1 reading
