line	idx	word	sign	unit	conf	note
A1	1	1	d6	d	C	
A1	2	1	f	e	C	
A1	3	1	88	r	C	
A1	4	2	34	v	C	
A1	5	2	vt	o	M	n not written or vt=on
A1	6	3	ss	E	C	
A1	7	3	+	g	C	
A1	8	3	rf	m	C	
A1	9	3	o	o	C	
A1	10	3	cc	n	C	
A1	11	3	7	t	C	
A1	12	4	aab	h	C	
A1	13	4	x	a	C	
A1	14	4	6	t	C	
A2	1	1	tn	m	C	
A2	2	1	hs	i	C	
A2	3	1	xr	c	C	
A2	4	1	xb	h	C	
A2	5	2	v2	g	C	
A2	6	2	r	e	C	
A2	7	2	p	f	C	
A2	8	2	88x	r	C	
A2	9	2	ii	a	C	
A2	10	2	+	g	C	
A2	11	2	zz	t	C	
A2	12	3	vt	o	C	
A2	13	3	vi	b	C	
A3	1	1	44	v	C	
A3	2	1	Ib	o	C	
A3	3	1	cc	n	C	
A3	4	2	aaa	S	C	
A3	5	2	th	-	M	abbreviation mark after S(ondershausen)?
A3	6	3	r	e	C	
A3	7	3	62	h	C	
A3	8	3	f	e	C	
A3	9	3	8	r	C	
A3	10	4	oo	n	C	
A3	11	4	01	a	C	
A4	1	1	a	c	C	
A4	2	1	x_	h	C	
A4	3	2	gn	l	C	
A4	4	2	phi	o	C	
A4	5	2	z	t	C	
A4	6	2	101	h	C	
A4	7	2	88	r	C	
A4	8	2	ob	i	C	
A4	9	2	oo	n	C	
A4	10	2	+	g	C	
A4	11	2	85	e	C	
A4	12	2	or	n	C	
A4	13	3	77	z	C	
A5	1	1	fb	i	C	
A5	2	1	g	e	C	
A5	3	1	aab	h	C	
A5	4	1	f	e	C	
A5	5	1	ps	n	C	
A5	6	2	34	v	C	
A5	7	2	f	e	C	
A5	8	2	88x	r	C	
A5	9	2	xm	d	C	
A5	10	2	r	e	C	
A5	11	2	cc	n	C	
A5	12	3	th	d	C	
A5	13	3	rp	i	C	
A6	1	1	f	e	C	
A6	2	2	p	b	M	same shape as p=f but aligns b
A6	3	2	ss	e	M	blotted
A6	4	2	44	v	C	
A6	5	2	60	u	C	
A6	6	2	]	s	C	
A6	7	2	z	t	C	
A6	8	2	r	e	C	
A6	9	3	ott	p	M	shape doubtful
A6	10	3	g	e	C	
A6	11	3	8+	r	C	
A6	12	3	aaa	s	C	
A6	13	3	vt	o	C	
A6	14	3	cc	n	C	
A7	1	1	tau	d	C	
A7	2	1	f	e	C	
A7	3	1	3	m	C	
A7	4	2	4000	König	C	
A7	5	3	60	v	C	
A7	6	3	o	o	C	
A7	7	3	ox	n	C	
A7	8	4	xm	D	C	
A7	9	4	r	e	C	
A7	10	4	oo	n	C	
A7	11	4	g	e	C	
A7	12	4	33	m	C	
A7	13	4	x+	a	C	
A7	14	4	8	r	C	
A8	1	1	xr	c	C	
A8	2	1	dd	k	C	
A8	3	2	77	z	C	
A8	4	2	48	u	C	
A8	5	3	p	f	C	
A8	6	3	88	r	C	
A8	7	3	r	e	C	
A8	8	3	rp	i	C	
A8	9	3	xb	h	C	
A8	10	3	f	e	C	
A8	11	3	or	n	C	
A8	12	4	34	u	C	
A8	13	4	ps	n	C	
P1	1	1	d6	d	C	
P1	2	2	rf	-	M	3 signs not in print
P1	3	2	hs	-	M	
P1	4	2	lx	-	M	
P1	5	3	87	m	C	
P1	6	3	86	i	C	
P1	7	3	88	r	C	
P1	8	4	ii	a	C	
P1	9	4	cc	n	C	
P1	10	4	+	g	C	
P1	11	4	r	e	C	
P1	12	4	63	z	C	
P1	13	4	ss	e	C	
P1	14	4	ob	i	C	
P1	15	4	rr	g	C	
P2	1	1	6	t	C	
P2	2	2	f	e	C	
P2	3	2	8	r	C	
P2	4	3	44	w	C	
P2	5	3	48	-	M	
P2	6	3	vt	o	M	
P2	7	3	m	l	M	
P2	8	4	th	d	C	
P2	9	4	r	e	C	
P2	10	4	rf	m	C	
P2	11	5	of	l	C	
P2	12	5	60	u	C	
P2	13	5	dot7	t	C	
P3	1	1	53	z	C	
P3	2	1	f	e	C	
P3	3	1	tn	m	C	
P3	4	1	xn	b	C	
P3	5	1	34	u	C	
P3	6	1	8+	r	C	
P3	7	1	ro	g	C	
P3	8	1	ss	e	C	
P3	9	1	88	r	C	
P3	10	2	f	e	C	
P3	11	2	rp	i	C	
P3	12	2	ps	n	C	
P3	13	3	sq	b	C	
P3	14	3	88x	r	C	
P4	1	1	hs	i	C	
P4	2	1	ss	e	C	
P4	3	1	x+x	f	C	
P4	4	2	]	s	C	
P4	5	2	a	c	C	
P4	6	2	101	h	C	
P4	7	2	8	r	C	
P4	8	2	r	e	C	
P4	9	2	rp	i	C	
P4	10	2	q	b	C	
P4	11	2	f	e	C	
P4	12	2	cc	n	C	
P4	13	3	th+	d	C	
P4	14	3	r	e	C	
P4	15	3	aaa	s	C	
P5	1	1	hs	i	C	
P5	2	1	oo	n	C	
P5	3	1	x_	h	C	
P5	4	1	x	a	C	
P5	5	1	ne	l	C	
P5	6	1	z	t	C	
P5	7	2	33	m	C	
P5	8	2	rp	i	C	
P5	9	2	8	r	C	
P5	10	3	60	u	C	
P5	11	3	34	-	M	
P5	12	3	or	n	C	
P5	13	3	xn	b	C	
P5	14	3	f	e	C	
P6	1	1	48	w	C	
P6	2	1	60	u	C	
P6	3	1	]	s	C	
P6	4	1	6	t	C	
P7	1	1	34	u	C	
P7	2	1	p	f	C	
P7	3	2	xm	d	C	
P7	4	2	x	a	C	
P7	5	2	aaa	s	C	
P7b	1	1	77	z	C	
P8	1	1	60	u	C	
P8	2	1	L	s	C	
P8	3	1	r	e	C	
P8	4	1	aab	h	C	
P8	5	1	ss	e	C	
P8	6	1	ps	n	C	
P8	7	2	tau	d	C	
P8	8	2	01	a	C	
P8	9	2	aaa	s	C	
P8	10	3	oo	n	C	
P8	11	3	hs	i	C	
P8	12	3	xr	c	C	
P8	13	3	xb	h	C	
P8	14	3	dot7	t	C	
P9	1	1	63	z	C	
P9	2	2	+	g	C	
P9	3	2	g	e	C	
P9	4	2	rr	g	C	
P9	5	2	f	e	C	
P9	6	2	or	n	C	
P9	7	2	34	-	M	
P9	8	2	44	w	C	
P9	9	2	rp	i	C	
P9	10	2	d	d	C	
P9	11	2	r	e	C	
P9	12	2	88	r	C	
P9	13	3	tau	d	C	
P9	14	3	r	e	C	
P9	15	3	c	n	C	
P9	16	4	4000	König	C	
P10	1	1	r	g	M	
P10	2	1	ss	e	C	
P10	3	1	xb	h	C	
P10	4	1	01	a	C	
P10	5	1	oo	n	C	
P10	6	1	tau	d	C	
P10	7	1	f	e	C	
P10	8	1	gn	l	C	
P10	9	1	zz	t	C	
P10	10	2	60	w	C	
P10	11	2	48	e	M	
P10	12	2	r	r	M	
P10	13	2	88	d	M	
P10	14	2	xnr	e	M	
