kept_or_excluded	rank	uuid_or_ref	source	sender	recipient	date	holder_shelfmark	note_verbatim	printed_edition	image	reason_if_excluded
kept	EM4	cb69093b-a032-422e-b21a-ab88c97353e0	EMLO Solr (bibo_Note broad: cipher/cypher/chiffre/cijfer/zifra)	Henri Brasset	Antoine de Bordeaux-Neufville	4 Apr 1653	Bodleian MS. e. Musaeo 203, p. 203 ff. (also catalogued as MS. Eng. misc. e. 475 p.239 and "MS. 19336" p.212 in EMLO -- same volume)	"[Abstract is unavailable because the letter is not deciphered and is in French.]" (dcterms_abstract placeholder; Wallis letter 50)	not checked (Davys 1737 introduction to this collection not reread against this letter)	none found this pass	Wallis's own 1653 deciphering collection but this letter explicitly not among the ~48 he solved; live modern edition (Beeley, OUP) is an overlap risk -- see QUEUE.md EM4 caveat
kept	EM4	78af41fb-d5a2-4082-b592-2abf1763965e	EMLO Solr	Unknown	Unknown	16 Jan 1651	Bodleian MS. e. Musaeo 203, p. 215 ff. (also "MS. 19336" p.212, MS. Eng. misc. e. 475 p.239)	"The letter is not deciphered; however, the cipher appears to be based on the substitution of numeric and symbolic values." (Wallis letter 51)	not checked	none found this pass	same as above
kept	EM4	e2d7885e-287a-4350-a914-72b6346cdcb6	EMLO Solr	George Villiers, 2nd Duke of Buckingham	Unknown	undated	Bodleian MS. e. Musaeo 203, p. 226 ff. (also MS. Eng. misc. e. 475 p.242)	"The letter is not deciphered; however, the cipher appears to be based on the substitution of numeric values." (Wallis letter 52)	not checked	none found this pass	same as above
kept	EM4	8885c3d0-514a-4d5b-87cf-9672c10fcd59	EMLO Solr	Peter Townesend	Unknown	5 May 1658	Bodleian MS. e. Musaeo 203, p. 219 ff. (also MS. Eng. misc. e. 475 p.247, MS. 19336 p.219)	"The letter is not deciphered; however, the cipher appears to be based on the substitution of numeric values." (Wallis letter 53) + one manifestation: "Enclosed in this record is the ciphered letter and a blank page titled 'A Key to the Cipher foregoing'."	not checked	none found this pass	same as above
kept	EM5	dff3b0b3-869e-40a3-b884-67d7ddbd7e2a	EMLO Solr	Unknown male (London)	John Williams	30 Jun 1690	Bodleian MS. Eng. misc. c. 382, p. 223 ff.	"Two simple substitution ciphers used interchangeably where plain text letters of the alphabet have been substituted for other letters of the alphabet, removed a certain number of places. The cipher is used intermittently throughout the letter." abstract: "A letter concerning Scottish affairs. The author advises the recipient on acquaintances to trust and how to deal with money issues."	not checked	none found this pass	8th/last item of the "Bodleian early modern letter collections" source that also gave EM2/EM3; completes that source
lead_not_candidate	-	032139bd-bc8f-4a8a-ad62-af49eab55992 (+110 more, uuid_related to be regenerated from bibo_Note:"This letter is written partly in cipher")	EMLO Solr	Thomas Roe (mostly) and others	Elizabeth Stuart, Queen of Bohemia (mostly)	1621-1641	various Dutch/German locations, per-letter shelfmarks not tabulated this pass	"This letter is written partly in cipher." (verbatim, ~105 occurrences) or a near-identical variant (~6 more, e.g. coordinate-uncertainty preambles)	ox_sourceOfData "Nadine Akkerman, 4 April 2017" -- Akkerman is general editor of The Correspondence of Elizabeth Stuart, Queen of Bohemia (OUP, 5 vols, active modern edition)	not checked	high risk of found-solved/already-printed in Akkerman's edition; one non-boilerplate Elizabeth Stuart item in this same cluster is explicitly "Printed source: CSP Venice xvii, no. 40" -- not tabled, needs edition check first
excluded	-	various (48 of 52 "Wallis cipher books" work records)	EMLO Solr	various	various	1640s-1650s	Bodleian MS. e. Musaeo 203 (same volume as EM4)	dcterms_abstract populated (real summary, not the "unavailable...not deciphered" placeholder) for all 48	Wallis's own 17th-c decipherment, per EM1-EM3's original blanket exclusion	n/a	already solved by Wallis himself; verified via dcterms_abstract field, not spot-checked
excluded	-	various (35 records)	EMLO Solr	Elias Ashmole (mostly)	various	various	various Ashm. MSS	"Missing manuscript. Mentioned in cipher in MS. ..." (verbatim pattern)	n/a	n/a	no surviving ciphertext -- these are catalogue cross-references to a lost/untraced manuscript, not a target
excluded	-	various (87 records)	EMLO Solr	various	various	various	various	contains an explicit decoded/deciphered/solved/broken word with no accompanying negation	various	n/a	editor states the letter or passage is already resolved
excluded	-	0acbbbac-11d3-46f8-a4d1-db2c707a1561, dec0b285-7b89-41d6-a4c2-aa4cd3ee02a7, 93d4f830-aea1-4be2-a53b-da67a31eb973, f6bbd84b-b6c1-4f3f-a16b-4623744dffb6	EMLO Solr	Henry Jermyn; Thomas Luttrell x2; unknown	James Butler, Duke of Ormond	19 Feb 1661; 2 & 16 Mar 1660; 23 Mar 1660	Bodleian MS Carte 213, ff. 602/632/660/680-681	(verbatim substitution-cipher notes)	n/a	n/a	already EM2 (QUEUE.md, 24 Sept 2026 sweep) -- duplicate hit on the widened query, not a new row
excluded	-	Behn/Halsall/Killigrew cluster (9 records)	EMLO Solr	Aphra Behn, William Scot	James Halsall, Thomas Killigrew	1666	TNA SP 29/172 and others	various	n/a	n/a	already EM1, duplicate hit on the widened query
excluded	-	Austen/Sedley/Cardigan cluster (3 records)	EMLO Solr	William Austen; Catharine Sedley; unknown	James II (exiled court)	1690-1691	Bodleian MS Eng. misc. c. 382 pp. 221/224-225	various	n/a	n/a	already EM3, duplicate hit on the widened query
excluded	-	a793fa13-9832-4cef-bd0b-cbc96200524c (5 records, Harrison/Jephson to Henry Cromwell)	EMLO Solr	Thomas Harrison, William Jephson	Henry Cromwell	1656-1657	various	"attempts at decoding have been made in the footnotes" (verbatim)	Thurloe/Birch printed edition, likely	n/a	same Thurloe overlap risk as EM1-EM3's exclusion of this correspondent's letters; not re-litigated
excluded	-	f03620a2 / 9880c43a / 20015b1a / e7ba0e18 / 27d90179 / cbdf176a / 9da17b60 / efe7720b / 17b9ac64 / ee53268b / b68f548d / 60c420ba / 6fe60ff5 / f4f99a38 / 51aad3ef / d8b8c64a / 1d9c708b / 8d1915bb / 2ab09e91 / 134a2e43 / 003c4fae	EMLO Solr (bibo_Note:"not decoded")	various	various	various	various	"The author/recipient is not decoded" (identity of writer/addressee unknown -- not a cipher note at all)	n/a	n/a	false positive: "not decoded" here means the person's identity, not ciphertext
excluded	-	f203c... 95460f51, 06ba6cd3, 7f81f9ac, 582ec23f	EMLO Solr ("not decoded" phrase)	various	various	various	various	"With attachment. This letter is [partly] coded. The attachment is a decoded version of the letter."	n/a	n/a	already decoded via the attachment
excluded	-	7842445a-916a-4723-abdf-eceae516eb2f	EMLO Solr	August II von Braunschweig-Wolfenbuttel	Athanasius Kircher	1 Jun 1664	shelf 563, fols 88r-89v	"Cipher." (single word, Kircher-related correspondence, Stanford Kircher project)	n/a	not checked	too vague to confirm surviving ciphertext vs. a discussion of cipher in the letter; not tabled
