line	position	sign	confidence
05801_p5_L01	1	04	M
05801_p5_L01	2	55	H
05801_p5_L01	3	62	H
05801_p5_L01	4	3	H
05801_p5_L01	5	32	H
05801_p5_L01	6	132	M
05801_p5_L01	7	63	M
05801_p5_L01	8	4	H
05801_p5_L01	9	14	H
05801_p5_L01	10	5	M
05801_p5_L01	11	7	H
05801_p5_L01	12	82	H
05801_p5_L01	13	132	H
05801_p5_L01	14	129	H
05801_p5_L01	15	112	L
05801_p5_L01	16	79	M
05801_p5_L01	17	36	H
05801_p5_L01	18	29	M
05801_p5_L01	19	47	H
05801_p5_L01	20	27	H
05801_p5_L01	21	132	H
05801_p5_L01	22	17	M
05801_p5_L01	23	62	M
05801_p5_L01	24	199	H
05801_p5_L01	25	125	H
05801_p5_L01	26	132	H
05801_p5_L01	27	=Rencontré	M
05801_p5_L01	28	=l'avons	M
05801_p5_L01	29	=pourveu	L
05801_p5_L01	30	=d'acquis	L
05801_p5_L01	31	=s'il	M
05801_p5_L01	32	=y	H
05801_p5_L01	33	=avoit	M
05801_p5_L01	34	=quelques	H
05801_p5_L01	35	=moyen	H
05801_p5_L01	36	=de	H
05801_p5_L01	37	=la	H
05801_p5_L01	38	=mettre	H
05801_p5_L01	39	=en	H
05801_p5_L01	40	=escripvre	M
05801_p5_L01	41	=le	M
05801_p5_L01	42	=conte	M
05801_p5_L01	43	=Loys	M
05801_p5_L01	44	=de	H
05801_p5_L01	45	=Nassau	M
05801_p5_L02	1	=Glogme	L
05801_p5_L02	2	172	M
05801_p5_L02	3	132	H
05801_p5_L02	4	129	H
05801_p5_L02	5	62	H
05801_p5_L02	6	37	H
05801_p5_L02	7	82	H
05801_p5_L02	8	80	H
05801_p5_L02	9	32	M
05801_p5_L02	10	66	M
05801_p5_L02	11	102	H
05801_p5_L02	12	34	H
05801_p5_L02	13	35	H
05801_p5_L02	14	84	M
05801_p5_L02	15	63	M
05801_p5_L02	16	38	H
05801_p5_L02	17	83	M
05801_p5_L02	18	73	H
05801_p5_L02	19	157	H
05801_p5_L02	20	132	H
05801_p5_L02	21	129	H
05801_p5_L02	22	145	H
05801_p5_L02	23	150	H
05801_p5_L02	24	=Je	L
05801_p5_L02	25	=suis	L
05801_p5_L02	26	=demande	L
05801_p5_L02	27	=estoit	L
05801_p5_L02	28	=et	L
05801_p5_L02	29	=a	L
05801_p5_L02	30	=fin	L
05801_p5_L02	31	=de	L
05801_p5_L02	32	=pourvoir	L
05801_p5_L02	33	=plus	M
05801_p5_L02	34	=particulierement	M
05801_p5_L02	35	=quoy	M
05801_p5_L02	36	=pour	H
05801_p5_L02	37	132	H
